lulc-class,lucode,biomass-initial,soil-initial,litter-initial,biomass-half-life,biomass-low-impact-disturb,biomass-med-impact-disturb,biomass-high-impact-disturb,biomass-yearly-accumulation,soil-half-life,soil-low-impact-disturb,soil-med-impact-disturb,soil-high-impact-disturb,soil-yearly-accumulation,litter-yearly-accumulation
Unnamed1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Developed Dry Land,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undeveloped Dry Land,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nontidal Swamp,3,30,244,0,0,0,0,0,0,0,0,0,0,0,0
Cypress Swamp,4,66,244,0,0,0,0,0,0,0,0,0,0,0,0
Inland Fresh Marsh,5,30,269,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Tidal Fresh Marsh,6,30,269,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Transitional Salt Marsh,7,30,100,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Regularly Flooded Marsh,8,30,222,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Mangrove,9,64,313,0,15,0.5,0.5,1,2,7.5,0.3,0.5,0.66,5.35,0
Estuarine Beach,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Tidal Flat,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean Beach,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unnamed2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Intertidal,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inland Open Water,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverine Tidal Open Water,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estuarine Water,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unnamed3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Ocean,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irregularly flooded marsh,20,30,115,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Unnamed4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inland Shore,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Tidal Swamp,23,30,244,0,0,0,0,0,0,0,0,0,0,0,0
