lulc-class,Unnamed1,Developed Dry Land,Undeveloped Dry Land,Nontidal Swamp,Cypress Swamp,Inland Fresh Marsh,Tidal Fresh Marsh,Transitional Salt Marsh,Regularly Flooded Marsh,Mangrove,Estuarine Beach,Tidal Flat,Ocean Beach,Unnamed2,Rocky Intertidal,Inland Open Water,Riverine Tidal Open Water,Estuarine Water,Unnamed3,Open Ocean,Irregularly flooded marsh,Unnamed4,Inland Shore,Tidal Swamp
Unnamed1,NCC,,,,,,,,,,,,,,,,,,,,,,,
Developed Dry Land,,NCC,NCC,,,,,accum,accum,,,,NCC,,,,,NCC,,,,,,
Undeveloped Dry Land,,,NCC,NCC,,accum,,accum,accum,,,,NCC,,,,,NCC,,,accum,,NCC,
Nontidal Swamp,,,,NCC,,,,accum,accum,,,,,,,,,NCC,,,,,,NCC
Cypress Swamp,,,,,,,,,,,,,,,,,,,,,,,,
Inland Fresh Marsh,,,,,,accum,,accum,accum,,,,,,,,,med-impact-disturb,,,,,,
Tidal Fresh Marsh,,,,,,,accum,,,,,,,,,,,,,,accum,,,
Transitional Salt Marsh,,,,,,,,accum,accum,,,med-impact-disturb,,,,,,med-impact-disturb,,,,,,
Regularly Flooded Marsh,,,,,,,,,accum,,,med-impact-disturb,,,,,,med-impact-disturb,,,accum,,,
Mangrove,,,,,,,,,,,,,,,,,,,,,,,,
Estuarine Beach,,,,,,,,,,,NCC,,,,,,,NCC,,,,,,
Tidal Flat,,,,,,,,,accum,,,,,,,,,NCC,,,,,,
Ocean Beach,,,,,,,,,,,,,NCC,,,,,NCC,,NCC,,,,
Unnamed2,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Intertidal,,,,,,,,,,,,,,,,,,,,,,,,
Inland Open Water,,,,,,accum,,,,,,,,,,NCC,,NCC,,,,,,
Riverine Tidal Open Water,,,,,,,,,,,,,,,,,NCC,NCC,,,,,,
Estuarine Water,,,,,,,,,,,,,,,,,,NCC,,,,,,
Unnamed3,,,,,,,,,,,,,,,,,,,,,,,,
Open Ocean,,,,,,,,,,,,,,,,,,,,NCC,,,,
Irregularly flooded marsh,,,,,,,,,accum,,,med-impact-disturb,,,,,,med-impact-disturb,,,accum,,,
Unnamed4,,,,,,,,,,,,,,,,,,,,,,,,
Inland Shore,,,,,,,,,,,,,,,,,,,,,,,NCC,
Tidal Swamp,,,,,,,accum,,,,,,,,,,,NCC,,,accum,,,NCC
