climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.19
4,1.0,1.0,1.24,1.24
5,1.0,1.19,1.24,1.24
6,1.0,1.24,1.24,1.24
7,1.19,1.24,1.24,1.24
8,1.24,1.24,1.24,1.24
9,1.24,1.24,1.24,1.24
10,1.24,1.24,1.24,1.24
11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0
13,0.81,1.0,1.0,1.24
14,0.81,1.0,1.24,1.24
15,1.0,1.24,1.24,1.24
16,1.0,1.24,1.24,1.24
17,1.0,1.24,1.24,1.24
18,1.24,1.24,1.24,1.24
19,1.24,1.24,1.24,1.24
20,1.05,1.24,1.24,1.24
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.19
23,0.81,1.0,1.24,1.24
24,0.81,1.15,1.24,1.24
25,0.81,0.82,1.24,1.24
26,0.82,0.88,1.24,1.24
27,0.82,0.82,1.24,1.24
28,0.82,0.82,1.05,1.24
29,1.05,1.24,1.24,1.24
30,1.05,1.24,1.24,1.24
31,1.0,1.0,1.0,1.19
32,1.0,1.0,1.24,1.24
33,1.0,1.0,1.19,1.24
34,1.0,1.15,1.15,1.24
35,1.15,1.15,1.15,1.24
36,0.82,1.15,1.15,1.24
37,0.82,0.82,0.82,1.24
38,0.82,0.82,1.05,1.24
39,0.81,1.05,1.24,1.24
40,0.81,1.05,1.19,1.24
41,1.0,1.0,1.0,1.19
42,1.15,1.15,1.15,1.19
43,1.15,1.15,1.15,1.15
44,1.15,1.15,1.15,1.15
45,1.15,1.15,1.15,1.15
46,1.15,1.15,1.15,1.15
47,0.82,0.82,1.05,1.24
48,0.81,0.82,1.05,1.24
49,0.81,1.0,1.19,1.24
50,0.81,0.81,1.19,1.24
51,1.0,1.0,1.15,1.19
52,1.15,1.15,1.15,1.15
53,1.15,1.15,1.15,1.19
54,1.15,1.15,1.15,1.15
55,1.15,1.15,1.15,1.15
56,1.15,1.15,1.15,1.15
57,1.0,1.15,1.15,1.24
58,0.82,0.82,1.05,1.24
59,0.81,1.05,1.24,1.24
60,0.81,1.0,1.05,1.24
61,1.0,1.15,1.15,1.15
62,1.15,1.15,1.15,1.15
63,1.15,1.15,1.15,1.15
64,1.15,1.15,1.15,1.15
65,1.15,1.15,1.15,1.15
66,1.15,1.15,1.15,1.15
67,1.0,1.15,1.15,1.24
68,0.82,0.82,1.0,1.24
69,1.0,1.05,1.24,1.24
70,1.0,1.24,1.24,1.24
71,1.15,1.15,1.15,1.15
72,1.15,1.15,1.15,1.15
73,1.15,1.15,1.15,1.24
74,1.0,1.15,1.15,1.24
75,0.81,1.0,1.0,1.24
76,0.82,0.82,0.82,1.24
77,0.82,0.82,1.05,1.24
78,1.0,1.05,1.24,1.24
79,1.05,1.24,1.24,1.24
80,1.05,1.05,1.24,1.24
81,0.81,1.0,1.24,1.24
82,0.81,1.24,1.24,1.24
83,0.81,1.0,1.24,1.24
84,0.82,1.0,1.05,1.24
85,1.05,1.05,1.24,1.24
86,1.05,1.05,1.24,1.24
87,1.05,1.24,1.24,1.24
88,1.05,1.24,1.24,1.24
89,1.05,1.24,1.24,1.24
90,1.05,1.05,1.24,1.24
91,1.24,1.24,1.24,1.24
92,1.24,1.24,1.24,1.24
93,1.24,1.24,1.24,1.24
94,1.24,1.24,1.24,1.24
95,0.82,1.24,1.24,1.24
96,1.24,1.24,1.24,1.24
97,1.24,1.24,1.24,1.24
98,1.24,1.24,1.24,1.24
99,1.24,1.24,1.24,1.24
100,1.24,1.24,1.24,1.24
