climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,10.233864,10.233864,21.469587,27.726060999999998
2,8.371096000000001,10.233864,10.233864,14.093534
3,8.371096000000001,10.233864,10.233864,10.233864
4,8.371096000000001,10.233864,10.233864,10.233864
5,10.233864,10.233864,10.233864,21.26281
6,10.233864,10.233864,10.233864,22.909769
7,10.233864,10.233864,17.386415,22.909769
8,10.233864,10.233864,10.233864,22.909769
9,10.233864,10.233864,21.26281,26.738196999999996
10,13.93,22.909769,28.259546000000004,42.360001000000004
11,10.233864,12.710522000000001,22.909769,28.944427
12,8.371096000000001,8.371096000000001,10.233864,22.523310000000002
13,8.371096000000001,8.371096000000001,10.233864,22.523310000000002
14,8.371096000000001,8.371096000000001,10.233864,22.984312
15,8.371096000000001,10.233864,10.233864,22.909769
16,8.371096000000001,8.371096000000001,10.233864,21.26281
17,10.233864,21.26281,21.26281,24.235607
18,21.26281,21.26281,21.26281,22.909769
19,21.26281,21.26281,21.26281,30.25
20,21.26281,26.533081,28.259546000000004,36.98
21,19.625574,25.058828,31.348232,33.258102
22,8.371096000000001,10.233864,21.008582999999998,31.90802
23,8.371096000000001,10.233864,21.107368,31.348232
24,8.371096000000001,15.575329,30.25,30.25
25,12.348306,21.26281,30.25,30.25
26,16.66198,21.26281,21.26281,30.25
27,15.476542000000002,19.592644,21.26281,35.369999
28,14.850895999999999,17.452272,20.280001000000002,35.369999
29,19.032856,26.533081,26.533081,29.23
30,26.533081,26.533081,28.259546000000004,29.543039
31,21.008582999999998,25.783260000000002,31.282373,33.653248
32,14.785036999999999,30.228653,30.25,30.25
33,25.025898,30.25,30.25,30.25
34,11.854372999999999,30.25,30.25,30.25
35,15.278970000000001,18.736496,22.062305,36.630001
36,19.921934,20.481722,21.66716,35.369999
37,18.86821,19.856075,26.533081,26.533081
38,19.032856,26.533081,26.533081,26.533081
39,26.533081,26.533081,26.533081,28.259546000000004
40,18.604779999999998,26.533081,26.533081,28.259546000000004
41,22.687952,28.318781,34.245964,40.206081
42,17.024197,25.849119,30.25,30.25
43,13.07274,16.036331,30.25,30.25
44,15.246041,16.727837,20.02072,35.369999
45,20.280001000000002,21.798873999999998,25.552761,35.369999
46,21.140299,24.070963,25.552761,30.195722999999997
47,20.547579000000002,21.996447,24.43318,26.533081
48,20.152433,20.975655,22.391594,27.726060999999998
49,19.72436,22.161093,26.533081,28.384638
50,16.233904000000003,18.736496,26.533081,31.360001
51,25.256401,30.459152000000003,37.341274,44.157539
52,22.719998999999998,29.899363,30.25,31.084799
53,14.554535999999999,28.187067,30.25,40.080002
54,14.554535999999999,17.485201,21.765947,31.348232
55,17.485201,21.173227,22.918454999999998,29.23
56,21.3708,24.762468,36.98,36.98
57,21.304941,22.819668,26.310121999999996,31.889999
58,22.424522,25.124685,27.100412,29.273715999999997
59,21.48,24.16975,28.121206,29.570073999999998
60,17.551057999999998,18.901138,20.481722,26.533081
61,31.512875,37.341274,44.157539,50.809162
62,22.719998999999998,29.504216999999997,33.422745,42.972103000000004
63,20.280001000000002,23.07,23.07,40.080002
64,17.551057999999998,20.280001000000002,23.07,29.23
65,20.280001000000002,21.3708,23.07,36.98
66,22.391594,24.334393,36.98,36.98
67,21.48,23.972178,28.219994,36.98
68,21.601301,24.235607,27.034557,31.360001
69,19.395070999999998,20.778082,23.609961,29.142002
70,17.551057999999998,19.823147,21.436659,31.360001
71,22.719998999999998,24.16975,40.080002,50.809162
72,22.719998999999998,25.058828,40.436584,52.009997999999996
73,20.280001000000002,23.07,40.080002,52.009997999999996
74,20.280001000000002,20.280001000000002,21.48,31.889999
75,21.48,22.852596,32.68,36.98
76,21.798873999999998,31.889999,36.98,36.98
77,20.251220999999997,26.441837,31.889999,36.98
78,20.778082,23.774603,25.914976,31.889999
79,18.407207,20.185364,23.083099,31.889999
80,19.131641000000002,20.481722,23.346529,33.880001
81,22.719998999999998,27.956561999999998,41.292732,52.009997999999996
82,23.549776,37.275417,52.009997999999996,52.009997999999996
83,25.1,25.684475,36.98,52.009997999999996
84,25.1,25.1,26.705267,52.009997999999996
85,25.1,25.1,31.889999,40.080002
86,25.1,25.1,31.889999,36.98
87,25.1,25.1,31.889999,33.880001
88,25.1,27.134498999999998,31.889999,33.880001
89,25.1,31.889999,31.889999,33.880001
90,19.526787,21.733017,26.178406,33.880001
91,25.1,50.479874,53.476395,57.065636
92,22.719998999999998,42.360001000000004,51.171375,63.766312
93,25.010468,33.653248,52.009997999999996,69.269997
94,25.1,31.889999,52.009997999999996,69.269997
95,25.1,25.1,25.1,52.009997999999996
96,25.1,25.1,25.1,55.676182
97,25.1,25.1,25.1,40.080002
98,25.1,25.1,25.1,31.889999
99,25.1,25.1,25.1,27.857777000000002
100,25.1,25.1,25.1,26.540627
