climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.99,0.99,0.99,2.24
2,0.41,0.41,0.99,2.24
3,0.41,0.41,0.41,2.04
4,0.41,0.41,0.41,0.92
5,0.41,0.41,0.41,0.99
6,0.41,0.41,0.41,1.82
7,0.41,0.41,0.41,2.04
8,0.41,0.41,0.41,2.04
9,0.41,0.41,0.51,2.99
10,0.41,0.47,1.14,2.51
11,0.41,0.99,0.99,1.16
12,0.41,0.41,0.41,0.99
13,0.41,0.41,0.41,0.99
14,0.41,0.41,0.41,0.99
15,0.41,0.41,0.41,0.99
16,0.41,0.41,0.41,0.92
17,0.41,0.41,0.41,0.99
18,0.41,0.41,0.41,1.18
19,0.41,0.41,1.14,2.04
20,0.41,1.14,1.14,1.31
21,0.41,0.99,0.99,2.24
22,0.41,0.41,0.41,0.99
23,0.41,0.41,0.41,0.99
24,0.41,0.41,0.41,0.51
25,0.41,0.41,0.41,0.99
26,0.41,0.41,0.41,1.73
27,0.41,0.41,1.14,2.04
28,0.41,1.14,1.14,2.04
29,1.14,1.14,1.14,1.18
30,1.14,1.14,1.14,1.31
31,0.41,0.51,0.99,1.73
32,0.41,0.41,0.41,0.99
33,0.41,0.41,0.41,0.41
34,0.41,0.41,0.41,0.41
35,0.41,0.41,0.41,0.41
36,0.41,0.41,0.41,1.18
37,0.41,0.41,0.51,2.99
38,0.41,0.41,0.51,1.73
39,1.14,1.14,1.18,2.24
40,0.51,1.14,1.14,2.04
41,0.41,0.99,0.99,3.55
42,0.41,0.41,0.41,1.73
43,0.41,0.41,0.41,2.99
44,0.41,0.41,0.41,0.99
45,0.41,0.41,0.41,1.834375
46,0.41,0.41,0.41,2.99
47,0.41,0.41,0.51,1.73
48,0.41,0.41,1.14,2.99
49,0.41,0.51,1.14,2.99
50,0.47,1.14,1.18,2.99
51,0.99,2.99,2.99,2.99
52,0.41,0.51,2.99,2.99
53,0.41,0.41,2.99,2.99
54,0.51,2.99,2.99,2.99
55,0.41,1.14,2.99,2.99
56,0.41,0.51,2.99,2.99
57,0.41,0.41,0.47,2.99
58,0.41,0.41,0.41,2.99
59,0.41,0.41,0.51,2.99
60,0.47,1.14,1.18,2.99
61,2.99,2.99,2.99,2.99
62,2.99,2.99,2.99,2.99
63,2.99,2.99,2.99,2.99
64,2.99,2.99,2.99,2.99
65,2.99,2.99,2.99,2.99
66,0.41,0.5,2.99,2.99
67,0.41,0.41,1.73,2.99
68,0.41,0.47,2.99,2.99
69,0.41,1.18,2.99,2.99
70,0.41,0.47,1.73,2.99
71,2.99,2.99,2.99,2.99
72,2.99,2.99,2.99,2.99
73,2.99,2.99,2.99,2.99
74,0.41,0.51,2.99,2.99
75,0.41,0.51,0.99,3.55
76,0.41,0.41,0.51,1.73
77,0.41,0.41,0.47,1.73
78,0.41,0.47,0.47,1.73
79,0.41,0.41,0.47,2.99
80,0.41,0.47,1.18,2.24
81,2.99,2.99,2.99,2.99
82,0.23,0.99,2.99,2.99
83,0.41,0.5,0.51,3.55
84,0.51,0.51,0.51,3.55
85,0.41,0.51,0.51,1.73
86,0.23,0.41,0.5,1.18
87,0.41,0.41,0.51,1.14
88,0.41,0.41,0.41,1.18
89,0.41,0.41,0.41,0.51
90,0.41,0.51,1.18,3.55
91,0.99,2.99,2.99,3.55
92,0.5,0.5,2.99,3.55
93,0.5,0.5,0.5,3.55
94,0.23,0.5,0.51,3.55
95,0.5,0.51,0.51,0.99
96,0.51,0.51,0.51,3.55
97,0.51,0.51,0.99,3.55
98,0.41,0.51,0.51,1.25
99,0.41,0.41,0.51,1.25
100,0.51,0.51,1.18,4.27
