climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.81,0.81,0.97,0.97
2,0.57,0.81,0.9,0.97
3,0.57,0.57,0.9,0.97
4,0.57,0.57,0.97,0.97
5,0.57,0.81,0.97,1.06
6,0.57,0.9,0.97,1.06
7,0.75,0.9,0.97,0.97
8,0.75,0.91,0.91,0.97
9,0.75,0.91,0.91,0.97
10,0.57,0.9,0.97,1.06
11,0.81,0.81,0.81,0.97
12,0.57,0.57,0.81,0.81
13,0.57,0.81,0.81,1.04
14,0.75,0.81,0.91,0.97
15,0.81,0.91,0.91,0.97
16,0.81,0.91,0.91,0.97
17,0.75,0.91,0.91,0.91
18,0.91,0.91,0.91,0.97
19,0.57,0.91,0.91,0.97
20,0.57,0.57,0.97,1.04
21,0.6,0.6,0.81,0.81
22,0.6,0.6,0.81,0.81
23,0.6,0.6,1.04,1.04
24,0.6,0.77,1.04,1.04
25,0.6,0.77,0.77,1.04
26,0.57,0.77,0.97,1.04
27,0.57,0.6,0.97,1.04
28,0.6,0.77,0.97,1.04
29,0.78,0.97,0.97,0.97
30,0.6,0.97,0.97,0.97
31,0.6,0.6,0.6,0.81
32,0.6,0.6,0.6,1.04
33,0.6,0.6,0.77,1.04
34,0.6,0.6,1.04,1.04
35,0.6,0.6,1.04,1.04
36,0.6,0.77,1.04,1.04
37,0.77,0.77,1.04,1.04
38,0.6,0.77,1.04,1.04
39,0.6,0.6,1.04,1.04
40,0.6,0.6,0.97,0.97
41,0.84,0.84,0.84,0.84
42,0.84,0.84,0.84,0.84
43,0.84,0.84,0.84,0.84
44,0.6,0.6,0.84,0.84
45,0.6,0.6,0.6,0.84
46,0.6,0.6,0.81,1.04
47,0.36,0.36,0.57,9.2
48,0.36,0.36,0.36,0.97
49,0.36,0.36,0.36,0.36
50,0.36,0.36,0.36,0.97
51,0.36,0.36,0.81,0.81
52,0.36,0.36,0.36,0.36
53,0.36,0.36,0.36,0.36
54,0.36,0.36,0.36,0.36
55,0.36,0.36,0.36,0.36
56,0.36,0.36,0.36,0.36
57,0.36,0.36,0.36,0.36
58,0.36,0.36,0.36,0.36
59,0.36,0.36,0.36,0.36
60,0.36,0.36,0.36,0.74
61,0.36,0.36,0.36,0.81
62,0.36,0.36,0.36,0.36
63,0.36,0.36,0.36,0.36
64,0.36,0.36,0.36,0.36
65,0.36,0.36,0.36,0.36
66,0.36,0.36,0.36,0.36
67,0.36,0.36,0.36,0.36
68,0.36,0.36,0.36,0.36
69,0.36,0.36,0.36,0.36
70,0.36,0.36,0.36,0.36
71,0.36,0.36,0.36,0.36
72,0.36,0.36,0.36,0.36
73,0.36,0.36,0.36,0.36
74,0.36,0.36,0.36,0.36
75,0.36,0.36,0.36,0.36
76,0.36,0.36,0.36,0.36
77,0.36,0.36,0.36,0.36
78,0.36,0.36,0.36,0.36
79,0.36,0.36,0.36,0.36
80,0.36,0.36,0.36,0.74
81,0.36,0.36,0.36,0.36
82,0.36,0.36,0.36,0.36
83,0.36,0.36,0.36,0.36
84,0.36,0.36,0.36,0.36
85,0.36,0.36,0.36,0.36
86,0.36,0.36,0.36,0.36
87,0.36,0.36,0.36,0.36
88,0.36,0.36,0.36,0.36
89,0.36,0.36,0.36,0.36
90,0.36,0.36,0.36,0.74
91,0.36,0.36,0.36,0.36
92,0.36,0.36,0.36,0.36
93,0.36,0.36,0.36,0.36
94,0.36,0.36,0.36,0.36
95,0.36,0.36,0.36,0.36
96,0.36,0.36,0.36,0.36
97,0.36,0.36,0.36,0.36
98,0.36,0.36,0.36,0.36
99,0.36,0.36,0.36,0.36
100,0.36,0.36,0.36,0.74
