climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.578128,3.67,6.631032,24.280001000000002
2,2.13,3.822254,7.731378,22.49
3,1.323412,3.3485,3.851211,22.49
4,1.456642,2.540241,5.164408,22.49
5,1.08684,1.5898709999999998,3.8,12.09
6,1.527698,2.993221,3.99,12.09
7,1.5898709999999998,3.21,3.851211,12.09
8,1.7497470000000002,3.21,5.0,22.49
9,2.993221,3.99,12.09,27.01
10,4.8326519999999995,18.35,20.459999,34.529999
11,3.822254,7.731378,25.73,25.73
12,3.3485,3.851211,7.731378,22.49
13,3.161979,12.09,12.09,13.02
14,3.161979,12.09,12.09,27.01
15,3.11,12.09,12.09,27.01
16,1.451319,3.11,12.09,27.01
17,3.11,3.11,12.09,27.01
18,3.11,3.21,12.09,27.01
19,4.546166,12.09,27.01,34.32
20,18.35,21.661959,27.01,36.490002000000004
21,3.822254,9.439809,25.73,25.73
22,3.822254,7.731378,7.818247,22.49
23,3.11,6.0841449999999995,7.818247,22.49
24,1.578128,3.11,5.7799629999999995,14.76
25,3.11,3.822254,6.95,23.280001000000002
26,3.822254,3.89,6.95,27.01
27,3.822254,3.89,6.95,22.49
28,3.89,9.932069,19.459999,34.529999
29,9.932069,24.230978,33.939999,34.32
30,10.557959,24.230978,25.73,39.459998999999996
31,6.631032,9.439809,25.73,25.73
32,3.11,5.533462999999999,7.731378,22.49
33,3.11,3.89,7.818247,9.932069
34,3.89,3.89,7.818247,9.932069
35,3.822254,3.89,9.932069,14.3
36,3.822254,3.89,9.932069,14.3
37,6.61,7.731378,9.932069,33.939999
38,7.731378,9.932069,9.932069,33.939999
39,9.932069,9.932069,16.549999,33.939999
40,10.557959,10.557959,24.230978,33.939999
41,3.67,14.76,25.73,25.73
42,3.11,6.95,7.731378,22.49
43,4.912749,6.95,14.3,18.35
44,3.822254,6.95,9.932069,14.3
45,3.822254,6.95,7.818247,13.059368
46,3.8,7.731378,7.818247,14.3
47,6.819249,9.932069,9.932069,33.939999
48,6.94,9.932069,13.059368,33.939999
49,9.11,13.059368,33.939999,33.939999
50,10.557959,14.375357999999999,24.230978,28.65
51,5.0,5.164408,14.76,25.73
52,6.61,8.73,14.76,22.49
53,7.731378,7.818247,9.295027000000001,13.059368
54,6.819249,7.818247,10.598068,13.059368
55,6.819249,13.059368,13.059368,13.059368
56,13.059368,13.059368,13.059368,13.059368
57,13.059368,13.059368,13.059368,19.459999
58,13.059368,13.059368,13.059368,33.939999
59,13.059368,13.059368,31.309998999999998,33.939999
60,9.11,15.4,21.701310999999997,31.309998999999998
61,5.0,6.819249,9.439809,19.828281
62,6.819249,6.819249,6.819249,14.76
63,6.819249,6.819249,6.819249,14.76
64,6.819249,6.819249,6.819249,7.731378
65,6.819249,6.819249,6.819249,9.295027000000001
66,6.819249,7.731378,7.818247,13.059368
67,6.819249,7.818247,13.059368,22.49
68,7.818247,13.059368,13.059368,28.65
69,13.059368,13.059368,27.000694,31.309998999999998
70,7.818247,15.4,25.73,31.309998999999998
71,5.0,14.76,24.280001000000002,24.280001000000002
72,6.819249,11.38,14.76,18.524101
73,6.819249,7.818247,13.059368,13.059368
74,6.819249,7.818247,9.700417,13.059368
75,7.818247,9.700417,13.059368,13.059368
76,7.818247,9.700417,13.059368,13.059368
77,9.700417,13.059368,13.059368,13.059368
78,13.059368,13.059368,13.059368,22.49
79,13.059368,13.059368,14.375357999999999,31.309998999999998
80,7.818247,11.59,19.828281,31.309998999999998
81,5.0,5.0,24.280001000000002,24.280001000000002
82,5.0,7.818247,17.924126,24.280001000000002
83,7.818247,7.818247,7.818247,14.139681
84,7.818247,9.700417,9.700417,13.059368
85,9.700417,9.700417,9.700417,22.49
86,9.700417,9.700417,11.38,19.828281
87,9.700417,9.700417,11.683935,13.059368
88,9.700417,9.700417,9.700417,28.65
89,7.818247,9.700417,11.683935,31.309998999999998
90,8.82,11.683935,20.459999,37.136585
91,11.926324000000001,14.76,19.901775,21.802269
92,5.0,11.38,14.76,21.99
93,5.0,11.251448,14.222857000000001,22.49
94,5.39,11.251448,17.924126,28.65
95,10.154086999999999,11.59,19.828281,27.000694
96,4.522908999999999,11.251448,18.35,27.000694
97,4.522908999999999,7.818247,11.38,27.000694
98,6.138771,9.26913,9.700417,22.49
99,7.6010729999999995,9.280548,9.700417,18.25
100,4.522908999999999,9.280548,25.73,34.159667999999996
