climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.54,1.54,2.67,8.8
2,1.6583580000000002,7.16,7.16,7.16
3,2.67,4.369136,7.16,7.16
4,1.54,2.91,7.16,7.16
5,1.54,3.9,7.16,7.16
6,1.503584,2.91,6.41,7.16
7,1.503584,2.91,6.41,7.16
8,1.6583580000000002,3.09,6.41,7.16
9,2.67,3.09,6.76,10.23
10,2.67,3.9,7.49,10.56
11,7.16,7.16,8.8,8.8
12,7.16,7.16,7.16,8.8
13,4.935293,6.41,7.16,7.16
14,2.253853,6.41,6.76,8.600711
15,1.54,6.19,7.16,12.562263
16,2.91,3.9,6.76,7.16
17,3.01,5.81,6.76,7.16
18,5.81,6.41,7.16,8.71
19,5.81,7.16,8.71,8.71
20,5.81,7.49,8.71,13.45
21,7.16,7.16,8.8,11.43
22,7.16,7.16,7.16,8.8
23,6.41,7.16,7.16,12.562263
24,3.04,6.19,7.16,12.562263
25,3.01,3.01,6.19,7.16
26,3.01,3.01,6.19,7.16
27,1.875057,3.01,6.76,7.16
28,3.01,6.76,8.71,8.71
29,6.19,8.71,8.71,8.71
30,7.16,8.71,8.71,11.2
31,4.38,7.16,8.8,10.42
32,7.16,7.16,7.16,8.8
33,7.16,7.16,7.16,8.8
34,6.19,6.76,7.16,8.8
35,3.01,6.19,7.16,7.49
36,1.8831380000000002,3.09,7.03185,7.49
37,1.76,3.09,6.76,7.49
38,3.09,7.16,8.71,8.8
39,7.16,8.71,8.71,10.56
40,7.49,8.71,10.26,11.43
41,4.38,7.16,8.8,8.8
42,4.369136,6.19,8.8,8.8
43,6.19,7.16,8.8,8.8
44,6.19,6.19,7.16,8.8
45,3.49,7.16,7.16,10.56
46,3.49,7.16,7.16,10.56
47,6.19,7.16,8.71,10.56
48,7.8,8.71,10.56,10.56
49,8.71,10.56,10.56,10.56
50,8.71,10.56,10.56,11.02
51,4.38,4.38,8.8,8.8
52,4.27,4.38,8.8,11.43
53,5.34,6.19,7.16,11.43
54,5.34,6.19,7.03185,11.43
55,3.49,5.34,7.03185,11.43
56,3.49,6.19,7.16,11.43
57,5.34,7.16,7.16,10.56
58,7.16,7.16,10.56,11.2
59,7.16,10.42,10.56,10.56
60,6.19,10.26,10.56,11.02
61,4.27,4.38,8.072398,8.8
62,4.27,4.38,8.8,11.43
63,4.38,4.38,7.03185,11.43
64,3.49,6.19,6.492692,10.26
65,3.49,4.0657559999999995,6.492692,13.45
66,3.49,6.19,7.16,13.45
67,4.0657559999999995,6.19,7.16,11.2
68,6.19,7.16,10.56,11.2
69,4.0657559999999995,7.16,10.56,13.418601999999998
70,5.34,5.34,10.42,13.418601999999998
71,4.27,8.072398,8.8,11.43
72,6.665771,11.43,11.43,11.43
73,6.386004,8.8,11.43,11.43
74,2.87,5.99,7.8,11.43
75,3.49,6.19,7.8,11.2
76,6.19,7.16,7.8,13.418601999999998
77,6.19,7.16,7.8,13.418601999999998
78,6.19,7.16,8.8,13.45
79,3.49,7.16,10.42,13.45
80,5.34,5.34,5.34,10.42
81,5.99,8.8,8.8,11.43
82,3.99,5.99,7.8,11.02
83,3.49,7.16,7.8,8.8
84,3.49,5.99,7.8,8.8
85,3.49,6.264075,7.8,11.2
86,3.49,7.16,7.8,11.2
87,6.19,7.16,7.8,11.2
88,3.49,6.19,7.16,11.2
89,4.0657559999999995,7.16,10.42,13.45
90,5.34,5.34,7.16,11.2
91,8.8,13.37,13.37,13.37
92,8.8,11.02,11.02,13.37
93,8.8,11.02,11.02,13.37
94,8.8,11.02,11.02,11.02
95,5.99,8.8,11.02,11.02
96,5.99,8.8,11.02,11.02
97,7.8,8.8,11.02,11.02
98,5.99,11.02,11.02,11.2
99,7.8,10.42,11.02,11.2
100,5.99,7.16,11.02,13.418601999999998
