climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.27,3.27,3.27,3.27
2,3.27,3.27,3.27,3.27
3,3.27,3.27,3.27,3.27
4,3.27,3.27,3.27,3.27
5,3.27,3.27,3.27,3.27
6,3.27,3.27,3.27,3.27
7,3.27,3.27,3.27,3.27
8,1.32,3.27,3.27,3.27
9,0.43,1.32,3.23,3.27
10,0.8408700000000001,3.23,3.23,3.23
11,1.292838,1.292838,3.23,3.23
12,1.32,3.23,3.23,3.27
13,1.32,3.23,3.23,3.27
14,1.1141530000000002,3.23,3.23,3.23
15,1.1141530000000002,3.23,3.23,3.23
16,1.1141530000000002,3.23,3.23,3.23
17,0.758077,0.8408700000000001,1.292838,3.23
18,0.8408700000000001,0.8408700000000001,3.23,3.23
19,0.8408700000000001,1.1141530000000002,3.23,3.23
20,0.8408700000000001,0.8408700000000001,1.1141530000000002,3.23
21,1.292838,1.292838,1.292838,1.292838
22,1.292838,1.292838,1.292838,1.681741
23,0.8408700000000001,1.681741,3.23,3.23
24,0.8408700000000001,1.1141530000000002,3.23,3.23
25,0.8408700000000001,0.8408700000000001,3.23,3.23
26,0.8408700000000001,0.8408700000000001,1.1141530000000002,3.23
27,0.8408700000000001,0.8408700000000001,0.8408700000000001,3.23
28,0.8408700000000001,0.8408700000000001,1.976045,3.23
29,0.8408700000000001,0.8408700000000001,1.976045,3.23
30,0.8408700000000001,0.8408700000000001,1.292838,1.681741
31,1.292838,1.292838,1.292838,1.292838
32,1.292838,1.292838,1.292838,1.681741
33,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.32
34,0.8408700000000001,0.8408700000000001,0.8408700000000001,0.8408700000000001
35,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.21
36,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.781482
37,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.976045
38,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.31386
39,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.31386
40,0.8408700000000001,0.8408700000000001,0.8408700000000001,1.681741
41,1.292838,1.292838,1.292838,1.292838
42,1.292838,1.292838,1.292838,1.292838
43,1.292838,1.292838,1.292838,1.681741
44,1.1141530000000002,1.62,1.681741,1.781481
45,0.698225,0.698225,0.698225,1.681741
46,0.545488,0.698225,0.820414,1.976045
47,0.545488,0.698225,1.1141530000000002,1.31386
48,0.545488,0.545488,1.1141530000000002,1.31386
49,0.545488,0.8408700000000001,0.8408700000000001,1.292838
50,0.44402700000000006,0.545488,0.8408700000000001,1.31386
51,1.292838,1.292838,1.292838,1.292838
52,1.292838,1.292838,1.292838,1.292838
53,1.292838,1.292838,1.681741,1.781482
54,0.698225,0.698225,0.698225,1.681741
55,0.698225,0.698225,0.698225,0.698225
56,0.545488,0.698225,0.698225,0.698225
57,0.545488,0.545488,0.545488,0.698225
58,0.545488,0.545488,0.545488,0.820414
59,0.43,0.820414,0.820414,1.62
60,0.43,0.820414,1.1141530000000002,1.32
61,1.292838,1.292838,1.292838,1.292838
62,1.292838,1.292838,1.292838,1.781482
63,1.292838,1.292838,1.62,1.781482
64,0.698225,1.62,1.681741,1.681741
65,0.698225,0.698225,0.698225,1.681741
66,0.43,0.698225,0.698225,1.681741
67,0.545488,0.698225,0.698225,1.1141530000000002
68,0.43,0.698225,0.698225,1.32
69,0.43,0.43,0.698225,1.292838
70,0.43,0.43,1.1141530000000002,1.62
71,1.292838,1.292838,1.292838,1.292838
72,1.292838,1.32,1.32,1.781482
73,1.62,1.681741,1.681741,1.681741
74,0.43,1.1141530000000002,1.681741,1.681741
75,0.43,0.43,1.1141530000000002,1.62
76,0.43,0.43,0.43,1.32
77,0.43,0.43,0.43,1.32
78,0.43,0.43,0.43,1.1141530000000002
79,0.43,0.43,0.43,1.292838
80,0.43,0.43,1.1141530000000002,1.32
81,1.292838,1.292838,1.292838,1.781482
82,1.292838,1.292838,1.32,1.781482
83,1.21,1.62,1.62,1.681741
84,0.43,1.1141530000000002,1.32,1.62
85,0.43,0.43,1.1141530000000002,1.32
86,0.43,1.1141530000000002,1.1141530000000002,1.32
87,0.43,0.43,1.1141530000000002,1.32
88,0.43,1.1141530000000002,1.1141530000000002,1.32
89,0.43,1.1141530000000002,1.1141530000000002,1.32
90,1.1141530000000002,1.1141530000000002,1.292838,1.32
91,1.292838,1.292838,1.292838,1.292838
92,1.292838,1.292838,1.292838,1.8709369999999999
93,1.292838,1.292838,1.8709369999999999,1.8709369999999999
94,1.1141530000000002,1.62,1.62,1.62
95,0.43,1.1141530000000002,1.1141530000000002,1.62
96,1.1141530000000002,1.1141530000000002,1.1141530000000002,1.292838
97,1.1141530000000002,1.1141530000000002,1.1141530000000002,1.1141530000000002
98,1.1141530000000002,1.1141530000000002,1.1141530000000002,1.1141530000000002
99,1.1141530000000002,1.1141530000000002,1.1141530000000002,1.1141530000000002
100,1.1141530000000002,1.1141530000000002,1.1141530000000002,1.1141530000000002
