climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,6.521074,7.98,7.98,9.31
2,7.5,7.98,7.98,9.04
3,6.521074,6.521074,7.98,9.04
4,5.22,6.521074,7.98,9.31
5,4.87,4.87,7.98,9.31
6,4.87,4.87,7.199203999999999,9.31
7,4.87,4.87,5.22,10.53
8,4.87,9.3531,11.146695,11.146695
9,4.87,4.87,11.146695,13.776567000000002
10,4.87,4.87,4.87,10.53
11,4.87,6.521074,6.521074,9.31
12,6.521074,6.521074,7.98,7.98
13,6.521074,6.521074,6.521074,7.98
14,4.87,6.521074,7.98,9.04
15,5.817539,5.817539,5.817539,9.04
16,4.87,4.87,5.817539,9.31
17,4.57,6.767243,9.04,11.135691
18,9.329397,9.782243,10.398446,11.146695
19,11.146695,11.146695,12.148026,12.148026
20,8.566544,10.53,12.148026,13.776567000000002
21,4.87,6.521074,6.521074,8.065674000000001
22,6.521074,6.521074,6.521074,8.065674000000001
23,4.87,6.521074,6.521074,7.98
24,1.3,1.3,1.3,7.98
25,1.3,1.3,4.87,7.98
26,1.3,5.817539,9.04,11.146695
27,9.04,9.903282,16.109341,16.241385
28,9.782243,9.782243,9.782243,13.776567000000002
29,9.329397,10.398446,10.398446,11.047661999999999
30,9.04,10.231489999999999,10.53,13.776567000000002
31,6.521074,6.521074,6.521074,6.521074
32,6.521074,6.521074,6.521074,10.01
33,4.863612,6.521074,7.98,20.129998999999998
34,5.693492,6.58109,7.98,20.129998999999998
35,5.693492,6.602189,9.31,12.79
36,8.109688,12.13,16.241385,16.241385
37,9.637619,11.003648,12.13,13.776567000000002
38,10.342702000000001,10.398446,12.13,12.599176
39,12.01088,12.01088,12.082005,12.082005
40,7.37,10.355632,10.453465,12.13
41,6.58109,6.58109,20.129998999999998,20.129998999999998
42,5.817539,6.58109,20.129998999999998,20.129998999999998
43,5.693492,5.721897,11.003648,12.79
44,5.693492,7.37,10.486476,11.146695
45,7.37,10.53,12.13,13.776567000000002
46,7.703733000000001,10.231489999999999,11.009974,13.211967000000001
47,9.710701,9.782243,10.342702000000001,20.685404000000002
48,6.915995,9.782193,12.01088,20.018133
49,5.149707,6.571341,9.00816,13.085187
50,4.01,4.010319,8.22,11.590508999999999
51,6.521074,6.521074,6.58109,20.129998999999998
52,5.693492,5.817539,8.22,12.79
53,5.765911,8.2,10.310417,12.79
54,8.582844999999999,10.453914,11.146695,12.511333
55,7.735564,10.355632,12.082005,14.679964000000002
56,6.04,7.37,9.81,22.874052
57,4.57,6.571341,10.53,22.900002999999998
58,6.04,6.767243,7.54,12.13
59,4.010319,6.690217,8.22,10.53
60,4.01,5.22,8.065674000000001,10.53
61,5.765911,8.37,10.310417,12.79
62,7.37,11.146695,12.13,13.776567000000002
63,5.721897,6.00544,7.37,12.071000999999999
64,5.721897,5.9,6.767243,10.53
65,5.721897,6.04,6.767243,10.740592
66,6.690217,10.740592,10.740592,10.740592
67,5.721897,6.767243,10.0,10.740592
68,5.721897,6.04,10.0,12.13
69,4.01,7.5,10.0,10.53
70,4.01,4.01,7.34,10.53
71,6.806164999999999,11.146695,12.13,12.79
72,9.188046,10.750564,11.146695,12.071000999999999
73,6.04,7.5,11.146695,12.13
74,4.010319,6.307752,9.00816,12.13
75,4.01,6.04,8.22,12.13
76,4.152596,6.04,8.2,12.13
77,5.22,7.84,10.0,12.13
78,4.01,7.34,9.341795,12.13
79,4.01,4.01,7.34,10.53
80,4.01,4.01,6.690217,10.53
81,4.57,9.188046,12.13,12.79
82,4.842593,8.0,12.13,12.13
83,4.03,5.22,10.0,12.13
84,4.01,5.22,10.0,12.13
85,4.01,4.01,7.34,12.13
86,4.01,4.01,4.962445,10.53
87,4.01,4.01,4.01,10.53
88,4.01,4.01,4.01,7.34
89,4.01,4.01,4.01,7.34
90,4.01,4.01,4.01,7.34
91,4.000293,11.146695,12.79,12.79
92,9.188046,11.146695,11.146695,11.146695
93,4.000293,11.146695,11.146695,11.146695
94,4.832268,10.629522999999999,11.146695,11.146695
95,6.00544,8.956969,9.329397,10.53
96,4.01,7.34,8.956969,10.53
97,4.01,4.01,7.34,9.329397
98,4.01,4.01,7.34,10.53
99,4.01,4.01,4.4110629999999995,10.53
100,4.01,4.01,4.01,9.329397
