climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,10.235032,10.235032,17.108698,38.158321
2,5.760105,8.090838,14.303360000000001,38.158321
3,4.7080269999999995,4.7080269999999995,4.7080269999999995,12.675082000000002
4,4.70496,4.7080269999999995,4.843875,13.860134
5,4.707913,4.827643,5.0185830000000005,13.714537
6,4.82,5.0185830000000005,8.498114999999999,21.028485999999997
7,5.0185830000000005,5.0185830000000005,8.571586,21.028485999999997
8,5.0185830000000005,5.571530999999999,13.714537,30.132282
9,5.571530999999999,11.81593,22.592802,30.132282
10,9.715914,17.883511,30.132282,31.307415000000002
11,4.82,8.170206,10.235032,17.75
12,6.44,8.090838,9.995758,12.675082000000002
13,4.7080269999999995,6.17184,8.315353,9.67
14,4.698825,4.712034,8.571586,30.132282
15,4.707194,5.0185830000000005,9.67,30.132282
16,5.0185830000000005,7.453341,21.028485999999997,35.954807
17,6.107008,15.428854000000001,21.028485999999997,30.132282
18,15.872415,21.211166,22.592802,30.132282
19,12.547855,19.714647,22.592802,29.58
20,8.892652,13.860134,19.00614,29.58
21,4.48,8.299472,10.885746000000001,17.143171
22,5.358784,6.43,12.61,32.380001
23,4.800088,6.068683,10.285903,29.58
24,4.712034,7.285848,17.143171,37.270382
25,4.885804,8.571586,21.028485999999997,32.380001
26,12.61,21.028485999999997,22.592802,22.592802
27,9.726435,21.028485999999997,22.592802,22.592802
28,13.672745,22.561991,22.592802,23.143282
29,8.892652,15.428854000000001,22.592802,22.592802
30,12.65,12.65,13.91,29.58
31,2.41,8.571586,15.428854000000001,27.720314000000002
32,2.41,5.91314,8.571586,38.158321
33,4.89682,6.52,8.571586,32.380001
34,3.8804980000000002,6.43,12.94,38.158321
35,2.771785,6.44,17.143171,37.270382
36,3.857213,6.929461,22.561991,38.158321
37,6.1758440000000006,8.571586,15.961351,22.592802
38,6.52,12.65,15.872415,27.180353000000004
39,7.791735000000001,12.65,13.91,32.380001
40,12.65,12.801605,13.91,48.77
41,6.8572679999999995,18.613815,27.180353000000004,57.302864
42,5.0185830000000005,11.528925,18.857489,38.158321
43,5.0185830000000005,8.571586,12.706847,37.270382
44,3.654463,6.00011,12.61,35.954807
45,6.179965,8.75,12.706847,37.270382
46,6.43405,12.65,12.801605,18.626054999999997
47,7.537108,12.69,15.872415,18.000329999999998
48,10.285903,12.801605,14.280261999999999,47.894779
49,12.65,12.801605,18.613815,47.894779
50,12.65,12.801605,13.91,29.58
51,19.037491,27.180353000000004,38.158321,57.302864
52,6.625836,27.180353000000004,38.158321,47.894779
53,5.0927489999999995,12.94,27.180353000000004,47.894779
54,6.52,8.75,17.883511,47.894779
55,4.142933,8.75,13.91,47.894779
56,6.52,10.948332,17.868273000000002,48.77
57,12.65,12.857378,47.894779,47.894779
58,9.591197,12.69,47.894779,47.894779
59,9.591197,12.65,13.185325,47.894779
60,12.65,12.65,13.91,35.954807
61,16.0,27.180353000000004,37.270382,57.302864
62,11.52021,17.883511,37.270382,57.302864
63,8.014433,12.61,17.75,37.270382
64,7.537108,12.61,16.129145,41.134842
65,6.8315529999999995,12.94,17.868273000000002,48.77
66,10.714482,13.185325,17.868273000000002,48.77
67,10.851464,12.65,13.91,48.77
68,12.65,12.65,13.91,32.380001
69,9.591604,12.65,13.91,41.470001
70,12.65,12.65,13.91,48.77
71,22.467371,30.000549,41.134842,57.302864
72,12.61,17.883511,27.180353000000004,57.302864
73,12.61,12.94,14.886016,32.723411999999996
74,10.948332,12.94,14.886016,48.77
75,12.61,12.94,17.868273000000002,48.77
76,12.65,12.69,14.09,41.470001
77,12.65,12.69,13.91,41.470001
78,12.65,13.91,13.91,29.58
79,12.65,13.91,13.91,35.954807
80,12.65,13.91,14.09,48.77
81,22.467371,32.723411999999996,41.134842,57.302864
82,12.94,16.118382999999998,32.723411999999996,57.302864
83,12.94,12.94,14.886016,41.470001
84,10.329825,12.69,13.91,48.77
85,12.65,12.65,13.91,33.072315
86,12.65,12.69,13.91,29.58
87,12.65,12.65,13.91,19.73
88,12.65,12.94,13.91,19.73
89,12.65,13.91,13.91,19.73
90,12.65,13.91,13.91,35.954807
91,13.99,27.180353000000004,32.723411999999996,41.134842
92,24.857599,41.134842,41.134842,57.302864
93,29.58,41.134842,41.134842,57.302864
94,22.467371,41.134842,41.134842,57.302864
95,12.94,12.94,22.467371,43.98
96,4.48,12.94,17.75,44.71434
97,11.143061999999999,12.69,17.75,43.98
98,12.65,12.65,12.94,32.380001
99,12.65,12.65,13.91,29.58
100,12.165214,12.65,13.91,29.58
