climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,45.709998999999996,67.470001,67.470001,67.470001
2,45.709998999999996,67.470001,67.470001,67.470001
3,45.709998999999996,67.470001,67.470001,201.649994
4,67.470001,67.470001,67.470001,201.649994
5,67.470001,67.470001,67.470001,201.649994
6,67.470001,67.470001,67.470001,72.230003
7,67.470001,67.470001,67.470001,72.230003
8,67.470001,67.470001,67.470001,67.470001
9,67.470001,67.470001,67.470001,72.230003
10,17.110001,45.470001,84.57,201.649994
11,12.14,45.709998999999996,67.470001,201.649994
12,12.14,67.470001,67.470001,201.649994
13,12.14,67.470001,67.470001,67.470001
14,12.14,45.709998999999996,67.470001,201.649994
15,12.14,29.75,67.470001,201.649994
16,12.14,12.14,48.77,201.649994
17,12.14,45.709998999999996,72.230003,201.649994
18,67.470001,67.470001,201.649994,201.649994
19,67.470001,67.470001,67.470001,201.649994
20,45.470001,72.230003,84.57,201.649994
21,12.14,45.709998999999996,46.52,201.649994
22,12.14,67.470001,67.470001,201.649994
23,12.14,12.14,67.470001,201.649994
24,12.14,12.14,67.470001,201.649994
25,12.14,12.14,12.14,201.649994
26,12.14,12.14,12.14,201.649994
27,12.14,12.14,29.75,201.649994
28,12.14,45.709998999999996,201.649994,201.649994
29,67.470001,201.649994,201.649994,201.649994
30,45.470001,72.230003,84.57,201.649994
31,12.14,12.14,45.709998999999996,201.649994
32,12.14,12.14,45.470001,201.649994
33,12.14,12.14,45.709998999999996,201.649994
34,12.14,12.14,45.470001,201.649994
35,12.14,12.14,45.709998999999996,201.649994
36,12.14,12.14,29.75,201.649994
37,12.14,45.709998999999996,201.649994,201.649994
38,72.230003,201.649994,201.649994,201.649994
39,48.77,66.889999,72.230003,84.57
40,45.470001,45.470001,66.889999,84.57
41,12.14,12.14,45.470001,201.649994
42,12.14,12.14,12.14,12.14
43,12.14,12.14,12.14,201.649994
44,12.14,12.14,72.230003,201.649994
45,12.14,45.709998999999996,72.230003,201.649994
46,29.75,72.230003,72.230003,201.649994
47,68.889999,72.230003,72.230003,201.649994
48,66.889999,66.889999,72.230003,201.649994
49,45.470001,66.889999,66.889999,84.57
50,45.470001,66.889999,66.889999,84.57
51,12.14,12.14,12.14,45.470001
52,12.14,12.14,12.14,12.14
53,12.14,12.14,72.230003,72.230003
54,46.52,72.230003,72.230003,72.230003
55,29.75,68.889999,72.230003,72.230003
56,68.889999,68.889999,72.230003,72.230003
57,54.009997999999996,68.889999,72.230003,201.649994
58,26.27,54.009997999999996,54.009997999999996,72.230003
59,45.470001,45.470001,66.889999,72.230003
60,45.470001,66.889999,66.889999,66.889999
61,12.14,12.14,12.14,46.52
62,12.14,12.14,12.14,12.14
63,12.14,12.14,29.75,46.52
64,29.75,29.75,68.889999,72.230003
65,68.889999,68.889999,68.889999,68.889999
66,54.009997999999996,68.889999,68.889999,72.230003
67,54.009997999999996,68.889999,68.889999,77.459999
68,54.009997999999996,54.009997999999996,68.889999,201.649994
69,13.83,45.470001,54.009997999999996,72.230003
70,45.470001,66.889999,66.889999,72.230003
71,12.14,12.14,12.14,46.52
72,12.14,12.14,20.280001000000002,40.869999
73,20.280001000000002,45.470001,45.470001,68.889999
74,68.889999,68.889999,68.889999,68.889999
75,45.470001,45.470001,68.889999,68.889999
76,45.470001,68.889999,68.889999,68.889999
77,45.470001,45.470001,68.889999,68.889999
78,13.83,45.470001,68.889999,68.889999
79,13.83,17.110001,45.470001,68.889999
80,13.83,26.27,68.889999,68.889999
81,12.14,12.14,40.869999,46.52
82,13.02,13.02,20.280001000000002,45.470001
83,13.02,45.470001,45.470001,45.470001
84,13.83,45.470001,45.470001,68.889999
85,13.83,46.52,68.889999,68.889999
86,13.83,45.470001,68.889999,68.889999
87,45.470001,45.470001,68.889999,68.889999
88,40.869999,68.889999,68.889999,68.889999
89,45.470001,45.470001,68.889999,68.889999
90,17.110001,45.470001,45.470001,68.889999
91,20.280001000000002,40.869999,40.869999,46.52
92,13.02,40.869999,46.52,68.889999
93,68.889999,68.889999,68.889999,68.889999
94,68.889999,68.889999,68.889999,68.889999
95,68.889999,68.889999,68.889999,68.889999
96,45.470001,68.889999,68.889999,68.889999
97,45.470001,45.470001,68.889999,68.889999
98,13.83,45.470001,45.470001,68.889999
99,45.470001,45.470001,45.470001,68.889999
100,45.470001,45.470001,45.470001,45.470001
