climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,7.25,7.25,7.48,7.48
2,7.25,7.48,7.79,7.79
3,2.25,7.48,7.79,7.79
4,2.55,6.09,7.79,7.79
5,2.23,3.79,7.37,7.79
6,2.03,2.23,3.94,7.79
7,2.23,3.94,3.94,7.48
8,3.79,3.94,3.94,7.48
9,3.79,3.94,6.09,7.79
10,2.47,6.14,6.25,7.79
11,7.25,7.25,7.25,7.48
12,7.25,7.25,7.25,7.79
13,7.25,7.79,7.79,7.79
14,2.55,7.25,7.79,7.79
15,2.55,6.09,7.25,7.79
16,3.79,6.09,7.37,7.79
17,3.79,6.25,6.59,7.79
18,6.09,6.25,7.48,7.79
19,4.28,6.14,7.48,7.79
20,6.14,6.25,7.48,11.8
21,7.25,7.25,7.25,7.25
22,7.25,7.25,7.25,7.79
23,7.25,7.25,7.79,7.79
24,7.25,7.48,7.79,7.79
25,7.25,7.79,7.79,7.79
26,7.25,7.37,7.79,7.79
27,7.25,7.48,7.79,7.83
28,6.25,7.37,7.79,10.16
29,3.71,7.37,7.79,11.8
30,2.47,7.48,7.48,7.83
31,7.25,7.25,7.25,7.25
32,7.25,7.25,7.25,7.25
33,7.25,7.25,7.25,7.79
34,7.25,7.25,7.79,7.79
35,7.25,7.25,7.79,7.79
36,7.25,7.25,7.25,7.79
37,7.25,7.25,7.25,7.79
38,7.25,7.37,7.79,7.83
39,7.25,7.37,7.79,10.16
40,7.48,7.48,7.79,11.8
41,7.25,7.25,7.25,7.25
42,7.25,7.25,7.25,7.25
43,7.25,7.25,7.25,7.25
44,7.25,7.25,7.25,7.83
45,7.25,7.25,7.25,10.16
46,7.25,7.25,7.79,10.16
47,7.25,7.79,7.79,10.16
48,7.79,7.79,7.79,10.16
49,7.25,7.79,7.79,10.16
50,7.25,7.48,7.79,10.16
51,7.25,7.25,7.25,7.25
52,7.25,7.25,7.25,7.25
53,7.25,7.25,7.25,7.25
54,7.25,7.25,7.25,7.48
55,7.25,7.25,7.25,7.83
56,7.25,7.25,7.79,7.83
57,7.79,7.79,7.79,10.16
58,7.25,7.79,7.79,10.16
59,7.48,10.16,10.16,10.16
60,7.25,7.48,10.16,10.16
61,7.25,7.25,7.25,7.25
62,7.25,7.25,7.25,7.25
63,7.25,7.25,7.25,7.25
64,7.25,7.25,7.25,7.25
65,7.25,7.25,7.25,7.79
66,5.28,7.25,7.25,7.79
67,3.0,7.25,7.79,7.79
68,5.17,7.79,7.79,7.79
69,7.25,7.79,7.79,10.16
70,9.22,9.22,10.16,10.16
71,7.25,7.25,7.25,7.25
72,7.25,7.25,7.25,7.25
73,5.17,7.25,7.25,7.25
74,6.657199,9.22,9.22,10.16
75,9.22,9.22,9.22,10.16
76,9.22,9.22,9.22,9.22
77,9.22,9.22,9.22,9.22
78,9.22,9.22,9.22,9.22
79,9.22,9.22,9.22,10.16
80,9.22,9.22,9.22,9.22
81,7.25,7.25,7.25,7.25
82,7.25,7.25,7.25,7.25
83,7.25,7.25,7.25,7.25
84,2.47,6.941628999999999,7.25,10.16
85,3.88,9.22,9.22,9.22
86,9.22,9.22,9.22,9.22
87,3.88,9.22,9.22,10.16
88,2.47,3.88,9.22,9.22
89,3.88,9.22,9.22,9.22
90,3.88,9.22,9.22,9.22
91,5.17,7.25,7.25,9.22
92,9.22,9.22,9.22,9.22
93,9.22,9.22,9.22,9.22
94,9.22,9.22,9.22,9.22
95,9.22,9.22,9.22,9.22
96,9.22,9.22,9.22,9.22
97,3.88,9.22,9.22,9.22
98,9.22,9.22,9.22,9.22
99,9.22,9.22,9.22,9.22
100,3.88,9.22,9.22,9.22
