climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.64,1.64,1.64,1.64
2,1.64,1.64,1.64,1.64
3,1.64,1.64,1.64,1.64
4,1.64,1.64,1.64,1.64
5,1.64,1.64,1.64,1.64
6,1.64,1.64,1.64,1.64
7,1.64,1.64,1.64,1.64
8,1.64,1.64,1.64,1.64
9,1.64,1.64,1.64,1.87
10,1.19,1.64,3.56,3.57
11,1.64,1.64,1.64,1.64
12,1.64,1.64,1.64,1.64
13,1.64,1.64,1.64,1.64
14,1.64,1.64,1.64,1.64
15,1.64,1.64,1.64,1.64
16,1.64,1.64,1.64,1.64
17,1.64,1.64,1.64,1.64
18,1.64,1.64,1.64,3.57
19,1.64,1.64,3.56,3.57
20,1.64,3.56,3.57,3.9
21,1.64,1.64,1.64,1.64
22,1.64,1.64,1.64,1.64
23,1.64,1.64,1.64,1.64
24,1.64,1.64,1.64,1.64
25,1.64,1.64,1.64,1.64
26,1.64,1.64,1.64,1.64
27,1.64,1.64,1.64,3.56
28,1.64,1.64,3.56,3.57
29,1.64,3.56,3.9,3.9
30,1.64,3.56,3.57,3.9
31,1.16,1.64,1.64,1.87
32,1.64,1.64,1.64,1.64
33,1.64,1.64,1.64,1.64
34,1.64,1.64,1.64,1.64
35,1.64,1.64,1.64,1.64
36,1.64,1.64,1.64,3.9
37,1.64,1.64,3.9,3.9
38,1.47,1.64,3.9,3.9
39,1.47,1.47,1.64,3.9
40,1.1174389999999998,1.47,1.64,1.64
41,0.55,1.41,1.64,2.54
42,1.41,1.64,1.64,1.64
43,1.64,1.64,1.64,1.64
44,1.64,1.64,1.64,1.64
45,1.41,1.64,1.64,1.64
46,1.47,1.64,1.64,1.87
47,1.47,1.47,1.64,1.64
48,1.47,1.64,1.64,1.64
49,1.1174389999999998,1.64,1.64,1.64
50,1.047049,1.231822,1.64,1.64
51,1.115204,1.41,1.41,2.54
52,0.5219,1.072667,1.41,1.64
53,0.55,1.41,1.64,1.87
54,1.41,1.64,1.64,1.64
55,1.64,1.64,1.64,1.64
56,1.64,1.64,1.64,1.64
57,1.64,1.64,1.64,1.64
58,1.64,1.64,1.64,1.64
59,1.249419,1.64,1.64,1.64
60,1.047049,1.64,1.64,1.64
61,1.41,1.41,1.41,1.5757370000000002
62,1.41,1.41,1.41,1.41
63,0.5219,0.63,1.41,1.47
64,0.5219,0.61,0.63,1.47
65,0.61,0.63,1.41,1.68
66,0.862275,1.64,1.64,1.64
67,1.231822,1.64,1.64,1.64
68,1.231822,1.64,1.64,1.64
69,1.231822,1.64,1.64,1.64
70,0.747892,1.64,1.64,1.64
71,0.632302,1.41,1.41,1.89
72,0.526918,0.55,1.41,1.41
73,0.526918,0.63,1.26,1.41
74,0.5219,0.55,0.63,1.41
75,0.5219,0.5219,0.63,1.41
76,0.5219,0.63,1.41,1.47
77,0.712697,0.976659,1.1262370000000002,1.64
78,1.1262370000000002,1.231822,1.64,1.64
79,0.976659,1.047049,1.64,1.64
80,0.7038979999999999,1.64,1.64,1.64
81,3.03,3.03,3.03,3.03
82,3.03,3.03,3.03,3.03
83,3.03,3.03,3.03,3.03
84,1.26,1.5757370000000002,3.03,3.03
85,0.5219,1.41,1.41,1.41
86,0.5219,0.5219,1.41,1.41
87,0.712697,1.1174389999999998,1.1262370000000002,1.41
88,0.816522,0.976659,1.1174389999999998,1.41
89,0.976659,1.047049,1.1262370000000002,1.64
90,0.7038979999999999,1.064646,1.64,1.64
91,3.03,3.03,3.03,3.03
92,0.862275,1.1174389999999998,2.17,2.17
93,0.607112,1.1174389999999998,1.41178,2.17
94,0.712697,1.1174389999999998,1.1262370000000002,2.17
95,0.712697,1.1174389999999998,1.1262370000000002,2.17
96,0.64,1.047049,1.1262370000000002,2.17
97,0.607112,1.047049,1.1350360000000002,1.9114259999999998
98,0.771675,1.1262370000000002,1.1350360000000002,2.17
99,0.976659,1.1350360000000002,1.32,2.17
100,0.6951,1.0,1.32,2.17
