climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.54,0.7976449999999999,1.6,1.6
2,0.5049779999999999,0.6992010000000001,0.881166,1.6
3,0.582667,0.6992010000000001,0.6992010000000001,1.6
4,0.582667,0.6992010000000001,1.6,1.6
5,0.54,0.6992010000000001,1.6,1.6
6,0.5049779999999999,0.6992010000000001,1.0,1.6
7,0.54,0.6992010000000001,1.6,1.6
8,0.47908199999999995,0.6992010000000001,1.1275,1.6
9,0.47908199999999995,0.47908199999999995,0.6992010000000001,1.6
10,0.440237,0.47908199999999995,1.6,1.6
11,0.54,0.673304,1.6,1.6
12,0.6363979999999999,0.6992010000000001,0.881166,1.6
13,0.582667,0.6992010000000001,1.6,1.6
14,0.582667,0.988607,1.6,1.6
15,0.6992010000000001,0.750993,0.893423,1.6
16,0.6992010000000001,0.802786,0.893423,0.893423
17,0.47908199999999995,0.6992010000000001,0.893423,0.893423
18,0.47908199999999995,0.47908199999999995,0.673304,0.893423
19,0.63446,0.673304,0.673304,1.358852
20,0.673304,0.78,0.96,1.358852
21,0.673304,0.673304,1.6,1.6
22,0.6992010000000001,1.6,1.6,1.6
23,0.6992010000000001,1.6,1.6,1.6
24,0.673304,0.6992010000000001,1.6,1.6
25,0.673304,0.686253,0.802786,0.9298770000000001
26,0.401393,0.6992010000000001,0.802786,0.893423
27,0.388445,0.5049779999999999,0.673304,1.18
28,0.63446,0.673304,0.750993,1.514722
29,0.63446,0.673304,0.750993,1.358852
30,0.63446,0.673304,0.750993,1.6
31,0.673304,0.8026310000000001,1.6,1.6
32,0.673304,1.360557,1.6,1.6
33,0.673304,0.802786,1.6,1.6
34,0.686253,0.802786,1.6,1.6
35,0.5049779999999999,0.802786,1.18,1.6
36,0.6992010000000001,0.75,1.18,1.6
37,0.75,0.750993,0.98406,1.514722
38,0.75,0.750993,1.514722,1.514722
39,0.7,0.75,0.75,1.18
40,0.75,0.75,0.75,1.18
41,0.673304,0.673304,1.6,1.6
42,0.673304,1.6,1.6,1.6
43,0.673304,0.802786,1.6,1.6
44,0.673304,0.6992010000000001,1.6,1.6
45,0.98406,1.18,1.6,1.984809
46,0.98406,1.18,1.984809,1.984809
47,0.75,1.18,1.514722,1.826889
48,0.75,0.75,1.514722,1.566109
49,0.75,0.75,0.75,1.18
50,0.75,0.75,0.75,1.6
51,0.8485299999999999,1.6,1.6,1.6
52,1.6,1.6,1.6,1.6
53,0.673304,1.6,1.6,1.6
54,0.673304,1.6,1.6,1.6
55,0.6992010000000001,1.410259,1.6,1.984809
56,0.75,1.566109,1.984809,1.984809
57,0.75,1.6,1.984809,1.984809
58,0.75,0.75,1.514722,1.984809
59,0.75,1.18,1.514722,1.6
60,0.75,0.75,1.514722,1.6
61,1.301828,1.6,1.6,1.6
62,0.673304,1.6,1.6,1.6
63,0.673304,1.6,1.6,1.6
64,0.75,1.6,1.6,1.6
65,0.75,0.75,1.6,1.6
66,0.75,1.253563,1.6,1.984809
67,1.253563,1.6,1.984809,1.984809
68,1.253563,1.410259,1.984809,1.984809
69,0.802786,1.514722,1.6,1.984809
70,0.802786,1.6,1.6,2.57
71,0.673304,0.673304,1.6,1.6
72,0.75,0.75,1.410259,1.6
73,0.75,0.75,1.410259,1.6
74,0.75,0.75,1.6,1.6
75,0.75,1.410259,1.6,1.6
76,1.306611,1.6,1.6,1.6
77,1.253563,1.6,1.6,1.6
78,1.6,1.6,1.6,1.6
79,1.6,1.6,1.6,2.57
80,0.9005129999999999,1.6,1.6,2.57
81,0.75,1.410259,1.6,1.6
82,1.410259,1.6,1.6,1.6
83,1.6,1.6,1.6,1.6
84,1.6,1.6,1.6,1.6
85,1.6,1.6,1.6,1.6
86,1.6,1.6,1.6,1.6
87,1.6,1.6,1.6,2.57
88,1.6,1.6,1.6,2.57
89,1.6,1.6,1.6,1.6
90,1.03,1.6,1.6,1.6
91,1.6,1.6,1.6,1.6
92,1.6,1.6,1.6,1.6
93,1.6,1.6,1.6,1.6
94,1.6,1.6,1.6,1.6
95,1.6,1.6,1.6,1.6
96,1.6,1.6,1.6,1.6
97,1.6,1.6,1.6,1.6
98,1.6,1.6,1.6,1.6
99,1.6,1.6,1.6,1.6
100,1.6,1.6,1.6,1.6
