climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,18.157122,19.16,23.549999,40.951187
2,19.16,19.34,23.549999,28.608299
3,19.16,19.34,23.549999,28.608299
4,19.16,19.678013,22.567608,28.046072
5,19.16,22.49,26.555509999999998,42.572497999999996
6,17.867403,23.549999,30.621864000000002,47.201077000000005
7,16.749192999999998,21.3647,29.293266,42.572497999999996
8,19.16,21.84,30.621864000000002,38.740002000000004
9,17.79599,20.68,28.18,38.740002000000004
10,17.982895000000003,20.450001,41.860001000000004,41.860001000000004
11,19.16,19.16,21.992304,27.980696000000002
12,19.16,19.16,20.75017,27.980696000000002
13,14.388385999999999,19.16,22.188429,38.740002000000004
14,15.482686,19.481886,25.795744,38.740002000000004
15,15.482686,19.16,35.84,51.259997999999996
16,15.482686,19.16,24.502481,38.740002000000004
17,12.625836999999999,15.482686,19.16,38.740002000000004
18,13.650395000000001,19.16,24.655447,51.259997999999996
19,19.219998999999998,23.549999,31.950001,51.259997999999996
20,19.16,19.6,41.860001000000004,51.259997999999996
21,19.053957,19.16,20.75017,23.549999
22,13.466791,16.160053,19.16,23.549999
23,13.466791,16.160053,19.16,23.549999
24,14.251848,19.16,20.09075,26.33
25,18.91,19.16,21.610001,24.509645000000003
26,13.650395000000001,19.16,21.610001,26.33
27,13.650395000000001,19.16,20.424826,24.509645000000003
28,12.92,19.16,23.549999,31.950001
29,19.219998999999998,19.219998999999998,23.549999,23.549999
30,19.219998999999998,19.219998999999998,41.860001000000004,58.240002000000004
31,19.08,19.16,23.09,29.57
32,19.16,19.16,19.16,23.549999
33,19.16,19.16,19.16,22.49
34,19.16,19.16,19.16,21.610001
35,12.92,19.16,19.16,22.49
36,19.16,19.16,19.16,23.219998999999998
37,19.16,19.16,20.450001,23.549999
38,19.16,23.219998999999998,23.549999,58.240002000000004
39,23.549999,58.240002000000004,58.240002000000004,58.240002000000004
40,23.549999,58.240002000000004,58.240002000000004,58.240002000000004
41,19.16,19.16,23.09,29.57
42,19.16,19.16,19.16,19.16
43,19.16,19.16,19.16,19.16
44,19.16,19.16,19.16,21.34
45,19.16,19.16,19.16,20.450001
46,19.16,19.16,19.16,20.450001
47,19.16,19.16,19.16,20.450001
48,19.16,19.16,19.16,21.34
49,19.16,19.16,23.549999,58.240002000000004
50,19.16,41.860001000000004,58.240002000000004,58.240002000000004
51,19.16,19.16,23.09,29.57
52,19.16,19.16,19.16,29.57
53,19.16,19.16,19.16,19.16
54,19.16,19.16,19.16,19.16
55,19.16,19.16,19.16,19.16
56,19.16,19.16,19.16,19.16
57,19.16,19.16,19.16,19.16
58,19.16,19.16,19.16,19.16
59,19.16,19.16,19.16,23.549999
60,19.16,19.16,23.549999,41.860001000000004
61,18.84,21.34,23.549999,37.220657
62,19.16,19.16,19.16,19.16
63,19.16,19.16,19.16,19.16
64,19.16,19.16,19.16,19.16
65,19.16,19.16,19.16,19.16
66,19.16,19.16,19.16,19.16
67,19.16,19.16,19.16,19.16
68,19.16,19.16,19.16,19.16
69,19.16,19.16,19.16,19.16
70,19.16,19.16,19.16,19.16
71,14.17,19.16,22.49,37.220657
72,19.16,19.16,19.16,23.549999
73,19.16,19.16,19.16,19.16
74,19.16,19.16,19.16,19.16
75,19.16,19.16,19.16,19.16
76,19.16,19.16,19.16,19.16
77,19.16,19.16,19.16,19.16
78,19.16,19.16,19.16,19.16
79,19.16,19.16,19.16,19.16
80,19.16,19.16,19.16,32.09
81,14.17,22.123663,27.153719,27.161331
82,26.976332,27.106514,27.161331,27.161331
83,27.161331,27.161331,27.161331,27.161331
84,27.161331,27.161331,27.161331,27.161331
85,27.161331,27.161331,27.161331,27.161331
86,19.16,22.127275,27.161331,27.161331
87,18.030001000000002,19.16,19.16,29.48
88,19.16,19.16,19.16,19.16
89,19.16,19.16,19.16,19.16
90,17.68,19.16,19.16,32.09
91,12.176235,14.17,15.31,20.666056
92,17.166754,24.941319,27.161331,27.161331
93,10.849642,11.14,19.16,21.54192
94,11.14,17.435232,18.321884,21.200001
95,11.14,17.435232,18.321884,21.200001
96,12.51,17.435232,18.321884,21.200001
97,11.135143,17.68,18.030001000000002,19.16
98,11.14,17.68,17.68,18.559998999999998
99,11.46,17.68,17.68,18.030001000000002
100,17.68,17.68,17.68,17.68
