climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.33,1.33,4.48,4.48
2,1.33,1.33,1.33,4.48
3,1.33,1.33,1.33,1.33
4,1.33,1.33,1.33,1.33
5,1.33,1.33,1.33,4.48
6,1.33,1.33,1.33,4.48
7,1.33,1.33,1.33,2.3
8,1.33,1.33,1.33,4.48
9,1.33,1.33,1.55,2.3
10,1.33,1.55,2.3,2.3
11,1.33,1.33,1.33,4.48
12,1.33,1.33,1.33,4.48
13,1.33,1.33,1.33,1.33
14,1.33,1.33,1.33,1.33
15,1.33,1.33,1.33,1.33
16,1.33,1.33,1.33,1.33
17,1.33,1.33,1.33,1.33
18,1.33,1.33,1.55,2.3
19,1.33,1.55,2.19,4.48
20,1.33,1.55,2.3,2.3
21,1.33,1.33,1.33,1.33
22,1.33,1.33,1.33,1.33
23,1.33,1.33,1.33,1.33
24,1.33,1.33,1.33,1.33
25,1.33,1.33,1.33,2.15
26,1.33,1.33,2.15,3.32
27,1.33,1.33,2.3,2.3
28,2.19,2.3,2.3,2.3
29,2.19,2.3,2.3,2.3
30,1.55,2.19,2.3,2.3
31,1.33,1.33,1.33,2.15
32,1.33,1.33,1.33,1.33
33,1.33,1.33,1.33,1.33
34,1.33,1.33,1.33,1.55
35,1.33,1.33,1.33,2.3
36,1.33,1.33,1.55,3.32
37,1.33,2.3,2.3,4.48
38,2.3,2.3,2.3,2.3
39,2.3,2.3,2.3,2.3
40,2.19,2.3,2.3,2.3
41,1.33,1.33,1.33,2.15
42,1.33,1.33,1.33,1.33
43,1.33,1.33,1.33,1.33
44,1.33,1.33,1.33,1.33
45,1.33,1.33,1.33,1.33
46,1.33,1.33,1.33,1.55
47,1.33,1.33,1.33,2.3
48,1.33,1.33,2.3,4.48
49,2.3,2.3,2.3,4.48
50,2.19,2.19,2.3,2.3
51,1.33,1.33,1.33,2.15
52,1.33,1.33,1.33,1.33
53,1.33,1.33,1.33,1.33
54,1.33,1.33,1.33,1.33
55,1.33,1.33,1.55,1.55
56,1.33,1.33,1.33,2.17
57,1.33,1.33,1.55,2.3
58,1.33,1.33,1.55,3.32
59,1.55,2.15,2.3,3.32
60,2.19,2.3,2.3,2.3
61,1.33,1.33,1.33,2.15
62,1.33,1.33,1.33,2.15
63,1.33,1.33,1.55,2.3
64,1.33,1.33,1.55,2.3
65,1.33,1.33,1.33,2.3
66,1.33,1.33,1.33,2.3
67,1.33,1.33,1.33,2.3
68,1.33,1.55,2.19,2.3
69,1.33,1.55,2.19,2.3
70,2.19,2.19,2.3,2.3
71,1.33,1.33,2.15,2.15
72,1.33,1.33,1.55,2.3
73,1.33,1.33,1.33,2.3
74,1.33,1.55,2.19,2.19
75,1.33,2.19,2.19,2.19
76,1.55,2.19,2.19,2.3
77,1.33,1.55,2.19,2.19
78,1.33,1.55,2.19,2.19
79,1.55,2.19,2.19,2.19
80,1.55,2.19,2.19,2.3
81,1.33,1.33,2.15,2.15
82,2.15,2.15,2.15,3.32
83,1.33,1.33,2.15,2.17
84,1.33,1.55,2.15,2.19
85,1.33,1.55,2.19,2.19
86,1.33,2.15,2.19,2.19
87,1.33,1.55,2.15,2.19
88,1.33,1.33,1.33,2.19
89,1.33,1.55,2.19,3.32
90,1.55,1.55,2.3,3.32
91,1.33,2.15,2.15,2.15
92,2.15,2.15,2.15,2.15
93,1.55,2.15,2.15,3.32
94,1.33,2.15,2.15,2.17
95,1.33,2.15,2.15,2.15
96,1.33,1.33,2.15,2.15
97,1.33,1.33,2.15,2.15
98,1.33,1.33,1.33,2.15
99,1.33,1.55,2.15,3.32
100,1.55,2.15,2.15,4.48
