climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,13.72,17.977388,20.50049,34.603069
2,14.625285,18.639999,20.563215,34.603069
3,16.601110000000002,18.639999,24.180332,35.77
4,16.601110000000002,21.441359,23.657626999999998,40.969615999999995
5,22.413591,25.400387,34.435802,40.969615999999995
6,17.94969,24.263964,28.968309,40.969615999999995
7,15.21,24.148972,26.281607,36.15028
8,14.59,15.470114,25.400387,35.77
9,15.21,18.24,34.18,73.269997
10,16.879998999999998,30.85,41.860001000000004,73.269997
11,16.412937,18.639999,18.639999,34.0
12,16.484442,18.639999,24.456326,27.459999
13,16.590656,18.76511,24.456326,27.459999
14,16.484442,18.76511,24.456326,45.400002
15,12.930729,18.00589,24.456326,41.860001000000004
16,9.875049,14.154851,18.639999,27.459999
17,10.068545,12.783660000000001,24.456326,45.400002
18,14.98,24.456326,27.459999,73.269997
19,34.0,45.400002,47.790001000000004,47.790001000000004
20,30.85,34.0,34.0,73.269997
21,18.24,18.639999,19.799999,38.639998999999996
22,11.482667,13.778503,18.639999,23.573994
23,11.369538,13.778503,18.639999,27.459999
24,10.747324,16.652697,27.459999,45.400002
25,10.747324,18.639999,27.459999,73.269997
26,10.079858999999999,18.043613,41.41,73.269997
27,14.98,18.639999,41.41,73.269997
28,33.599998,41.41,47.790001000000004,73.269997
29,34.0,38.639998999999996,47.790001000000004,73.269997
30,19.799999,34.0,38.639998999999996,73.269997
31,16.967003,18.639999,38.639998999999996,38.639998999999996
32,13.72,17.139999,19.799999,38.639998999999996
33,10.747324,12.043123,16.030483,38.639998999999996
34,9.989355,11.520418,17.139999,27.209999
35,11.520418,16.652697,18.639999,27.209999
36,8.6,14.47,18.639999,27.209999
37,8.164652,13.72,18.639999,41.41
38,8.164652,18.639999,34.09,41.41
39,7.84,19.799999,41.41,41.41
40,18.639999,30.85,33.490002000000004,44.349998
41,13.72,18.639999,27.77,54.099998
42,18.639999,18.639999,19.799999,54.099998
43,18.639999,18.639999,18.639999,38.639998999999996
44,18.639999,18.639999,18.639999,38.639998999999996
45,18.639999,18.639999,18.639999,44.349998
46,18.639999,18.639999,19.799999,44.349998
47,18.639999,19.799999,41.41,44.349998
48,18.639999,27.77,44.349998,44.349998
49,18.639999,26.66,33.490002000000004,44.349998
50,18.639999,30.85,33.490002000000004,34.09
51,16.101875,25.0,38.639998999999996,54.099998
52,18.639999,18.639999,18.639999,44.349998
53,18.639999,18.639999,18.639999,39.989353
54,18.639999,18.639999,18.639999,30.700001
55,18.639999,18.639999,18.639999,26.440811
56,18.639999,18.639999,18.639999,26.66
57,18.639999,18.639999,18.639999,44.349998
58,18.639999,18.639999,18.639999,44.349998
59,18.639999,18.639999,18.639999,18.639999
60,18.639999,18.639999,30.85,30.85
61,17.6,27.77,38.639998999999996,47.554741
62,11.922187,23.389999,32.950001,54.099998
63,18.639999,25.362683999999998,32.950001,44.349998
64,18.639999,18.639999,18.639999,25.362683999999998
65,18.639999,18.639999,18.639999,27.77
66,18.639999,18.639999,18.639999,18.639999
67,18.639999,18.639999,18.639999,18.639999
68,18.639999,18.639999,18.639999,18.639999
69,18.639999,18.639999,18.639999,18.639999
70,18.639999,18.639999,18.639999,30.85
71,38.639998999999996,38.639998999999996,38.639998999999996,38.639998999999996
72,23.389999,38.639998999999996,38.639998999999996,38.639998999999996
73,4.182511,17.91,23.389999,39.545853
74,11.128525,23.389999,27.77,54.099998
75,18.639999,18.639999,25.362683999999998,30.700001
76,18.639999,18.639999,18.639999,18.639999
77,18.639999,18.639999,18.639999,18.639999
78,18.639999,18.639999,18.639999,18.639999
79,18.639999,18.639999,18.639999,18.639999
80,18.639999,18.639999,18.639999,18.639999
81,20.210442,22.38365,22.38365,27.540001
82,3.82,17.91,27.540001,38.639998999999996
83,19.688979999999997,22.247896,27.77,38.639998999999996
84,18.639999,18.639999,27.77,32.642258
85,18.639999,18.639999,18.639999,18.639999
86,18.639999,18.639999,18.639999,18.639999
87,18.639999,18.639999,18.639999,18.639999
88,18.639999,18.639999,18.639999,18.639999
89,18.639999,18.639999,18.639999,18.639999
90,18.639999,18.639999,18.639999,41.900002
91,6.950438,14.920091000000001,17.002562,24.878667999999998
92,8.54,11.94,18.652718,27.087219
93,8.54,12.119983,16.931435,24.667557000000002
94,8.54,14.474956,19.688979999999997,28.07
95,8.54,12.810234,18.639999,28.07
96,8.54,9.58,17.114147,28.07
97,8.54,13.754252,17.114147,28.07
98,9.58,14.775656,18.639999,28.07
99,9.58,15.45,18.639999,28.07
100,10.465413,15.45,15.45,28.540001
