climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,14.98,14.98,14.98,36.330002
2,14.98,14.98,14.98,14.98
3,14.98,14.98,14.98,14.98
4,14.98,14.98,14.98,14.98
5,14.98,14.98,14.98,14.98
6,14.98,14.98,14.98,14.98
7,14.98,14.98,14.98,14.98
8,14.98,14.98,14.98,14.98
9,14.98,14.98,14.98,14.98
10,14.98,14.98,14.98,14.98
11,36.330002,36.330002,36.330002,36.330002
12,14.98,14.98,14.98,14.98
13,14.98,14.98,14.98,14.98
14,14.98,14.98,14.98,14.98
15,14.98,14.98,14.98,14.98
16,14.98,14.98,14.98,14.98
17,14.98,14.98,14.98,14.98
18,14.98,14.98,14.98,14.98
19,14.98,14.98,14.98,14.98
20,14.98,14.98,14.98,14.98
21,14.98,14.98,36.330002,36.330002
22,14.98,14.98,14.98,14.98
23,14.98,14.98,14.98,14.98
24,14.98,14.98,14.98,14.98
25,14.98,14.98,14.98,14.98
26,14.98,14.98,14.98,14.98
27,14.98,14.98,14.98,14.98
28,14.98,14.98,14.98,14.98
29,14.98,14.98,14.98,14.98
30,14.98,14.98,14.98,14.98
31,14.98,14.98,36.330002,36.330002
32,,,,
33,14.98,14.98,14.98,14.98
34,14.98,14.98,14.98,14.98
35,14.98,14.98,14.98,14.98
36,14.98,14.98,14.98,14.98
37,14.98,14.98,14.98,14.98
38,14.98,14.98,14.98,14.98
39,14.98,14.98,14.98,14.98
40,14.98,14.98,14.98,14.98
41,14.98,14.98,14.98,36.330002
42,,,,
43,14.98,14.98,14.98,14.98
44,,,,
45,14.98,14.98,14.98,14.98
46,14.98,14.98,14.98,14.98
47,14.98,14.98,14.98,14.98
48,14.98,14.98,14.98,14.98
49,14.98,14.98,14.98,14.98
50,14.98,14.98,14.98,14.98
51,36.330002,36.330002,36.330002,36.330002
52,,,,
53,14.98,14.98,14.98,14.98
54,14.98,14.98,14.98,14.98
55,14.98,14.98,14.98,14.98
56,14.98,14.98,14.98,14.98
57,14.98,14.98,14.98,14.98
58,14.98,14.98,14.98,14.98
59,14.98,14.98,14.98,14.98
60,14.98,14.98,14.98,14.98
61,36.330002,36.330002,36.330002,36.330002
62,36.330002,36.330002,36.330002,36.330002
63,14.98,14.98,14.98,36.330002
64,14.98,14.98,14.98,14.98
65,14.98,14.98,14.98,14.98
66,14.98,14.98,14.98,36.330002
67,14.98,14.98,14.98,14.98
68,14.98,14.98,14.98,14.98
69,14.98,14.98,14.98,14.98
70,14.98,14.98,14.98,14.98
71,36.330002,36.330002,36.330002,36.330002
72,36.330002,36.330002,36.330002,36.330002
73,36.330002,36.330002,36.330002,36.330002
74,36.330002,36.330002,36.330002,36.330002
75,36.330002,36.330002,36.330002,36.330002
76,36.330002,36.330002,36.330002,36.330002
77,36.330002,36.330002,36.330002,36.330002
78,36.330002,36.330002,36.330002,36.330002
79,14.98,14.98,14.98,14.98
80,14.98,14.98,14.98,14.98
81,36.330002,36.330002,36.330002,36.330002
82,36.330002,36.330002,36.330002,36.330002
83,36.330002,36.330002,36.330002,36.330002
84,36.330002,36.330002,36.330002,36.330002
85,36.330002,36.330002,36.330002,36.330002
86,36.330002,36.330002,36.330002,36.330002
87,36.330002,36.330002,36.330002,36.330002
88,36.330002,36.330002,36.330002,36.330002
89,36.330002,36.330002,36.330002,36.330002
90,36.330002,36.330002,36.330002,36.330002
91,36.330002,36.330002,36.330002,36.330002
92,36.330002,36.330002,36.330002,36.330002
93,36.330002,36.330002,36.330002,36.330002
94,36.330002,36.330002,36.330002,36.330002
95,36.330002,36.330002,36.330002,36.330002
96,36.330002,36.330002,36.330002,36.330002
97,36.330002,36.330002,36.330002,36.330002
98,36.330002,36.330002,36.330002,36.330002
99,36.330002,36.330002,36.330002,36.330002
100,36.330002,36.330002,36.330002,36.330002
