climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.59,2.59,2.59,2.59
2,2.59,2.59,2.59,2.59
3,2.59,2.59,2.59,2.59
4,2.59,2.59,2.59,2.59
5,2.59,2.59,2.59,2.59
6,2.59,2.59,2.59,2.59
7,2.59,2.59,2.59,2.59
8,2.59,2.59,2.59,2.59
9,2.59,2.59,2.59,2.59
10,2.59,2.59,2.59,2.59
11,2.59,2.59,2.59,2.59
12,2.59,2.59,2.59,2.59
13,2.59,2.59,2.59,2.59
14,2.59,2.59,2.59,2.59
15,2.59,2.59,2.59,2.59
16,2.59,2.59,2.59,2.59
17,2.59,2.59,2.59,2.59
18,2.59,2.59,2.59,2.59
19,2.59,2.59,2.59,2.59
20,2.59,2.59,2.59,2.59
21,2.59,2.59,2.59,2.59
22,2.59,2.59,2.59,2.59
23,2.59,2.59,2.59,2.59
24,2.59,2.59,2.59,2.59
25,2.59,2.59,2.59,2.59
26,2.59,2.59,2.59,2.59
27,2.59,2.59,2.59,2.59
28,2.59,2.59,2.59,2.59
29,2.59,2.59,2.59,2.59
30,2.59,2.59,2.59,2.59
31,2.59,2.59,2.59,2.62
32,2.59,2.59,2.59,2.62
33,2.59,2.59,2.59,2.59
34,2.59,2.59,2.59,2.59
35,2.59,2.59,2.59,2.59
36,2.59,2.59,2.59,2.59
37,2.59,2.59,2.59,2.59
38,2.59,2.59,2.59,2.59
39,2.59,2.59,2.59,2.59
40,2.59,2.59,2.59,2.59
41,2.59,2.59,2.59,2.59
42,2.59,2.59,2.59,2.62
43,2.59,2.59,2.59,2.59
44,2.59,2.59,2.59,2.59
45,2.59,2.59,2.59,2.59
46,2.59,2.59,2.59,2.59
47,2.59,2.59,2.59,2.59
48,2.59,2.59,2.59,2.59
49,2.59,2.59,2.59,2.59
50,2.59,2.59,2.59,2.59
51,2.59,2.59,2.59,2.59
52,2.59,2.59,2.59,2.62
53,2.59,2.59,2.59,2.59
54,2.59,2.59,2.59,2.59
55,2.59,2.59,2.59,2.59
56,2.59,2.59,2.59,2.59
57,2.59,2.59,2.59,2.59
58,2.59,2.59,2.59,2.59
59,2.59,2.59,2.59,2.59
60,2.59,2.59,2.59,2.59
61,2.59,2.59,2.59,2.62
62,2.59,2.59,2.59,2.62
63,2.59,2.59,2.59,2.59
64,2.59,2.59,2.59,2.59
65,2.59,2.59,2.59,2.59
66,2.59,2.59,2.59,2.59
67,2.59,2.59,2.59,2.59
68,2.59,2.59,2.59,2.59
69,2.59,2.59,2.59,2.59
70,2.59,2.59,2.59,2.59
71,2.59,2.59,2.59,2.62
72,2.59,2.59,2.59,2.59
73,2.59,2.59,2.59,2.59
74,2.59,2.59,2.59,2.59
75,2.59,2.59,2.59,2.59
76,2.59,2.59,2.59,2.62
77,2.59,2.59,2.59,2.62
78,2.59,2.59,2.59,2.59
79,2.59,2.59,2.59,2.62
80,2.59,2.59,2.59,2.59
81,2.59,2.59,2.59,2.59
82,2.59,2.59,2.59,2.59
83,2.59,2.59,2.59,2.59
84,2.59,2.59,2.59,2.62
85,2.59,2.59,2.59,2.62
86,2.59,2.59,2.59,2.62
87,2.59,2.59,2.59,2.62
88,2.59,2.59,2.59,2.62
89,2.59,2.59,2.59,2.62
90,2.59,2.59,2.59,2.59
91,2.59,2.59,2.59,2.59
92,2.59,2.59,2.59,2.59
93,2.59,2.59,2.59,2.59
94,2.59,2.59,2.59,2.62
95,2.59,2.59,2.59,2.59
96,2.59,2.59,2.59,2.62
97,2.59,2.59,2.59,2.62
98,2.59,2.59,2.59,2.62
99,2.59,2.59,2.59,2.59
100,2.59,2.59,2.59,2.59
