climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.06,1.06,1.06,1.06
2,0.65,1.06,1.06,2.52
3,0.65,1.33,1.33,2.52
4,0.65,1.33,1.33,2.41
5,0.65,1.33,1.76,2.52
6,1.01,1.33,1.76,2.41
7,1.03,1.03,1.33,3.25
8,0.909141,0.959094,0.959094,3.59
9,0.8392069999999999,0.909141,1.318755,1.318755
10,1.078981,1.078981,1.318755,1.318755
11,0.312931,0.604739,0.81,2.19
12,0.312931,0.66,0.909141,3.59
13,0.83,0.909141,0.959094,1.318755
14,0.83,0.909141,0.959094,1.318755
15,0.769273,0.8392069999999999,0.959094,1.318755
16,0.8392069999999999,0.909141,1.078981,1.318755
17,0.909141,1.078981,1.078981,1.318755
18,0.9291219999999999,1.078981,1.078981,1.318755
19,0.83,0.9291219999999999,1.078981,1.318755
20,0.679358,0.679358,0.9291219999999999,1.078981
21,0.312931,0.81,0.81,1.45
22,0.429805,0.81,0.959094,1.097742
23,0.5295,0.769273,0.909141,0.959094
24,0.5295,0.6,0.83,0.959094
25,0.769273,0.769273,0.919132,1.318755
26,0.769273,0.909141,1.078981,1.318755
27,0.859188,1.078981,1.078981,1.318755
28,0.8392069999999999,0.959094,1.078981,1.318755
29,0.679358,0.679358,0.759283,1.009047
30,0.679358,0.679358,0.679358,0.83
31,0.81,0.81,0.959094,1.45
32,0.5295,0.8392069999999999,0.909141,1.318755
33,0.769273,0.769273,0.909141,0.909141
34,0.769273,0.769273,0.8528370000000001,1.078981
35,0.769273,0.909141,0.959094,1.078981
36,0.769273,0.769273,1.078981,1.318755
37,0.8392069999999999,0.8791700000000001,1.012615,1.078981
38,0.9291219999999999,0.9291219999999999,1.009047,1.078981
39,0.679358,0.679358,0.9291219999999999,0.959094
40,0.679358,0.679358,0.679358,0.819226
41,0.838358,0.959094,0.959094,1.136907
42,0.5295,0.8392069999999999,0.8392069999999999,0.959094
43,0.769273,0.8392069999999999,0.909141,0.959094
44,0.769273,0.769273,0.8392069999999999,0.909141
45,0.769273,0.769273,0.83,0.959094
46,0.769273,0.8392069999999999,0.959094,1.318755
47,0.8392069999999999,0.859188,0.9291219999999999,1.318755
48,0.769273,0.859188,0.959094,0.959094
49,0.8528370000000001,0.9291219999999999,0.959094,1.078981
50,0.679358,0.679358,0.869179,0.9491040000000001
51,0.66,0.8392069999999999,0.959094,1.072906
52,0.5295,0.8392069999999999,0.959094,0.959094
53,0.711421,0.8392069999999999,0.9291219999999999,0.959094
54,0.769273,0.8392069999999999,0.869179,0.959094
55,0.769273,0.8392069999999999,0.869179,0.959094
56,0.769273,0.8392069999999999,0.909141,1.078981
57,0.8392069999999999,0.859188,0.945773,1.318755
58,0.859188,0.909141,0.959094,0.959094
59,0.859188,0.9291219999999999,0.959094,0.959094
60,0.819226,0.819226,0.869179,0.959094
61,0.5295,0.83,0.8392069999999999,0.869179
62,0.5295,0.8392069999999999,0.8392069999999999,0.959094
63,0.8392069999999999,0.8392069999999999,0.959094,0.959094
64,0.819226,0.8392069999999999,0.959094,0.959094
65,0.769273,0.8392069999999999,0.959094,0.959094
66,0.819226,0.8392069999999999,0.909141,0.959094
67,0.8392069999999999,0.909141,0.959094,1.318755
68,0.819226,0.909141,0.959094,1.318755
69,0.819226,0.859188,0.959094,0.959094
70,0.819226,0.819226,0.869179,0.959094
71,0.819226,0.8392069999999999,0.8392069999999999,0.909141
72,0.819226,0.8392069999999999,0.8392069999999999,0.909141
73,0.769273,0.8392069999999999,0.8392069999999999,0.909141
74,0.819226,0.8392069999999999,0.8392069999999999,0.909141
75,0.819226,0.8392069999999999,0.8392069999999999,0.959094
76,0.769273,0.8392069999999999,0.959094,0.959094
77,0.769273,0.859188,0.959094,0.959094
78,0.819226,0.869179,0.959094,0.959094
79,0.83,0.959094,0.959094,0.959094
80,0.819226,0.819226,0.869179,0.959094
81,0.819226,0.819226,0.8392069999999999,0.909141
82,0.8207459999999999,0.8392069999999999,0.909141,0.909141
83,0.819226,0.8322139999999999,0.909141,0.909141
84,0.769273,0.819226,0.8207459999999999,0.859188
85,0.429805,0.819226,0.819226,0.959094
86,0.819226,0.959094,1.0494780000000001,1.0494780000000001
87,0.819226,0.959094,1.0494780000000001,1.0494780000000001
88,0.819226,0.819226,0.8516959999999999,1.0494780000000001
89,0.819226,0.819226,0.9491040000000001,1.318575
90,0.88802,0.959094,2.48,2.48
91,0.901475,0.901475,0.901475,0.901475
92,0.819226,0.901475,0.901475,0.901475
93,0.726562,0.819226,0.901475,0.901475
94,0.819226,0.8207459999999999,0.901475,0.901475
95,0.726562,0.819226,0.901475,0.928384
96,0.726562,0.819226,0.928384,1.0494780000000001
97,0.928384,1.0494780000000001,1.0494780000000001,1.0494780000000001
98,0.959094,1.0494780000000001,1.0494780000000001,1.0494780000000001
99,0.928384,1.0494780000000001,1.0494780000000001,1.0494780000000001
100,0.959094,0.959094,0.959094,2.48
