climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.629646,2.34,7.56,9.02
2,1.126268,4.375343,9.4,9.4
3,1.144005,1.995357,3.36,9.4
4,1.0907950000000002,1.995357,3.36,9.4
5,0.8306370000000001,1.197214,2.828973,9.4
6,1.062365,1.98,2.828973,7.56
7,0.89,1.98,2.97,9.4
8,1.98,3.91,3.91,9.4
9,3.44,3.91,4.84,8.2
10,3.38,4.03,4.45,7.56
11,2.625003,7.56,7.56,9.4
12,3.36,3.36,3.36,9.4
13,3.36,3.36,3.91,7.14
14,3.36,3.55,3.91,7.56
15,1.98,3.36,3.91,7.14
16,3.55,3.55,3.91,7.14
17,3.55,3.55,3.91,8.2
18,3.91,3.91,3.91,7.56
19,3.91,7.56,7.56,7.56
20,3.91,4.03,4.03,8.2
21,7.56,7.56,7.56,9.4
22,2.961996,3.91,4.762251999999999,9.4
23,3.36,3.36,3.91,7.14
24,3.36,3.55,3.91,7.14
25,3.36,3.55,3.91,7.56
26,3.36,3.55,3.91,8.2
27,3.55,3.91,3.91,8.2
28,3.91,3.91,3.91,8.2
29,3.91,3.91,5.22,8.2
30,3.91,4.03,4.98,8.2
31,7.56,7.56,7.56,9.02
32,4.336576,9.02,9.4,9.4
33,3.55,3.55,7.56,9.4
34,2.73,3.55,5.355148000000001,10.171789
35,2.73,3.91,7.14,10.171789
36,2.73,3.91,7.14,9.4
37,3.91,4.76,8.2,8.2
38,3.44,4.08,4.76,8.2
39,3.44,3.91,4.76,7.56
40,3.26,4.45,5.85,8.2
41,7.56,7.56,7.56,9.02
42,4.762251999999999,9.02,9.4,9.4
43,3.26,4.762251999999999,9.4,10.171789
44,2.73,3.26,7.14,10.171789
45,3.26,3.94,3.94,9.4
46,3.28,3.94,7.14,9.4
47,3.28,3.94,7.14,7.14
48,3.44,4.76,4.76,7.14
49,3.44,4.76,4.76,9.4
50,2.79,4.45,4.98,7.56
51,7.56,7.56,7.56,9.02
52,4.85,9.02,9.4,9.4
53,3.26,7.14,9.02,9.4
54,3.26,3.44,7.14,9.4
55,3.28,3.44,7.14,9.4
56,3.28,3.44,7.14,7.14
57,2.97,3.28,3.44,7.14
58,2.97,3.44,4.76,7.300821000000001
59,3.26,4.76,4.76,9.4
60,4.45,4.76,5.877264,7.56
61,4.85,7.56,9.02,9.02
62,3.26,3.26,9.02,9.4
63,3.26,3.26,9.02,9.4
64,3.26,3.26,9.02,9.4
65,3.28,3.28,7.14,9.4
66,3.28,3.44,7.300821000000001,9.4
67,4.45,4.45,4.76,9.4
68,4.45,4.45,4.76,6.31
69,4.45,4.45,4.76,5.22
70,4.45,4.72,4.84,6.31
71,4.85,5.01,9.02,9.02
72,3.26,3.26,5.01,9.02
73,3.26,3.26,3.26,9.02
74,3.26,3.28,6.31,9.4
75,3.28,5.22,9.4,9.4
76,4.45,4.45,9.4,9.4
77,4.45,4.45,4.76,9.4
78,4.45,4.45,4.84,9.02
79,4.45,4.45,4.84,9.4
80,4.45,4.45,4.84,6.31
81,4.85,5.01,9.02,9.02
82,7.56,7.56,7.56,9.02
83,3.26,4.85,7.56,7.56
84,3.26,4.84,7.56,9.02
85,3.26,4.84,6.31,7.56
86,3.26,4.45,5.22,9.4
87,3.26,4.45,6.31,9.4
88,3.26,4.84,6.31,9.4
89,4.45,4.45,5.22,9.4
90,4.45,4.72,5.22,9.02
91,4.85,7.56,9.02,9.02
92,4.85,4.85,7.56,9.02
93,4.85,4.85,7.56,9.02
94,4.85,4.85,9.02,9.4
95,3.26,4.84,5.22,9.4
96,2.24,3.26,5.22,9.4
97,3.26,3.26,5.22,9.4
98,3.26,3.26,5.22,9.4
99,4.45,5.877264,9.4,9.4
100,4.85,5.22,6.31,9.4
