climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.08,5.44,5.44,5.44
2,3.08,5.44,5.44,5.44
3,3.08,5.44,5.44,5.44
4,3.08,5.44,5.44,5.44
5,1.39,5.44,5.44,5.44
6,3.08,5.44,5.44,5.44
7,1.39,5.44,5.44,5.44
8,3.08,5.44,5.44,5.44
9,1.29,1.5,3.08,5.44
10,1.07,1.07,1.07,2.45
11,1.39,5.44,5.44,5.44
12,3.08,5.44,5.44,5.44
13,3.08,5.44,5.44,5.44
14,1.39,5.44,5.44,5.44
15,1.39,5.44,5.44,5.44
16,1.51,5.44,5.44,5.44
17,1.51,5.44,5.44,5.44
18,1.39,5.44,5.44,5.44
19,1.5,2.09,5.44,5.44
20,1.07,1.07,1.5,2.31
21,1.39,1.39,5.44,5.44
22,1.39,1.39,1.39,5.44
23,1.39,1.51,5.44,5.44
24,1.39,2.24,5.44,5.44
25,2.09,5.44,5.44,5.44
26,2.09,2.09,5.44,5.44
27,1.5,2.09,2.45,5.44
28,1.5,1.5,1.5,5.44
29,1.5,2.31,2.31,2.45
30,1.07,1.5,2.31,2.31
31,1.39,1.39,1.51,5.44
32,1.39,1.51,1.72,5.44
33,1.39,2.45,5.44,5.44
34,1.39,2.09,2.45,5.44
35,2.31,2.31,2.45,5.44
36,2.3,2.31,2.31,2.31
37,2.31,2.31,2.31,2.31
38,2.31,2.31,2.31,2.31
39,2.31,2.31,2.31,2.31
40,1.07,2.31,2.31,2.31
41,1.39,1.51,5.44,5.44
42,1.39,2.45,5.44,5.44
43,1.51,2.45,5.44,5.44
44,2.09,2.45,2.45,5.44
45,1.72,2.45,2.45,5.44
46,2.31,2.31,2.45,5.44
47,2.31,2.31,2.31,5.44
48,2.31,2.31,2.31,2.31
49,2.31,2.31,2.31,2.45
50,1.07,2.31,2.31,2.31
51,1.51,5.44,5.44,5.44
52,1.72,5.44,5.44,5.44
53,1.39,2.07,2.45,5.44
54,1.39,2.45,2.45,5.44
55,2.45,2.45,2.45,5.44
56,1.06,2.45,2.45,5.44
57,2.31,2.31,2.31,5.44
58,2.31,2.31,2.31,2.45
59,2.31,2.31,2.31,2.31
60,1.07,2.31,2.31,2.31
61,1.51,1.72,5.44,5.44
62,2.45,5.44,5.44,5.44
63,1.39,5.44,5.44,5.44
64,2.45,5.44,5.44,5.44
65,2.45,5.44,5.44,5.44
66,2.45,2.45,5.44,5.44
67,1.06,5.44,5.44,5.44
68,1.06,2.31,5.44,5.44
69,1.07,2.31,2.31,5.44
70,1.07,1.07,2.31,5.44
71,1.39,1.51,2.45,2.45
72,1.06,1.06,1.39,2.45
73,1.06,1.06,1.39,2.45
74,1.06,1.06,1.39,3.07
75,1.06,1.72,5.44,5.44
76,2.45,5.44,5.44,5.44
77,2.45,5.44,5.44,5.44
78,5.44,5.44,5.44,5.44
79,5.44,5.44,5.44,5.44
80,1.07,2.31,5.44,5.44
81,1.06,1.39,1.51,1.72
82,1.06,1.06,1.06,1.39
83,1.06,1.06,1.06,1.39
84,1.06,1.06,1.39,1.72
85,1.06,1.06,1.06,1.72
86,1.06,1.29,1.72,2.45
87,5.44,5.44,5.44,5.44
88,5.44,5.44,5.44,5.44
89,5.44,5.44,5.44,5.44
90,5.44,5.44,5.44,5.44
91,1.29,1.39,1.39,1.72
92,1.29,1.29,1.39,5.44
93,1.29,1.29,1.29,5.44
94,1.29,1.29,5.44,5.44
95,1.29,1.29,1.29,5.44
96,1.29,1.29,1.29,5.44
97,1.29,1.29,5.44,5.44
98,1.29,5.44,5.44,5.44
99,1.29,5.44,5.44,5.44
100,5.44,5.44,5.44,5.44
