climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.316927,0.44017700000000004,0.57,1.22
2,0.475391,1.22,1.22,1.22
3,0.475391,1.22,1.22,1.22
4,0.457784,0.8098350000000001,1.1628399999999999,1.22
5,0.36094499999999996,0.8098350000000001,1.017485,1.22
6,0.457784,0.9863370000000001,1.017485,1.22
7,0.36094499999999996,0.8098350000000001,1.017485,1.1628399999999999
8,0.36094499999999996,0.737157,1.017485,1.214752
9,0.62295,0.8306,0.944807,1.17
10,0.6144149999999999,0.8306,0.965572,1.17
11,0.30812399999999995,0.43137299999999995,0.57,0.945675
12,0.44017700000000004,0.57,0.8482870000000001,1.1682549999999998
13,0.316927,0.65,0.9673450000000001,1.037817
14,0.316927,0.417067,0.64,0.9673450000000001
15,0.316927,0.36094499999999996,0.65,0.9673450000000001
16,0.36094499999999996,0.64,0.9673450000000001,1.03825
17,0.64,0.965572,0.9759549999999999,1.096013
18,0.64,0.944807,0.9759549999999999,1.41202
19,0.550272,0.79,1.131693,1.41202
20,0.57,0.78,0.919667,1.5072
21,0.38259,0.57,0.593066,1.476008
22,0.57,0.57,0.57,1.22
23,0.57,0.57,0.57,0.998086
24,0.57,0.57,0.6697,1.153373
25,0.550272,0.580407,0.79,1.1682549999999998
26,0.531226,0.580407,0.79,1.515845
27,0.39,0.57,0.765954,1.396013
28,0.4,0.749827,0.79,1.062453
29,0.79,0.79,0.8400790000000001,1.172265
30,0.79,0.79,0.81,1.172265
31,0.57,0.57,0.57,1.22
32,0.57,0.57,0.57,0.79
33,0.591413,0.79,0.79,1.045534
34,0.601974,0.79,0.79,1.0786209999999998
35,0.79,0.79,0.792071,1.532778
36,0.79,0.79,0.79,0.813193
37,0.79,0.79,0.79,0.79
38,0.79,0.79,0.79,1.172265
39,0.79,0.79,0.79,1.172265
40,0.79,0.79,0.79,0.813193
41,0.57,0.57,0.79,0.79
42,0.79,0.79,0.79,1.907457
43,0.79,0.79,0.79,1.907457
44,0.79,0.79,0.813193,1.532778
45,0.749827,0.79,0.79,0.813193
46,0.79,0.79,0.79,0.79
47,0.79,0.79,0.79,0.79
48,0.79,0.79,0.79,0.79
49,0.79,0.79,0.79,0.813193
50,0.79,0.79,0.79,1.172265
51,0.57,0.57,0.79,0.79
52,0.79,0.79,0.79,0.79
53,0.749827,0.79,0.79,0.813193
54,0.749827,0.79,0.79,0.806153
55,0.749827,0.79,0.79,0.79
56,0.79,0.79,0.79,0.79
57,0.79,0.79,0.79,0.79
58,0.79,0.79,0.79,0.79
59,0.79,0.79,0.79,0.79
60,0.79,0.79,0.79,1.172265
61,0.57,0.57,0.57,0.79
62,0.79,0.79,0.79,0.79
63,0.749827,0.79,0.79,0.79
64,0.6653399999999999,0.749827,0.79,0.79
65,0.697023,0.79,0.79,0.79
66,0.79,0.79,0.79,0.79
67,0.79,0.79,0.79,0.79
68,0.79,0.79,0.79,0.79
69,0.79,0.79,0.79,0.79
70,0.79,0.79,0.79,1.172265
71,0.57,0.79,0.79,0.79
72,0.79,0.79,0.79,0.79
73,0.718145,0.749827,0.79,0.79
74,0.485804,0.749827,0.79,0.81
75,0.697023,0.79,0.79,0.81
76,0.697023,0.79,0.79,0.79
77,0.697023,0.79,0.79,0.79
78,0.79,0.79,0.79,1.172265
79,0.79,0.79,0.79,1.172265
80,0.79,0.79,0.79,0.81
81,0.57,0.57,0.57,0.79
82,0.57,0.57,0.79,0.79
83,0.718145,0.79,0.79,0.79
84,0.6653399999999999,0.749827,0.79,0.79
85,0.697023,0.79,0.79,0.81
86,0.570291,0.697023,0.79,0.81
87,0.697023,0.697023,0.78151,1.172265
88,0.697023,0.79,1.172265,1.172265
89,0.79,0.79,1.172265,1.172265
90,0.79,0.79,0.79,1.172265
91,0.57,0.79,0.79,1.22
92,0.464682,0.718145,0.79,0.79
93,0.570291,0.697023,0.739267,1.172265
94,0.570291,0.697023,0.79,1.172265
95,0.538608,0.697023,0.79,1.172265
96,0.514846,0.697023,0.79,1.172265
97,0.633657,0.697023,0.697023,1.172265
98,0.633657,0.697023,0.79,1.172265
99,0.633657,0.697023,1.172265,1.172265
100,0.697023,0.697023,0.79,1.172265
