climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.1,5.1,5.1,5.1
2,5.1,5.1,5.1,39.380001
3,24.99,24.99,39.380001,39.380001
4,24.99,24.99,24.99,24.99
5,24.99,24.99,24.99,24.99
6,24.99,24.99,24.99,24.99
7,24.99,24.99,24.99,24.99
8,24.99,24.99,24.99,24.99
9,24.99,24.99,24.99,24.99
10,24.99,24.99,24.99,24.99
11,5.1,39.380001,39.380001,39.380001
12,24.99,24.99,24.99,39.380001
13,24.99,24.99,24.99,39.380001
14,24.99,24.99,24.99,24.99
15,24.99,24.99,24.99,24.99
16,24.99,24.99,24.99,24.99
17,24.99,24.99,24.99,39.380001
18,24.99,24.99,24.99,24.99
19,24.99,24.99,24.99,24.99
20,24.99,24.99,24.99,39.380001
21,39.380001,39.380001,39.380001,39.380001
22,24.99,24.99,24.99,39.380001
23,24.99,24.99,24.99,24.99
24,24.99,24.99,24.99,24.99
25,24.99,24.99,24.99,24.99
26,24.99,24.99,24.99,24.99
27,24.99,24.99,24.99,24.99
28,24.99,24.99,24.99,24.99
29,24.99,24.99,24.99,24.99
30,24.99,24.99,24.99,39.380001
31,39.380001,39.380001,39.380001,39.380001
32,24.99,24.99,24.99,39.380001
33,24.99,24.99,24.99,39.380001
34,24.99,24.99,24.99,39.380001
35,24.99,24.99,24.99,39.380001
36,24.99,24.99,24.99,24.99
37,24.99,24.99,24.99,24.99
38,24.99,24.99,24.99,24.99
39,24.99,24.99,24.99,24.99
40,24.99,24.99,24.99,39.380001
41,24.99,39.380001,39.380001,39.380001
42,24.99,24.99,24.99,39.380001
43,24.99,24.99,24.99,39.380001
44,24.99,24.99,24.99,24.99
45,24.99,24.99,24.99,24.99
46,24.99,24.99,24.99,24.99
47,24.99,24.99,24.99,24.99
48,24.99,24.99,24.99,24.99
49,24.99,24.99,24.99,24.99
50,24.99,24.99,24.99,24.99
51,24.99,39.380001,39.380001,39.380001
52,24.99,24.99,24.99,39.380001
53,24.99,24.99,24.99,24.99
54,24.99,24.99,24.99,39.380001
55,24.99,24.99,24.99,24.99
56,24.99,24.99,24.99,24.99
57,24.99,24.99,24.99,24.99
58,24.99,24.99,24.99,24.99
59,24.99,24.99,24.99,24.99
60,24.99,24.99,24.99,39.380001
61,5.1,25.860001,39.380001,39.380001
62,39.380001,39.380001,39.380001,39.380001
63,39.380001,39.380001,39.380001,39.380001
64,24.99,39.380001,39.380001,39.380001
65,39.380001,39.380001,39.380001,39.380001
66,39.380001,39.380001,39.380001,39.380001
67,39.380001,39.380001,39.380001,39.380001
68,24.99,24.99,39.380001,39.380001
69,39.380001,39.380001,39.380001,39.380001
70,39.380001,39.380001,39.380001,39.380001
71,5.1,25.860001,25.860001,39.380001
72,3.99,39.380001,39.380001,39.380001
73,3.99,39.380001,39.380001,39.380001
74,39.380001,39.380001,39.380001,39.380001
75,39.380001,39.380001,39.380001,39.380001
76,39.380001,39.380001,39.380001,39.380001
77,39.380001,39.380001,39.380001,39.380001
78,39.380001,39.380001,39.380001,39.380001
79,39.380001,39.380001,39.380001,39.380001
80,22.290001,39.380001,39.380001,39.380001
81,3.99,3.99,3.99,25.860001
82,3.99,3.99,3.99,25.860001
83,3.99,3.99,3.99,25.860001
84,3.99,3.99,3.99,25.860001
85,3.99,3.99,3.99,25.860001
86,3.99,3.99,3.99,39.380001
87,3.99,3.99,3.99,3.99
88,3.99,3.99,3.99,3.99
89,3.99,3.99,3.99,3.99
90,3.99,3.99,3.99,3.99
91,3.99,3.99,3.99,3.99
92,3.99,3.99,3.99,3.99
93,3.99,3.99,3.99,3.99
94,3.99,3.99,3.99,3.99
95,3.99,3.99,3.99,3.99
96,3.99,3.99,3.99,3.99
97,3.99,3.99,3.99,3.99
98,3.99,3.99,3.99,3.99
99,3.99,3.99,3.99,3.99
100,3.99,3.99,3.99,3.99
