climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,18.41,18.41,18.41,19.84
2,18.41,18.41,19.84,19.84
3,18.41,18.41,19.84,19.84
4,7.667032000000001,18.41,18.41,19.84
5,8.171301,18.41,18.41,19.84
6,7.358103,17.6,18.41,19.84
7,7.358103,11.640969,18.41,19.84
8,7.45,17.6,18.41,41.169998
9,7.45,18.41,21.129998999999998,42.689999
10,2.4,6.84,7.73,27.32
11,19.84,19.84,19.84,27.32
12,7.667032000000001,18.41,19.84,42.689999
13,7.667032000000001,14.62,18.41,42.689999
14,10.43,10.62,17.6,19.84
15,10.43,10.62,17.6,19.84
16,7.45,18.41,18.41,19.84
17,7.45,17.6,18.41,25.24
18,2.4,2.4,7.73,27.32
19,2.4,4.8,4.8,27.32
20,4.8,4.8,4.8,18.41
21,18.41,18.41,24.48,42.689999
22,18.41,18.41,18.41,42.689999
23,18.41,18.41,18.41,25.24
24,18.41,18.41,18.41,25.24
25,18.41,18.41,19.84,25.24
26,18.41,18.41,25.24,25.24
27,4.8,4.8,18.41,27.32
28,4.8,4.8,4.8,18.41
29,4.8,4.8,4.8,7.73
30,4.8,4.8,4.8,18.41
31,17.597158,24.48,27.32,42.689999
32,18.41,18.41,18.41,42.689999
33,18.41,18.41,18.41,25.549999
34,18.41,18.41,18.41,19.84
35,18.41,18.41,18.41,19.84
36,18.41,18.41,18.41,19.84
37,18.41,18.41,18.41,25.24
38,18.41,18.41,18.41,25.24
39,5.376256,18.41,18.41,18.41
40,4.8,4.8,18.41,19.84
41,9.564722,18.852737,24.605331,42.689999
42,8.727455,10.6,18.41,42.689999
43,17.24,19.84,19.84,42.689999
44,18.41,18.41,18.41,19.84
45,18.41,18.41,18.41,18.98
46,18.41,18.41,18.41,18.41
47,18.41,18.41,18.41,18.41
48,18.41,18.41,18.41,18.41
49,18.41,18.41,18.41,27.32
50,18.41,18.41,18.41,18.41
51,13.916909,18.852737,20.824032,27.32
52,8.467603,10.6,17.67,27.01
53,7.302747,11.28,19.84,42.689999
54,10.6,18.98,19.84,42.689999
55,18.41,18.41,18.41,18.98
56,18.41,18.41,18.41,18.41
57,18.41,18.41,18.41,18.41
58,18.41,18.41,18.41,18.41
59,18.41,18.41,18.41,18.41
60,18.41,18.41,18.41,18.41
61,15.06,15.06,15.06,15.06
62,15.06,15.06,19.785206,27.01
63,11.702316999999999,19.84,20.824032,37.610001000000004
64,11.379742,18.41,19.84,27.01
65,17.320504999999997,18.41,18.41,27.32
66,18.41,18.41,18.41,18.41
67,18.41,18.41,18.41,18.41
68,18.41,18.41,18.41,18.41
69,10.038189,18.41,18.41,18.41
70,4.87,18.41,18.41,18.41
71,10.886918,13.700492,17.44595,20.501455
72,10.662908,13.646729,16.79184,20.501455
73,3.584936,10.886918,18.41,27.32
74,5.86908,15.232725,18.41,27.32
75,6.52,18.41,18.41,18.41
76,8.5,18.41,18.41,18.41
77,8.05,18.41,18.41,18.41
78,6.899528999999999,18.41,18.41,18.41
79,4.87,4.87,18.41,18.41
80,4.87,4.87,4.87,7.8941360000000005
81,3.5363269999999996,7.664224000000001,14.46,20.501455
82,3.422883,3.4998699999999996,3.5363269999999996,6.762135000000001
83,3.4998699999999996,3.5363269999999996,3.584936,7.96
84,3.5363269999999996,3.584936,4.87,7.708363
85,3.5363269999999996,3.584936,4.87,7.1525929999999995
86,3.183909,4.87,4.87,10.367213000000001
87,4.87,4.87,4.87,7.078736999999999
88,4.87,4.87,4.87,4.87
89,4.87,4.87,4.87,4.87
90,4.87,4.87,4.87,4.87
91,4.2325610000000005,4.411294,8.05,9.551815
92,1.53804,1.861531,3.491105,8.05
93,1.861531,3.4998699999999996,3.4998699999999996,6.2098379999999995
94,3.4998699999999996,3.584936,3.584936,6.2098379999999995
95,3.4998699999999996,4.479773000000001,4.87,14.46
96,4.479773000000001,4.87,4.87,5.01
97,4.87,4.87,4.87,4.87
98,4.87,4.87,4.87,4.87
99,4.87,4.87,4.87,4.87
100,4.87,4.87,4.87,4.87
