climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.04,1.04,1.04,1.04
2,1.04,1.04,1.04,1.04
3,1.04,1.04,1.04,1.04
4,1.04,1.04,1.04,1.04
5,1.04,1.04,1.04,1.04
6,1.04,1.04,1.04,1.04
7,1.04,1.04,1.04,1.04
8,1.04,1.04,1.04,1.04
9,1.04,1.04,1.04,1.04
10,1.04,1.04,1.04,1.04
11,1.04,1.04,1.04,1.04
12,1.04,1.04,1.04,1.04
13,1.04,1.04,1.04,1.04
14,1.04,1.04,1.04,1.04
15,1.04,1.04,1.04,1.04
16,1.04,1.04,1.04,1.04
17,1.04,1.04,1.04,1.04
18,1.04,1.04,1.04,1.04
19,1.04,1.04,1.04,1.04
20,1.04,1.04,1.04,1.04
21,1.04,1.04,1.04,1.04
22,1.04,1.04,1.04,1.04
23,1.04,1.04,1.04,1.04
24,0.34,1.04,1.04,1.04
25,0.34,0.64,1.04,1.04
26,0.64,0.64,0.64,1.04
27,0.5,0.64,0.64,1.04
28,0.64,0.64,0.64,0.64
29,0.5,0.64,0.64,0.64
30,0.64,0.64,0.64,0.64
31,0.34,0.64,0.64,1.04
32,0.34,0.34,0.34,0.64
33,0.34,0.34,0.34,0.64
34,0.34,0.34,0.64,0.64
35,0.64,0.64,0.64,0.64
36,0.5,0.64,0.64,0.64
37,0.5,0.64,0.64,0.64
38,0.5,0.64,0.64,0.64
39,0.64,0.64,0.64,0.64
40,0.64,0.64,0.64,0.64
41,0.34,0.64,0.64,1.04
42,0.5,0.64,0.64,0.64
43,0.5,0.64,0.64,0.64
44,0.5,0.64,0.64,0.64
45,0.34,0.64,0.64,0.64
46,0.5,0.64,0.64,0.64
47,0.64,0.64,0.64,0.64
48,0.64,0.64,0.64,0.64
49,0.64,0.64,0.64,0.64
50,0.64,0.64,0.64,0.64
51,0.5,0.64,0.64,0.64
52,0.64,0.64,0.64,0.64
53,0.5,0.64,0.64,0.64
54,0.64,0.64,0.64,0.64
55,0.64,0.64,0.64,0.64
56,0.64,0.64,0.64,0.64
57,0.64,0.64,0.64,0.64
58,0.64,0.64,0.64,0.64
59,0.64,0.64,0.64,0.64
60,0.5,0.64,0.64,0.64
61,0.5,0.5,0.64,0.64
62,0.5,0.64,0.64,0.64
63,0.64,0.64,0.64,0.64
64,0.64,0.64,0.64,0.64
65,0.64,0.64,0.64,0.64
66,0.64,0.64,0.64,0.64
67,0.64,0.64,0.64,0.64
68,0.64,0.64,0.64,0.64
69,0.5,0.64,0.64,0.64
70,0.64,0.64,0.64,0.64
71,0.5,0.5,0.64,0.64
72,0.5,0.64,0.64,0.64
73,0.64,0.64,0.64,0.64
74,0.64,0.64,0.64,0.64
75,0.64,0.64,0.64,0.64
76,0.64,0.64,0.64,0.64
77,0.64,0.64,0.64,0.64
78,0.64,0.64,0.64,0.64
79,0.64,0.64,0.64,0.64
80,0.5,0.64,0.64,0.64
81,0.5,0.5,0.5,0.64
82,0.34,0.5,0.64,0.64
83,0.5,0.64,0.64,0.64
84,0.5,0.64,0.64,0.64
85,0.64,0.64,0.64,0.64
86,0.64,0.64,0.64,0.64
87,0.64,0.64,0.64,0.64
88,0.64,0.64,0.64,0.64
89,0.5,0.64,0.64,0.64
90,0.5,0.64,0.64,0.64
91,0.5,0.5,0.5,0.5
92,0.5,0.5,0.5,0.5
93,0.34,0.34,0.5,0.5
94,0.34,0.5,0.5,0.64
95,0.5,0.5,0.5,0.64
96,0.5,0.5,0.5,0.64
97,0.5,0.5,0.5,0.64
98,0.5,0.5,0.64,0.64
99,0.64,0.64,0.64,0.64
100,0.64,0.64,0.64,0.64
