climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,12.86,13.23,28.48,28.48
2,12.86,12.86,13.23,28.48
3,9.63,12.86,12.86,17.59
4,12.86,12.86,12.86,17.59
5,12.86,12.86,12.86,17.59
6,12.86,12.86,12.86,28.48
7,12.86,12.86,12.86,16.389999
8,12.86,12.86,12.86,19.889999
9,12.86,12.86,12.86,12.86
10,12.86,12.86,12.86,13.23
11,5.79,8.77,13.23,16.293287
12,5.24,5.79,8.77,8.77
13,4.44135,5.24,5.79,9.787851
14,4.44135,4.44135,5.79,9.787851
15,4.44135,4.44135,5.24,7.27
16,4.44135,4.44135,5.79,8.77
17,4.44135,4.44135,5.79,12.86
18,4.44135,5.79,7.43998,12.86
19,4.44135,4.44135,7.43998,12.86
20,5.74636,7.43998,7.43998,12.86
21,4.44135,4.44135,8.77,14.13
22,4.44135,4.44135,4.44135,5.52
23,4.44135,4.44135,4.44135,4.44135
24,4.44135,4.44135,4.44135,5.79
25,4.44135,4.44135,4.44135,4.44135
26,4.44135,4.44135,4.44135,4.44135
27,4.44135,4.44135,4.44135,7.43998
28,4.44135,4.44135,4.44135,8.68
29,4.44135,4.44135,4.44135,7.43998
30,4.44135,5.74636,7.43998,7.43998
31,4.44135,4.44135,4.44135,11.277905
32,4.44135,4.44135,4.44135,4.44135
33,4.44135,4.44135,4.44135,4.44135
34,4.44135,4.44135,4.44135,5.24
35,4.44135,4.44135,4.44135,4.44135
36,4.44135,4.44135,4.44135,4.44135
37,4.44135,4.44135,4.44135,7.43998
38,4.44135,4.44135,4.44135,9.116532000000001
39,4.44135,4.44135,4.44135,7.449953
40,4.44135,4.44135,4.44135,7.43998
41,4.44135,4.44135,4.7203599999999994,8.77
42,4.44135,4.44135,4.44135,4.44135
43,4.44135,4.44135,4.44135,5.24
44,4.44135,4.44135,4.44135,4.44135
45,4.44135,4.44135,4.44135,4.44135
46,4.44135,4.44135,4.44135,4.44135
47,4.44135,4.44135,4.44135,7.449953
48,4.44135,4.44135,4.44135,4.44135
49,4.44135,4.44135,4.44135,4.44135
50,4.44135,4.44135,4.44135,5.74636
51,4.44135,4.44135,4.44135,8.77
52,4.44135,4.44135,4.44135,4.44135
53,4.44135,4.44135,4.44135,4.44135
54,4.44135,4.44135,4.44135,4.44135
55,4.44135,4.44135,4.44135,7.449953
56,4.44135,4.44135,4.44135,5.427809
57,4.44135,4.44135,4.44135,5.427809
58,4.44135,4.44135,4.44135,4.44135
59,4.44135,4.44135,4.44135,4.44135
60,4.44135,4.44135,4.44135,5.74636
61,4.44135,4.44135,4.44135,8.77
62,4.44135,4.44135,4.44135,4.44135
63,4.44135,4.44135,4.44135,4.44135
64,4.44135,4.44135,4.44135,7.43998
65,4.44135,4.44135,4.44135,4.44135
66,4.44135,4.44135,4.44135,4.44135
67,4.44135,4.44135,4.44135,4.44135
68,4.44135,4.44135,4.44135,4.44135
69,4.44135,4.44135,4.44135,5.74636
70,4.44135,4.44135,4.44135,4.44135
71,4.44135,4.44135,4.44135,4.44135
72,4.44135,4.44135,4.44135,4.44135
73,4.44135,4.44135,4.44135,4.44135
74,4.44135,4.44135,4.44135,11.39
75,4.44135,4.44135,4.44135,4.44135
76,4.44135,4.44135,4.44135,4.44135
77,4.44135,4.44135,4.44135,4.44135
78,4.44135,4.44135,4.44135,4.44135
79,4.44135,4.44135,4.44135,4.44135
80,4.44135,4.44135,4.44135,7.43998
81,4.44135,4.44135,4.44135,4.44135
82,4.44135,4.44135,4.44135,4.44135
83,4.44135,4.44135,4.44135,4.44135
84,4.44135,4.44135,4.44135,4.44135
85,4.44135,4.44135,4.44135,4.44135
86,4.44135,4.44135,4.44135,4.44135
87,4.44135,4.44135,4.44135,4.44135
88,4.44135,4.44135,4.44135,4.44135
89,4.44135,4.44135,4.44135,4.44135
90,4.44135,4.44135,4.44135,7.43998
91,4.44135,4.44135,8.77,8.77
92,4.44135,4.44135,4.44135,4.44135
93,4.44135,4.44135,4.44135,4.44135
94,4.44135,4.44135,4.44135,4.44135
95,4.44135,4.44135,4.44135,4.44135
96,4.44135,4.44135,4.44135,4.44135
97,4.44135,4.44135,4.44135,4.44135
98,4.44135,4.44135,4.44135,4.44135
99,4.44135,4.44135,4.44135,4.44135
100,3.84,4.44135,5.74636,7.43998
