climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.18,0.18,0.73,0.73
2,0.18,0.18,0.73,0.73
3,0.18,0.18,0.18,0.73
4,0.18,0.18,0.18,0.22
5,0.18,0.22,0.22,0.22
6,0.18,0.22,0.22,0.22
7,0.18,0.22,0.22,0.22
8,0.18,0.22,0.22,0.22
9,0.22,0.22,0.22,0.22
10,0.22,0.22,0.22,0.22
11,0.18,0.18,0.32,0.73
12,0.18,0.18,0.73,0.73
13,0.18,0.18,0.22,0.22
14,0.18,0.22,0.22,0.22
15,0.18,0.18,0.22,0.22
16,0.18,0.18,0.22,0.22
17,0.18,0.18,0.22,0.22
18,0.18,0.18,0.22,0.22
19,0.22,0.22,0.22,0.22
20,0.22,0.22,0.22,0.22
21,0.18,0.18,0.18,0.73
22,0.18,0.22,0.73,0.73
23,0.18,0.18,0.22,0.22
24,0.18,0.22,0.22,0.22
25,0.22,0.22,0.22,0.22
26,0.22,0.22,0.22,0.22
27,0.22,0.22,0.22,0.22
28,0.22,0.22,0.22,0.22
29,0.22,0.22,0.22,0.22
30,0.22,0.22,0.22,0.22
31,0.18,0.22,0.22,0.73
32,0.18,0.18,0.22,0.22
33,0.18,0.18,0.18,0.22
34,0.18,0.18,0.22,0.22
35,0.22,0.22,0.22,0.22
36,0.22,0.22,0.22,0.22
37,0.22,0.22,0.22,0.22
38,0.22,0.22,0.22,0.22
39,0.22,0.22,0.22,0.22
40,0.22,0.22,0.22,0.22
41,0.18,0.18,0.22,0.73
42,0.18,0.22,0.22,0.22
43,0.22,0.22,0.22,0.22
44,0.22,0.22,0.22,0.22
45,0.22,0.22,0.22,0.22
46,0.22,0.22,0.22,0.22
47,0.22,0.22,0.22,0.22
48,0.22,0.22,0.22,0.22
49,0.22,0.22,0.22,0.22
50,0.22,0.22,0.22,0.22
51,0.18,0.22,0.22,0.22
52,0.18,0.22,0.22,0.22
53,0.22,0.22,0.22,0.22
54,0.22,0.22,0.22,0.22
55,0.22,0.22,0.22,0.22
56,0.22,0.22,0.22,0.22
57,0.22,0.22,0.22,0.22
58,0.22,0.22,0.22,0.22
59,0.22,0.22,0.22,0.22
60,0.22,0.22,0.22,0.22
61,0.18,0.22,0.22,0.32
62,0.22,0.22,0.22,0.22
63,0.22,0.22,0.22,0.22
64,0.22,0.22,0.22,0.22
65,0.22,0.22,0.22,0.22
66,0.22,0.22,0.22,0.22
67,0.22,0.22,0.22,0.22
68,0.22,0.22,0.22,0.22
69,0.22,0.22,0.22,0.22
70,0.22,0.22,0.22,0.22
71,0.18,0.22,0.22,0.32
72,0.22,0.22,0.22,0.22
73,0.22,0.22,0.22,0.22
74,0.22,0.22,0.22,0.22
75,0.22,0.22,0.22,0.22
76,0.22,0.22,0.22,0.22
77,0.22,0.22,0.22,0.22
78,0.22,0.22,0.22,0.22
79,0.22,0.22,0.22,0.22
80,0.22,0.22,0.22,0.22
81,0.22,0.22,0.22,0.32
82,0.22,0.22,0.22,0.22
83,0.22,0.22,0.22,0.22
84,0.22,0.22,0.22,0.22
85,0.22,0.22,0.22,0.22
86,0.22,0.22,0.22,0.22
87,0.22,0.22,0.22,0.22
88,0.22,0.22,0.22,0.22
89,0.22,0.22,0.22,0.22
90,0.22,0.22,0.22,0.22
91,0.22,0.22,0.32,0.32
92,0.22,0.22,0.22,0.32
93,0.22,0.22,0.22,0.32
94,0.22,0.22,0.22,0.22
95,0.22,0.22,0.22,0.22
96,0.22,0.22,0.22,0.22
97,0.22,0.22,0.22,0.22
98,0.22,0.22,0.22,0.22
99,0.22,0.22,0.22,0.22
100,0.22,0.22,0.22,0.22
