climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.17,1.17,3.0520240000000003,5.8830599999999995
2,1.17,2.55,4.26,13.255501999999998
3,4.01,5.71,6.25,8.116216
4,3.96,4.495346,5.71,6.25
5,3.96,4.44,5.71,5.71
6,3.96,3.96,5.71,5.71
7,3.96,3.96,5.71,5.71
8,3.96,3.96,5.2066669999999995,5.71
9,3.96,3.96,5.71,5.71
10,3.96,4.495346,5.71,5.71
11,3.0520240000000003,3.0520240000000003,3.0520240000000003,7.407298
12,1.17,4.01,6.25,19.915167
13,4.01,5.337283,6.25,12.766133
14,3.96,5.71,6.25,8.20197
15,3.96,5.71,5.71,6.91
16,3.96,3.96,5.71,5.71
17,3.96,3.96,5.71,6.164186
18,3.96,3.96,5.71,5.71
19,3.96,3.96,5.71,5.71
20,3.96,4.495346,5.71,6.164186
21,3.0520240000000003,3.0520240000000003,3.0520240000000003,7.291780999999999
22,2.91,4.26,5.71,8.118685000000001
23,3.77,3.96,5.71,8.118685000000001
24,3.96,3.96,5.71,6.91
25,3.96,3.96,5.71,6.25
26,3.96,3.96,5.71,6.25
27,3.96,3.96,4.6,5.71
28,3.96,3.96,5.71,5.71
29,3.96,3.96,5.71,5.71
30,3.96,3.96,5.71,6.91
31,3.0520240000000003,3.0520240000000003,4.26,8.118685000000001
32,3.9007629999999995,4.26,5.71,10.678072
33,3.96,3.96,5.71,5.71
34,3.96,3.96,5.71,5.71
35,3.96,3.96,4.26,5.71
36,3.96,3.96,5.71,6.91
37,3.96,3.96,5.71,5.71
38,3.96,3.96,5.71,5.71
39,3.96,3.96,5.71,5.71
40,3.96,3.96,5.71,5.71
41,3.0520240000000003,3.96,6.712949000000001,8.18634
42,3.96,4.328906,5.71,8.118685000000001
43,3.96,3.96,5.71,5.71
44,3.96,3.96,5.71,5.71
45,3.96,3.96,5.71,5.71
46,3.96,3.96,5.71,5.71
47,3.96,3.96,5.71,5.71
48,3.96,5.71,5.71,5.71
49,3.96,5.71,5.71,5.71
50,3.96,3.96,5.71,5.71
51,3.96,4.4505040000000005,6.712949000000001,8.18634
52,3.96,3.96,5.2066669999999995,5.71
53,3.96,4.26,5.71,5.71
54,3.96,3.96,5.71,5.71
55,3.96,3.96,5.71,5.71
56,3.96,5.71,5.71,5.71
57,3.96,5.71,5.71,5.71
58,3.96,5.71,5.71,5.71
59,3.96,4.461824,5.71,5.71
60,3.96,4.495346,5.71,5.71
61,4.26,4.464048,6.712949000000001,8.18634
62,3.96,4.26,4.495346,5.71
63,3.96,3.96,5.2066669999999995,5.71
64,3.96,4.495346,5.71,5.71
65,3.96,5.71,5.71,5.71
66,3.96,5.71,5.71,5.71
67,3.96,5.71,5.71,5.71
68,3.96,5.71,5.71,5.71
69,3.96,5.71,5.71,5.71
70,3.96,4.495346,5.71,5.71
71,4.26,4.26,6.712949000000001,8.18634
72,3.96,4.26,5.71,6.25
73,3.96,3.96,4.26,5.71
74,3.96,3.96,5.71,5.71
75,3.96,3.96,5.71,5.71
76,3.96,4.997985,5.71,5.71
77,3.96,4.495346,5.71,5.71
78,3.96,4.495346,5.71,5.71
79,3.96,5.2066669999999995,5.71,5.71
80,3.96,4.495346,5.71,5.71
81,3.0520240000000003,5.2066669999999995,6.712949000000001,8.18634
82,3.96,5.2066669999999995,5.71,6.25
83,3.96,3.96,4.26,5.71
84,3.96,3.96,4.26,5.71
85,3.96,3.96,5.2066669999999995,5.71
86,3.96,4.495346,5.71,5.71
87,4.495346,4.495346,5.71,5.71
88,4.495346,4.495346,4.495346,5.71
89,4.495346,4.495346,4.495346,5.71
90,4.495346,4.495346,4.495346,5.71
91,3.4263980000000003,6.712949000000001,6.712949000000001,8.18634
92,6.712949000000001,6.712949000000001,6.712949000000001,8.18634
93,6.712949000000001,6.712949000000001,6.712949000000001,8.18634
94,4.649,6.712949000000001,6.712949000000001,8.18634
95,4.26,5.2066669999999995,5.73,8.18634
96,4.26,5.2066669999999995,5.47,6.712949000000001
97,4.26,5.2066669999999995,5.2066669999999995,6.25
98,3.96,3.96,4.495346,5.71
99,4.495346,4.495346,4.495346,4.495346
100,4.495346,4.495346,4.495346,4.495346
