climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.405641,0.509911,0.9,0.9821719999999999
2,0.46248500000000003,0.69,0.9,0.96
3,0.455762,0.69455,0.9,0.9821719999999999
4,0.585957,0.703149,0.878936,1.42
5,0.69455,0.878936,0.932786,1.103553
6,0.509911,0.878936,0.96,1.2532969999999999
7,0.576191,0.634787,0.8691700000000001,1.237021
8,0.556659,0.703149,0.878936,1.27934
9,0.46248500000000003,0.69455,0.953873,1.3653950000000001
10,0.37311500000000003,0.67,0.96,1.053485
11,0.405641,0.537127,0.73,1.0547229999999999
12,0.4,0.69,0.732446,0.96
13,0.6445529999999999,0.72,0.8691700000000001,1.0547229999999999
14,0.67,0.761744,0.9,1.171914
15,0.703149,0.761744,0.878936,1.171914
16,0.585957,0.761744,0.781276,1.171914
17,0.459,0.585957,0.8301059999999999,1.0547229999999999
18,0.576191,0.693383,0.927766,1.464893
19,0.557599,0.69455,0.953873,1.464893
20,0.28,0.46431999999999995,0.7,1.001191
21,0.33326100000000003,0.50783,0.73,0.9765950000000001
22,0.4,0.703149,0.732446,1.18
23,0.439468,0.673851,0.781276,0.96
24,0.48829799999999995,0.69455,0.861032,1.064489
25,0.576191,0.7519779999999999,0.908234,1.4453610000000001
26,0.585957,0.761744,0.878936,1.464893
27,0.603471,0.898468,1.171914,1.464893
28,0.37,0.740947,0.963232,1.85
29,0.28,0.33042699999999997,0.682763,0.96
30,0.371958,0.58905,0.81,0.96
31,0.33326100000000003,0.47329099999999996,0.81,0.937531
32,0.4,0.585957,0.769031,0.932786
33,0.50783,0.68972,0.77151,1.0547229999999999
34,0.46876599999999996,0.6064039999999999,0.82034,1.171914
35,0.37,0.713799,0.999296,1.85
36,0.36275,0.681971,0.96,1.85
37,0.307639,0.6967760000000001,0.953873,1.85
38,0.28,0.37,0.6967760000000001,0.96
39,0.33042699999999997,0.44981000000000004,0.906487,1.053485
40,0.615825,0.89,0.906487,0.96
41,0.34,0.47329099999999996,0.8697379999999999,1.031651
42,0.46248500000000003,0.517595,0.732446,1.0547229999999999
43,0.47329099999999996,0.585957,0.810574,1.0547229999999999
44,0.47329099999999996,0.693383,0.888702,0.97334
45,0.35,0.47329099999999996,0.7,1.464893
46,0.32,0.51,0.725707,1.85
47,0.38,0.6967760000000001,0.9,1.85
48,0.41,0.6967760000000001,0.81,1.053485
49,0.284851,0.387398,0.81,1.3653950000000001
50,0.353216,0.6426,0.906487,0.96
51,0.33510300000000004,0.372557,0.69547,1.0547229999999999
52,0.47853199999999996,0.761744,1.0547229999999999,1.8750630000000001
53,0.585957,0.839815,0.9570629999999999,1.347702
54,0.361714,0.603471,0.96,1.406297
55,0.294525,0.37,0.69455,1.85
56,0.33510300000000004,0.51,1.85,1.85
57,0.33510300000000004,0.634787,0.96,1.85
58,0.459,0.6967760000000001,0.7519779999999999,0.9431510000000001
59,0.33510300000000004,0.615825,0.6967760000000001,1.3653950000000001
60,0.33510300000000004,0.460175,0.7519779999999999,1.3653950000000001
61,0.26911999999999997,0.33510300000000004,0.6445529999999999,0.9
62,0.294525,0.35,0.599056,0.9
63,0.22,0.33510300000000004,0.4,0.97334
64,0.294525,0.36,0.41,0.96
65,0.299829,0.37,0.69547,1.06
66,0.35,0.51684,0.6967760000000001,1.85
67,0.334688,0.36146300000000003,0.703149,1.3653950000000001
68,0.33510300000000004,0.58905,0.91,1.85
69,0.36146300000000003,0.69455,0.9961270000000001,1.85
70,0.38140599999999997,0.6426,0.81,1.3653950000000001
71,0.26911999999999997,0.33510300000000004,0.51,0.9
72,0.36,0.36,0.36,0.96
73,0.36,0.36,0.36,0.96
74,0.36,0.36,0.36,0.96
75,0.36,0.36,0.360677,1.099332
76,0.36,0.615825,0.789034,1.3653950000000001
77,0.36,0.629213,0.6967760000000001,1.85
78,0.36146300000000003,0.703149,0.96,1.85
79,0.549308,0.69615,0.96,1.3653950000000001
80,0.348075,0.58905,0.81,1.3653950000000001
81,0.32,0.35,0.36,0.832988
82,0.36,0.36,0.36,1.06
83,0.36,0.36,0.36,1.06
84,0.36,0.36,0.634994,1.85
85,0.36146300000000003,0.6967760000000001,1.3653950000000001,1.85
86,0.36146300000000003,0.776475,0.96,1.85
87,0.522113,0.7519779999999999,0.81,1.3653950000000001
88,0.6426,0.69615,0.776475,0.96
89,0.522113,0.6426,0.69615,0.96
90,0.58905,0.58905,0.682763,0.96
91,0.330415,0.36,0.832988,0.96
92,0.36,0.36,0.96,1.06
93,0.35,0.96,1.01,1.85
94,0.35,0.96,1.85,1.85
95,0.36,0.96,1.01,1.85
96,0.629213,0.81,0.96,1.85
97,0.6426,0.776475,0.96,1.0559
98,0.6426,0.776475,0.96,0.96
99,0.6426,0.69455,0.96,0.96
100,0.6426,0.6426,0.96,1.053485
