climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.360953,3.5962199999999998,4.335629,4.806163
2,2.2,2.2,2.352667,4.100363
3,2.2,2.2,2.2,4.671725
4,1.56,2.2,2.2,2.577045
5,1.4689159999999999,1.907014,2.473964,3.347528
6,1.4431459999999998,1.907014,1.982962,2.907706
7,1.781305,1.982962,2.7559810000000002,3.347528
8,2.016572,2.352667,2.7559810000000002,3.347528
9,2.083791,2.924029,3.486758,4.705729
10,1.597768,2.1174,3.722443,4.705729
11,2.2,2.2,2.2,2.957639
12,1.4689159999999999,1.62,2.2,3.347528
13,1.340064,1.417375,1.907014,2.857998
14,1.571998,2.319058,2.8232,3.360953
15,2.15101,2.587934,2.957639,3.486758
16,2.7559810000000002,3.125686,3.360953,3.529001
17,3.125686,3.327344,3.562821,3.965925
18,2.89042,3.360953,3.663439,4.26841
19,1.417375,2.061636,3.56261,4.503677
20,1.6235389999999998,1.881243,2.061636,2.113177
21,1.56,2.2,2.2,3.9171089999999995
22,1.56,2.2,2.46753,3.94288
23,2.2,2.2,2.2,2.577045
24,1.082359,1.236982,1.494686,3.347528
25,2.251839,2.7559810000000002,3.004307,3.8487709999999997
26,2.487105,2.896105,3.004307,4.772553
27,2.5543240000000003,2.621543,2.89042,3.226515
28,1.882134,2.5543240000000003,3.024858,5.209477
29,1.597768,2.190489,2.190489,2.396652
30,1.932784,2.113177,2.499734,3.159296
31,1.56,2.2,3.4790120000000004,3.9171089999999995
32,1.62,2.46753,3.777893,4.191668
33,1.030818,1.1339,1.62,4.191668
34,0.953507,1.903515,3.515337,4.191668
35,0.953507,2.621543,3.347528,4.705729
36,2.655153,3.024858,3.62983,4.335629
37,1.571998,2.8232,3.764267,4.873382
38,2.525505,2.6887630000000002,3.327344,4.638115
39,2.4224229999999998,2.551275,2.7574389999999998,3.495391
40,2.293571,2.499734,3.3945629999999998,4.839773
41,2.071926,3.6594050000000005,3.71809,4.05
42,1.21,2.071926,3.515337,4.705729
43,0.9019659999999999,1.21,3.722443,4.705729
44,0.901384,1.21,2.934211,4.191668
45,0.855159,1.18299,1.571998,3.9630900000000002
46,1.18299,1.417375,1.907014,3.495391
47,1.571998,1.70085,1.8039319999999999,2.319341
48,1.67508,1.91021,1.984325,3.181117
49,1.67508,1.907014,2.345112,3.965925
50,1.40295,1.8356740000000002,2.4224229999999998,4.705334
51,1.663835,1.663835,1.663835,2.46753
52,1.663835,1.663835,1.663835,1.663835
53,1.21,1.663835,1.663835,1.778161
54,0.8313290000000001,1.236982,1.663835,1.778161
55,0.8313290000000001,1.448122,1.663835,1.726621
56,1.121801,1.21,1.663835,1.726621
57,0.51,1.121801,1.21,1.663835
58,0.301638,0.725008,1.509682,2.903828
59,0.8547799999999999,1.215427,2.387763,3.119497
60,1.157799,2.6496470000000003,2.888423,3.235034
61,1.663835,1.663835,1.663835,1.663835
62,1.663835,1.663835,1.663835,1.663835
63,1.663835,1.663835,1.663835,1.663835
64,1.663835,1.663835,1.663835,1.663835
65,0.9117799999999999,1.663835,1.663835,1.663835
66,0.697244,0.7508779999999999,1.0190489999999999,1.072683
67,0.429073,0.5899760000000001,0.8313290000000001,1.072683
68,0.429073,0.581391,0.878081,1.153134
69,0.430072,0.602183,0.9505809999999999,1.582207
70,0.758058,1.2787389999999998,1.490329,2.903828
71,1.663835,1.663835,2.064388,2.064388
72,0.7508779999999999,1.0190489999999999,1.663835,2.064388
73,0.509524,0.9385969999999999,0.9654149999999999,1.0190489999999999
74,0.7508779999999999,0.9385969999999999,0.9654149999999999,0.9654149999999999
75,0.697244,0.9385969999999999,0.9385969999999999,0.9385969999999999
76,0.536341,0.7508779999999999,0.9385969999999999,0.9654149999999999
77,0.429073,0.670427,0.804512,1.072683
78,0.37543899999999997,0.673829,0.7508779999999999,1.16
79,0.653695,1.0395510000000001,1.064561,1.297138
80,0.724061,0.966326,1.324737,1.490329
81,2.064388,2.064388,2.064388,2.064388
82,0.7508779999999999,0.7508779999999999,2.064388,2.064388
83,0.509524,0.509524,0.509524,0.9385969999999999
84,0.509524,0.7508779999999999,0.7508779999999999,0.9385969999999999
85,0.5899760000000001,0.670427,0.7508779999999999,0.9385969999999999
86,0.670427,0.670427,0.7508779999999999,1.153134
87,0.429073,0.55,0.804512,0.8864209999999999
88,0.321805,0.7508779999999999,0.9385969999999999,1.195086
89,0.609265,0.7508779999999999,1.052625,1.160347
90,0.55,0.7677039999999999,1.0395510000000001,1.297138
91,0.670427,0.7508779999999999,2.064388,2.064388
92,0.509524,0.509524,0.670427,0.7508779999999999
93,0.429073,0.509524,0.536341,1.025161
94,0.429073,0.482707,0.536341,1.149081
95,0.429073,0.429073,0.536341,1.05
96,0.429073,0.482707,0.7508779999999999,1.155513
97,0.482707,0.7508779999999999,1.00263,1.149081
98,0.482707,0.7508779999999999,1.064561,1.149081
99,0.670427,0.7508779999999999,0.7508779999999999,1.064561
100,0.482707,0.724061,0.853899,1.297138
