climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.31,0.36,0.42,1.099768
2,0.227338,0.42,0.496501,1.0993950000000001
3,0.42,0.42,0.496501,1.099768
4,0.42,0.42,0.42,1.099768
5,0.42,0.42,0.42,0.82
6,0.42,0.42,0.42,0.75
7,0.42,0.42,0.42,0.75
8,0.42,0.42,0.42,0.69
9,0.42,0.42,0.42,0.75
10,0.42,0.69,0.75,1.0816629999999998
11,0.3,0.42,0.42,0.75
12,0.42,0.42,0.42,0.75
13,0.42,0.42,0.42,0.42
14,0.42,0.42,0.42,0.42
15,0.42,0.42,0.42,0.42
16,0.42,0.42,0.42,0.42
17,0.42,0.42,0.42,0.42
18,0.42,0.42,0.42,0.42
19,0.42,0.42,0.42,0.42
20,0.42,0.42,0.42,0.42
21,0.12,0.12,0.12,0.42
22,0.12,0.37,0.42,0.75
23,0.42,0.42,0.42,0.42
24,0.42,0.42,0.42,0.42
25,0.42,0.42,0.42,0.42
26,0.42,0.42,0.42,0.42
27,0.42,0.42,0.42,0.42
28,0.42,0.42,0.42,0.75
29,0.42,0.42,0.42,0.75
30,0.42,0.42,0.42,0.42
31,0.12,0.12,0.12,0.12
32,0.12,0.12,0.12,0.42
33,0.12,0.12,0.12,0.37
34,0.37,0.37,0.42,0.75
35,0.42,0.42,0.42,0.42
36,0.42,0.42,0.42,0.42
37,0.42,0.42,0.42,0.42
38,0.42,0.42,0.42,0.42
39,0.42,0.42,0.42,0.42
40,0.42,0.42,0.42,0.75
41,0.12,0.12,0.12,0.12
42,0.12,0.12,0.12,0.37
43,0.12,0.12,0.12,0.37
44,0.12,0.37,0.37,0.42
45,0.37,0.42,0.42,0.47
46,0.42,0.42,0.42,0.42
47,0.42,0.42,0.42,0.42
48,0.42,0.42,0.42,0.42
49,0.42,0.42,0.42,0.42
50,0.42,0.42,0.42,0.42
51,0.12,0.12,0.12,0.37
52,0.12,0.12,0.12,0.37
53,0.12,0.12,0.12,0.12
54,0.12,0.12,0.12,0.12
55,0.12,0.12,0.37,0.47
56,0.42,0.42,0.42,0.47
57,0.42,0.42,0.42,0.42
58,0.42,0.42,0.42,0.42
59,0.42,0.42,0.42,0.42
60,0.42,0.42,0.42,0.42
61,0.12,0.12,0.12,0.12
62,0.12,0.12,0.12,0.12
63,0.12,0.12,0.12,0.12
64,0.12,0.12,0.12,0.12
65,0.12,0.12,0.12,0.12
66,0.12,0.12,0.12,0.3
67,0.37,0.47,0.47,0.47
68,0.42,0.42,0.42,0.47
69,0.42,0.42,0.42,0.42
70,0.42,0.42,0.42,0.42
71,0.12,0.12,0.12,0.12
72,0.12,0.12,0.12,0.12
73,0.12,0.12,0.12,0.3
74,0.12,0.12,0.12,0.3
75,0.12,0.12,0.42,0.47
76,0.47,0.47,0.47,0.47
77,0.47,0.47,0.47,0.47
78,0.42,0.42,0.42,0.42
79,0.42,0.42,0.42,0.42
80,0.42,0.42,0.42,0.42
81,0.12,0.12,0.12,0.35
82,0.12,0.12,0.12,0.36
83,0.12,0.12,0.12,0.47
84,0.12,0.12,0.12,0.47
85,0.12,0.12,0.12,0.47
86,0.12,0.12,0.3,0.47
87,0.12,0.12,0.47,0.47
88,0.12,0.12,0.47,0.47
89,0.12,0.12,0.47,0.47
90,0.12,0.47,0.47,0.47
91,0.12,0.12,0.12,0.35
92,0.12,0.12,0.12,0.47
93,0.12,0.12,0.12,0.47
94,0.12,0.12,0.12,0.47
95,0.12,0.12,0.12,0.47
96,0.12,0.12,0.12,0.47
97,0.12,0.12,0.12,0.35
98,0.12,0.12,0.12,0.12
99,0.12,0.12,0.12,0.12
100,0.12,0.12,0.12,0.12
