climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,17.27,17.27,17.48,17.48
2,1.5,17.27,17.27,17.27
3,1.5,1.5,1.5,2.99
4,1.5,1.5,2.99,2.99
5,1.5,1.5,2.99,2.99
6,1.5,1.5,2.99,2.99
7,1.5,2.99,2.99,2.99
8,1.5,2.99,2.99,2.99
9,1.5,2.99,2.99,2.99
10,2.99,2.99,17.48,17.48
11,1.5,17.27,17.27,17.48
12,1.5,1.5,1.5,1.5
13,1.5,1.5,1.5,2.99
14,1.5,1.5,1.5,2.99
15,1.5,1.5,1.5,2.99
16,1.5,1.5,1.5,2.99
17,1.5,1.5,1.5,2.99
18,1.5,1.5,1.5,2.99
19,1.5,1.5,1.5,2.99
20,2.99,17.27,17.48,17.48
21,17.27,17.27,17.27,17.48
22,1.5,1.5,1.5,17.27
23,1.5,1.5,1.5,1.5
24,1.5,1.5,1.5,1.5
25,1.5,1.5,1.5,2.99
26,1.5,1.5,2.99,2.99
27,1.5,1.5,1.5,2.99
28,1.5,1.5,1.5,1.5
29,1.5,1.5,1.5,1.5
30,17.27,17.48,17.48,17.48
31,17.27,17.27,17.27,17.27
32,1.5,1.5,17.27,17.27
33,1.5,1.5,1.5,1.5
34,1.5,1.5,1.5,1.5
35,1.5,1.5,1.5,1.5
36,1.5,1.5,1.5,1.5
37,1.5,1.5,1.5,1.5
38,1.5,1.5,1.5,1.5
39,1.5,1.5,17.27,17.48
40,17.48,17.48,17.48,17.48
41,17.27,17.27,17.27,17.27
42,17.27,17.27,17.27,17.27
43,1.5,1.5,1.5,17.27
44,1.5,1.5,1.5,1.5
45,1.5,1.5,1.5,1.5
46,1.5,1.5,1.5,1.5
47,1.5,1.5,1.5,1.5
48,1.5,1.5,1.5,1.5
49,1.5,17.27,17.48,17.48
50,17.48,17.48,17.48,17.48
51,17.27,17.27,17.27,17.27
52,17.27,17.27,17.27,17.27
53,17.27,17.27,17.27,17.27
54,1.5,17.27,17.27,17.27
55,1.5,1.5,17.27,17.27
56,1.5,1.5,4.19,17.27
57,1.5,17.27,17.27,17.27
58,17.27,17.27,17.27,17.27
59,17.27,17.27,17.27,17.27
60,17.27,17.27,17.48,17.48
61,17.27,17.27,17.27,17.27
62,17.27,17.27,17.27,17.27
63,17.27,17.27,17.27,17.27
64,17.27,17.27,17.27,17.27
65,17.27,17.27,17.27,17.27
66,17.27,17.27,17.27,17.27
67,17.27,17.27,17.27,17.27
68,17.27,17.27,17.27,17.48
69,17.48,17.48,17.48,17.48
70,17.48,17.48,17.48,17.48
71,17.27,17.27,17.27,17.27
72,17.27,17.27,17.27,17.27
73,17.27,17.27,17.27,17.27
74,17.27,17.27,17.27,17.27
75,17.27,17.27,17.27,17.27
76,17.27,17.27,17.27,17.27
77,17.27,17.27,17.27,17.27
78,17.27,17.27,17.27,17.27
79,17.27,17.27,17.27,17.27
80,17.27,17.27,17.27,17.27
81,4.22,17.27,17.27,17.27
82,17.27,17.27,17.27,17.27
83,17.27,17.27,17.27,17.27
84,17.27,17.27,17.27,17.27
85,17.27,17.27,17.27,17.27
86,17.27,17.27,17.27,17.27
87,17.27,17.27,17.27,17.27
88,17.27,17.27,17.27,17.27
89,17.27,17.27,17.27,17.27
90,17.27,17.27,17.27,17.27
91,4.22,17.27,17.27,17.27
92,17.27,17.27,17.27,17.27
93,17.27,17.27,17.27,17.27
94,17.27,17.27,17.27,17.27
95,17.27,17.27,17.27,17.27
96,17.27,17.27,17.27,17.27
97,17.27,17.27,17.27,17.27
98,17.27,17.27,17.27,17.27
99,17.27,17.27,17.27,17.27
100,17.27,17.27,17.27,17.27
