climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,11.28,15.057456,17.08,17.129998999999998
2,17.08,17.08,17.08,28.73
3,17.08,17.08,17.08,28.73
4,10.636153,13.681013,17.08,28.73
5,11.041659,15.474560999999998,17.08,28.73
6,10.344180999999999,14.035551000000002,17.08,28.73
7,10.180539,13.52,17.08,28.73
8,8.289652,13.222198,17.08,26.986631
9,8.526834,12.71257,17.08,28.73
10,13.086215,15.85,40.18,52.459998999999996
11,17.08,17.08,17.129998999999998,17.977184
12,17.08,17.08,17.129998999999998,28.73
13,8.342081,9.002851,17.08,28.73
14,8.526834,9.650907,17.08,17.129998999999998
15,8.429807,13.074492999999999,16.41,18.081460999999997
16,9.25382,13.52,17.08,28.73
17,7.902,13.52,17.08,28.73
18,11.107149,17.08,17.08,28.73
19,15.85,15.85,17.08,74.16999799999999
20,15.85,15.85,17.08,49.09
21,14.57,17.129998999999998,17.129998999999998,17.52
22,17.08,17.129998999999998,28.73,28.73
23,9.650907,17.08,17.129998999999998,28.73
24,11.28,17.08,17.08,31.07
25,16.41,17.08,17.08,28.73
26,16.41,17.08,17.08,20.290001
27,17.08,17.08,17.08,28.73
28,17.08,17.08,17.08,28.73
29,15.85,17.08,17.08,28.73
30,15.85,17.08,49.09,59.689999
31,17.08,17.129998999999998,17.129998999999998,17.52
32,17.08,17.08,17.08,28.73
33,17.08,17.08,17.08,17.129998999999998
34,17.08,17.08,17.08,17.129998999999998
35,17.08,17.08,17.08,17.690001000000002
36,17.08,17.08,17.08,28.73
37,17.08,17.08,17.08,28.73
38,17.08,17.08,17.08,28.73
39,17.08,17.08,17.08,28.09
40,15.85,17.08,17.08,59.689999
41,17.08,17.129998999999998,17.129998999999998,65.220001
42,17.08,17.08,17.08,17.08
43,17.08,17.08,17.08,17.08
44,17.08,17.08,17.08,17.08
45,17.08,17.08,17.08,17.08
46,17.08,17.08,17.08,17.08
47,17.08,17.08,17.08,17.08
48,17.08,17.08,17.08,17.08
49,17.08,17.08,17.08,17.08
50,17.08,17.08,17.08,49.09
51,15.85,17.129998999999998,17.52,65.220001
52,17.08,17.08,17.08,28.73
53,17.08,17.08,17.08,17.08
54,17.08,17.08,17.08,17.08
55,17.08,17.08,17.08,17.08
56,17.08,17.08,17.08,17.08
57,17.08,17.08,17.08,17.08
58,17.08,17.08,17.08,17.08
59,17.08,17.08,17.08,17.08
60,17.08,17.08,17.08,49.09
61,17.129998999999998,17.129998999999998,28.73,78.517036
62,17.08,17.08,17.08,17.08
63,17.08,17.08,17.08,17.08
64,17.08,17.08,17.08,17.08
65,17.08,17.08,17.08,17.08
66,17.08,17.08,17.08,17.08
67,17.08,17.08,17.08,17.08
68,17.08,17.08,17.08,17.08
69,17.08,17.08,17.08,17.08
70,17.08,17.08,17.08,17.08
71,16.994595999999998,17.129998999999998,28.73,65.220001
72,17.08,17.08,17.08,19.210941000000002
73,17.08,17.08,17.08,17.08
74,17.08,17.08,17.08,17.08
75,17.08,17.08,17.08,17.08
76,17.08,17.08,17.08,17.08
77,17.08,17.08,17.08,17.08
78,17.08,17.08,17.08,17.08
79,17.08,17.08,17.08,17.08
80,9.2,17.08,17.08,17.08
81,15.85,17.08,17.08,23.283661
82,17.08,17.08,17.08,17.08
83,17.08,17.08,17.08,17.08
84,1.15,17.08,17.08,17.08
85,1.15,17.08,17.08,17.08
86,17.08,17.08,17.08,17.08
87,17.08,17.08,17.08,17.08
88,17.08,17.08,17.08,17.08
89,17.08,17.08,17.08,17.08
90,1.15,17.08,17.08,17.08
91,1.15,6.632339,21.030001000000002,53.329570999999994
92,1.15,8.15,9.09,21.7724
93,8.15,8.15,9.09,17.08
94,1.15,8.15,9.09,17.08
95,1.15,8.15,9.09,17.08
96,1.15,8.15,9.09,17.08
97,1.15,5.182148000000001,9.2,17.08
98,1.15,8.15,17.08,17.08
99,5.35,9.2,9.2,17.08
100,9.2,9.2,9.2,17.73
