climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.247077,1.2715299999999998,1.907295,5.72
2,0.9781,1.247077,3.4111239999999996,3.4111239999999996
3,0.95,1.06,3.887948,7.103451
4,0.95,1.06,3.460029,7.103451
5,0.95,1.2715299999999998,1.439254,7.103451
6,0.95,1.439254,1.638318,5.72
7,1.06,1.503829,4.144699,5.72
8,1.06,1.503829,3.765685,5.939629
9,1.06,3.765685,5.13,5.939629
10,1.138867,4.144699,5.939629,7.41
11,1.2715299999999998,3.105468,3.887948,7.103451
12,3.105468,3.887948,5.72,7.947062
13,1.2715299999999998,3.3010879999999996,3.887948,6.26
14,0.8623540000000001,3.3010879999999996,3.765685,8.582828
15,0.868064,3.765685,6.0397680000000005,8.582828
16,1.503829,4.413676000000001,6.26,8.582828
17,3.6189699999999996,4.413676000000001,8.582828,8.582828
18,1.503829,3.765685,8.582828,8.582828
19,3.75,4.78,6.26,7.41
20,3.75,4.78,6.31,7.41
21,3.105468,6.26,7.947062,8.974067999999999
22,0.8623540000000001,4.768237999999999,4.78,7.947062
23,0.8623540000000001,0.8623540000000001,4.768237999999999,6.0397680000000005
24,0.8623540000000001,2.34744,6.0397680000000005,7.41
25,0.8623540000000001,3.6189699999999996,4.78,6.26
26,3.6189699999999996,3.6189699999999996,4.413676000000001,7.41
27,3.6189699999999996,4.78,6.26,7.41
28,1.06,4.78,5.72,7.41
29,0.8623540000000001,4.78,6.31,7.41
30,3.75,5.89,7.41,7.41
31,4.768237999999999,7.947062,7.947062,8.974067999999999
32,4.768237999999999,4.78,4.78,6.0397680000000005
33,0.8623540000000001,4.78,4.78,7.41
34,0.8623540000000001,4.78,6.26,7.41
35,2.34744,4.78,6.26,7.506917
36,2.34744,4.06,4.78,7.41
37,3.6189699999999996,4.78,4.78,7.41
38,4.06,4.78,4.78,7.41
39,0.8623540000000001,4.78,6.26,7.41
40,7.41,7.41,7.41,7.41
41,4.768237999999999,7.506917,7.947062,8.974067999999999
42,0.8623540000000001,4.78,4.78,6.26
43,0.8623540000000001,4.78,4.78,7.41
44,2.34744,4.78,4.78,7.41
45,2.34744,4.78,4.78,7.506917
46,4.78,4.78,7.41,7.41
47,4.78,4.78,4.78,7.41
48,4.06,4.78,6.26,7.41
49,4.78,4.78,7.41,7.41
50,7.41,7.41,7.41,7.41
51,6.26,7.506917,8.974067999999999,13.118766
52,0.8623540000000001,4.78,4.78,7.506917
53,4.78,4.78,4.78,7.41
54,4.78,4.78,4.78,7.41
55,4.78,4.78,4.78,7.41
56,4.78,4.78,6.26,7.41
57,4.78,4.78,4.78,7.41
58,4.78,4.78,7.41,7.41
59,4.78,6.26,7.41,7.41
60,7.41,7.41,7.41,7.41
61,7.207291000000001,7.506917,13.118766,14.426975
62,2.34744,4.78,6.26,7.506917
63,4.78,4.78,4.78,7.41
64,4.78,4.78,6.26,7.41
65,4.78,4.78,7.41,7.41
66,4.78,4.78,6.26,7.41
67,4.78,4.78,7.41,7.41
68,4.78,4.78,7.41,7.41
69,4.78,6.31,7.41,7.41
70,6.31,7.41,7.41,7.41
71,13.118766,13.118766,14.426975,14.426975
72,4.06,7.41,14.426975,14.426975
73,4.06,4.78,7.41,11.256921
74,4.78,4.78,7.41,7.41
75,4.78,5.89,7.41,7.41
76,1.3,5.47736,6.31,7.41
77,4.79,6.26,6.31,7.41
78,4.78,5.89,7.41,7.41
79,4.06,5.47736,7.41,7.41
80,5.89,7.41,7.41,7.41
81,5.72,13.118766,14.426975,14.426975
82,4.06,5.47736,7.103451,14.426975
83,4.06,5.47736,14.426975,14.426975
84,1.3,5.47736,5.72,14.426975
85,3.54,5.47736,11.256921,14.426975
86,3.74,3.74,5.47736,14.426975
87,2.689775,3.74,5.47736,14.426975
88,3.74,3.89,6.31,6.31
89,3.74,3.89,5.47736,7.41
90,3.74,4.07,7.41,7.41
91,7.103451,7.103451,7.103451,7.103451
92,2.689775,4.06,7.103451,14.426975
93,2.689775,3.74,12.298702,14.426975
94,3.74,3.74,14.426975,14.426975
95,3.74,14.426975,14.426975,14.426975
96,7.879817999999999,14.426975,14.426975,14.426975
97,1.332661,11.153397,14.426975,14.426975
98,1.332661,1.332661,3.74,14.426975
99,1.332661,1.332661,1.332661,3.89
100,1.332661,1.332661,3.89,3.89
