climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,18.549999,18.549999,18.549999,25.969998999999998
2,18.549999,18.549999,25.969998999999998,25.969998999999998
3,18.549999,18.549999,18.549999,25.969998999999998
4,18.549999,18.549999,18.549999,25.969998999999998
5,18.549999,18.549999,18.549999,25.969998999999998
6,18.549999,18.549999,18.549999,25.969998999999998
7,18.549999,18.549999,18.549999,25.969998999999998
8,18.549999,18.549999,18.549999,25.969998999999998
9,18.549999,18.549999,18.549999,28.879998999999998
10,15.228364000000001,18.549999,18.549999,34.169998
11,18.549999,18.549999,22.353714,39.41
12,18.549999,18.549999,18.549999,25.969998999999998
13,18.549999,18.549999,18.549999,18.549999
14,18.549999,18.549999,18.549999,25.969998999999998
15,18.549999,18.549999,18.549999,25.969998999999998
16,18.549999,18.549999,18.549999,25.969998999999998
17,18.549999,18.549999,18.549999,28.879998999999998
18,18.549999,18.549999,18.549999,28.879998999999998
19,18.549999,18.549999,25.969998999999998,28.879998999999998
20,18.549999,18.549999,18.549999,34.169998
21,18.549999,18.549999,18.549999,28.940001000000002
22,18.549999,18.549999,18.549999,25.969998999999998
23,18.549999,18.549999,18.549999,18.549999
24,18.549999,18.549999,18.549999,18.549999
25,18.549999,18.549999,18.549999,18.549999
26,18.549999,18.549999,18.549999,18.549999
27,18.549999,18.549999,18.549999,18.549999
28,18.549999,18.549999,18.549999,18.549999
29,18.549999,18.549999,18.549999,18.549999
30,18.549999,18.549999,18.549999,34.169998
31,18.549999,22.08,25.969998999999998,28.940001000000002
32,18.549999,18.549999,18.549999,18.549999
33,18.549999,18.549999,18.549999,18.549999
34,18.549999,18.549999,18.549999,18.549999
35,18.549999,18.549999,18.549999,18.549999
36,18.549999,18.549999,18.549999,18.549999
37,18.549999,18.549999,18.549999,18.549999
38,18.549999,18.549999,18.549999,18.549999
39,18.549999,18.549999,18.549999,18.549999
40,18.549999,18.549999,18.549999,18.549999
41,18.549999,22.08,25.969998999999998,36.674469
42,18.549999,18.549999,18.549999,18.549999
43,18.549999,18.549999,18.549999,18.549999
44,18.549999,18.549999,18.549999,18.549999
45,18.549999,18.549999,18.549999,18.549999
46,18.549999,18.549999,18.549999,18.549999
47,18.549999,18.549999,18.549999,18.549999
48,18.549999,18.549999,18.549999,18.549999
49,18.549999,18.549999,18.549999,18.549999
50,18.549999,18.549999,18.549999,18.549999
51,18.549999,18.549999,22.08,29.206184000000004
52,18.549999,18.549999,18.549999,18.549999
53,18.549999,18.549999,18.549999,18.549999
54,18.549999,18.549999,18.549999,18.549999
55,18.549999,18.549999,18.549999,18.549999
56,18.549999,18.549999,18.549999,18.549999
57,18.549999,18.549999,18.549999,18.549999
58,18.549999,18.549999,18.549999,18.549999
59,18.549999,18.549999,18.549999,18.549999
60,11.466655000000001,18.549999,18.549999,19.524577999999998
61,13.607491,16.509161,18.546331,18.546331
62,16.509161,18.465651,18.546331,18.546331
63,15.793123000000001,18.465651,18.546331,29.206184000000004
64,15.127513,15.793123000000001,17.164686,18.549999
65,15.127513,15.127513,15.793123000000001,18.549999
66,12.384391,15.127513,15.793123000000001,18.549999
67,12.384391,13.624847,17.164686,18.549999
68,11.466655000000001,13.241617000000002,18.549999,18.697607
69,10.498494,11.466655000000001,11.466655000000001,18.93
70,11.466655000000001,11.466655000000001,18.697607,18.697607
71,4.739954,13.241617000000002,16.509161,24.18
72,13.241617000000002,16.509161,18.465651,18.465651
73,13.241617000000002,15.793123000000001,18.465651,18.465651
74,15.793123000000001,15.793123000000001,15.793123000000001,17.164686
75,15.127513,15.793123000000001,15.793123000000001,17.164686
76,15.127513,15.127513,15.793123000000001,17.164686
77,15.127513,15.127513,15.793123000000001,18.697607
78,12.384391,15.127513,18.697607,18.697607
79,12.384391,15.127513,18.697607,18.697607
80,7.09,8.91,8.91,18.697607
81,13.241617000000002,15.793123000000001,18.465651,19.889999
82,15.127513,15.127513,15.793123000000001,18.465651
83,13.241617000000002,17.164686,18.697607,18.697607
84,12.384391,18.697607,18.697607,18.697607
85,18.697607,18.697607,18.697607,18.697607
86,18.697607,18.697607,18.697607,18.697607
87,12.384391,18.697607,18.697607,18.697607
88,12.384391,18.697607,18.697607,18.697607
89,8.91,18.697607,18.697607,18.697607
90,7.09,7.09,8.91,13.241617000000002
91,14.038332,17.033579,19.889999,29.206184000000004
92,14.038332,17.033579,19.889999,29.206184000000004
93,14.038332,17.033579,29.206184000000004,29.206184000000004
94,14.038332,14.038332,29.206184000000004,29.206184000000004
95,12.384391,14.038332,17.033579,29.206184000000004
96,12.384391,12.384391,17.033579,18.697607
97,12.384391,12.384391,13.241617000000002,18.697607
98,12.384391,12.384391,12.384391,18.697607
99,7.09,8.91,12.384391,19.524577999999998
100,7.09,8.91,19.524577999999998,19.524577999999998
