climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.2,1.2,1.2,1.2
2,1.2,1.2,1.2,1.2
3,1.2,1.2,1.2,1.2
4,1.2,1.2,1.2,1.2
5,1.2,1.2,1.2,1.2
6,1.2,1.2,1.2,1.2
7,1.2,1.2,1.2,1.2
8,1.2,1.2,1.2,1.2
9,1.2,1.2,1.2,1.2
10,1.2,1.2,1.2,1.2
11,1.2,1.2,1.2,1.2
12,1.2,1.2,1.2,1.2
13,1.2,1.2,1.2,1.2
14,1.2,1.2,1.2,1.2
15,0.51,1.2,1.2,1.2
16,0.51,1.2,1.2,1.2
17,0.07,1.2,1.2,1.2
18,0.07,0.07,1.2,1.2
19,0.07,0.07,0.07,1.2
20,0.07,0.07,0.07,0.51
21,0.07,0.07,1.0,1.19
22,0.07,0.07,0.07,1.0
23,0.07,0.07,0.07,0.07
24,0.07,0.07,0.07,0.07
25,0.07,0.07,0.07,0.07
26,0.07,0.07,0.07,0.07
27,0.07,0.07,0.07,0.07
28,0.07,0.07,0.07,0.07
29,0.07,0.07,0.07,0.07
30,0.07,0.07,0.07,0.51
31,0.07,0.07,0.07,1.19
32,0.07,0.07,0.07,1.19
33,0.07,0.07,0.07,0.07
34,0.07,0.07,0.07,0.07
35,0.07,0.07,0.07,0.07
36,0.07,0.07,0.07,0.07
37,0.07,0.07,0.07,0.07
38,0.07,0.07,0.07,0.07
39,0.07,0.07,0.07,0.07
40,0.07,0.07,0.07,0.07
41,0.07,0.07,0.07,1.19
42,0.07,0.07,0.07,0.07
43,0.07,0.07,0.07,0.07
44,0.07,0.07,0.07,0.07
45,0.07,0.07,0.07,0.07
46,0.07,0.07,0.07,0.07
47,0.07,0.07,0.07,0.07
48,0.07,0.07,0.07,0.07
49,0.07,0.07,0.07,0.07
50,0.07,0.07,0.07,0.87
51,0.07,0.07,0.07,0.07
52,0.07,0.07,0.07,0.07
53,0.07,0.07,0.07,0.07
54,0.07,0.07,0.07,0.07
55,0.07,0.07,0.07,0.07
56,0.07,0.07,0.07,0.07
57,0.07,0.07,0.07,0.07
58,0.07,0.07,0.07,0.07
59,0.07,0.07,0.07,0.07
60,0.07,0.07,0.07,0.87
61,0.07,0.07,0.07,0.07
62,0.07,0.07,0.07,0.07
63,0.07,0.07,0.07,0.07
64,0.07,0.07,0.07,0.07
65,0.07,0.07,0.07,0.07
66,0.07,0.07,0.07,0.07
67,0.07,0.07,0.07,0.07
68,0.07,0.07,0.07,0.07
69,0.07,0.07,0.07,0.87
70,0.07,0.07,0.87,6.9
71,0.07,0.07,0.07,0.07
72,0.07,0.07,0.07,0.07
73,0.07,0.07,0.07,0.07
74,0.07,0.07,0.07,0.07
75,0.07,0.07,0.07,0.07
76,0.07,0.07,0.07,0.07
77,0.07,0.07,0.07,0.07
78,0.07,0.07,0.07,0.07
79,0.07,0.07,0.07,0.87
80,0.07,0.07,6.9,6.9
81,0.07,0.07,0.07,0.07
82,0.07,0.07,0.07,0.07
83,0.07,0.07,0.07,0.07
84,0.07,0.07,0.07,0.07
85,0.07,0.07,0.07,0.07
86,0.07,0.07,0.07,0.07
87,0.07,0.07,0.07,0.87
88,0.07,0.07,0.07,0.87
89,0.07,0.07,0.87,6.9
90,0.87,6.9,6.9,6.9
91,0.07,0.07,0.07,0.07
92,0.07,0.07,0.07,0.07
93,0.07,0.07,0.07,0.07
94,0.07,0.07,0.07,0.07
95,0.07,0.07,0.07,0.07
96,0.07,0.07,0.07,0.07
97,0.07,0.07,0.07,0.5
98,0.07,0.07,1.0,6.9
99,0.87,6.9,6.9,6.9
100,0.87,0.87,6.9,6.9
