climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.88,1.88,1.88,4.15
2,1.88,4.15,4.15,4.15
3,4.15,4.15,4.15,4.15
4,4.15,4.15,4.15,4.15
5,4.15,4.15,4.15,4.15
6,4.15,4.15,4.15,4.15
7,4.15,4.15,4.15,4.15
8,4.15,4.15,4.15,5.3
9,1.64,4.15,4.15,5.3
10,1.52,1.52,4.07,5.3
11,1.88,1.88,1.88,4.15
12,1.88,4.15,4.15,4.15
13,1.88,4.15,4.15,4.15
14,1.88,4.15,4.15,4.15
15,2.41,2.66,4.15,4.15
16,2.66,4.15,4.15,5.3
17,0.17,3.02,4.15,5.3
18,0.17,2.91,4.15,5.3
19,0.17,1.64,4.15,5.3
20,0.17,1.0,1.52,5.3
21,1.88,1.88,1.88,4.15
22,1.23,1.88,1.88,4.15
23,1.64,2.66,2.66,4.15
24,1.64,4.15,4.15,5.3
25,1.23,1.23,2.66,5.3
26,1.23,2.66,4.15,4.15
27,0.17,4.07,4.15,5.3
28,0.17,0.17,4.07,5.3
29,0.17,0.17,1.23,4.15
30,0.17,0.17,1.52,5.3
31,1.88,1.88,1.88,2.66
32,1.88,2.66,2.66,4.15
33,1.44,1.88,2.66,5.3
34,1.23,1.23,2.66,5.3
35,1.23,4.15,4.15,5.3
36,1.23,3.57,4.15,4.15
37,1.23,1.64,4.07,5.3
38,0.17,0.17,4.07,5.3
39,0.17,0.17,0.17,4.15
40,0.17,0.17,0.17,2.66
41,1.64,1.88,1.88,4.13
42,1.44,1.88,2.66,5.3
43,1.44,1.64,4.13,5.93
44,1.23,1.64,4.15,5.3
45,1.23,1.23,4.15,5.3
46,1.23,1.23,4.07,5.3
47,0.17,1.64,4.07,5.3
48,0.17,0.17,1.23,5.3
49,0.17,0.17,0.17,5.3
50,0.17,1.52,1.52,5.3
51,1.64,1.88,4.13,7.68
52,1.44,1.64,2.7,5.3
53,0.17,0.17,0.17,4.15
54,0.17,0.17,0.17,4.15
55,0.17,0.17,0.17,4.15
56,0.17,0.17,1.64,5.3
57,0.17,0.17,0.17,4.15
58,0.17,0.17,0.17,5.3
59,0.17,0.17,1.23,4.15
60,1.23,1.23,1.88,5.3
61,1.88,7.68,7.68,7.68
62,1.44,1.64,2.7,5.3
63,0.17,0.17,0.17,4.13
64,0.17,0.17,0.17,1.44
65,0.17,0.17,0.17,1.64
66,0.17,0.17,0.17,4.15
67,0.17,0.17,0.17,4.15
68,0.17,0.17,0.17,2.66
69,0.17,0.17,0.17,4.15
70,1.23,1.23,1.23,4.15
71,1.88,7.68,7.68,7.68
72,1.64,1.64,4.13,7.68
73,1.64,1.64,1.64,4.88
74,0.17,1.44,2.65,5.3
75,0.17,0.17,1.64,4.15
76,0.17,0.17,0.17,4.13
77,0.17,0.17,1.64,5.3
78,0.17,0.17,1.44,4.15
79,1.23,1.23,1.23,5.3
80,1.23,1.23,1.23,5.3
81,1.88,1.88,4.13,4.13
82,1.64,1.64,2.66,4.13
83,1.64,1.64,1.64,4.13
84,1.64,1.64,1.88,4.15
85,1.64,1.64,2.7,5.3
86,1.64,1.64,1.88,4.15
87,1.64,1.64,2.66,4.15
88,1.44,1.64,4.13,5.3
89,1.64,1.64,4.15,5.93
90,1.23,1.23,4.13,5.3
91,7.49,7.49,7.49,7.49
92,7.49,7.49,7.49,7.49
93,7.49,7.49,7.49,7.49
94,7.49,7.49,7.49,7.49
95,7.49,7.49,7.49,7.49
96,1.88,2.7,4.13,7.49
97,1.88,2.7,2.7,4.13
98,1.64,1.64,2.7,6.4
99,1.64,1.64,1.64,6.4
100,1.64,4.13,4.15,5.93
