climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.607815,2.78,2.78,2.78
2,0.438192,0.45232799999999995,0.45232799999999995,2.78
3,0.353381,0.438192,0.45232799999999995,0.45232799999999995
4,0.438192,0.438192,0.438192,0.45232799999999995
5,0.438192,0.438192,0.45232799999999995,0.45232799999999995
6,0.409922,0.438192,0.45232799999999995,0.45232799999999995
7,0.409922,0.438192,0.45232799999999995,0.45232799999999995
8,0.409922,0.438192,0.45232799999999995,0.45232799999999995
9,0.438192,0.438192,0.438192,0.45232799999999995
10,0.29684,0.438192,0.45232799999999995,1.55
11,0.45232799999999995,0.607815,2.78,2.78
12,0.353381,0.438192,0.45232799999999995,0.5654100000000001
13,0.353381,0.438192,0.438192,0.45232799999999995
14,0.409922,0.438192,0.438192,0.45232799999999995
15,0.409922,0.438192,0.438192,0.45232799999999995
16,0.409922,0.438192,0.438192,0.45232799999999995
17,0.438192,0.438192,0.45232799999999995,0.45232799999999995
18,0.438192,0.45232799999999995,0.45232799999999995,0.45232799999999995
19,0.438192,0.45232799999999995,0.45232799999999995,0.45232799999999995
20,0.20276,0.45232799999999995,0.5313720000000001,2.2781830000000003
21,0.48059799999999997,0.48059799999999997,2.78,2.78
22,0.20276,0.45232799999999995,0.45232799999999995,0.7113520000000001
23,0.20276,0.409922,0.45232799999999995,0.745634
24,0.20276,0.392848,0.45232799999999995,0.83991
25,0.392848,0.392848,0.45232799999999995,0.745634
26,0.392848,0.392848,0.45232799999999995,0.745634
27,0.20276,0.392848,0.45232799999999995,0.659623
28,0.20276,0.20276,0.392848,0.45232799999999995
29,0.392848,0.392848,0.392848,0.803678
30,0.392848,0.608509,0.83991,2.2781830000000003
31,1.933302,2.78,2.78,2.78
32,0.20276,0.45232799999999995,0.525909,1.933302
33,0.20276,0.20276,0.392848,0.7113520000000001
34,0.20276,0.20276,0.41,0.745634
35,0.20276,0.20276,0.5069,0.745634
36,0.392848,0.41,0.5069,1.086919
37,0.392848,0.41,0.5069,0.83991
38,0.392848,0.392848,0.5069,2.2781830000000003
39,0.392848,0.5069,0.5069,0.871869
40,0.310975,0.642788,1.55,2.765123
41,2.78,2.78,2.78,2.78
42,0.41,2.78,2.78,2.78
43,0.41,0.807844,2.78,2.78
44,0.20276,0.38,0.41,2.78
45,0.20276,0.41,0.41,2.78
46,0.38,0.41,0.41,2.2812959999999998
47,0.41,0.41,0.41,0.807844
48,0.38,0.41,0.41,2.052104
49,0.38,0.41,1.55,2.78
50,0.310975,1.55,1.55,2.78
51,2.78,2.78,2.78,2.78
52,0.38,2.78,2.78,2.78
53,0.38,0.38,0.9337629999999999,2.78
54,0.38,0.38,2.2812959999999998,2.937937
55,0.38,1.546642,2.78,2.937937
56,0.38,1.55,2.501837,2.937937
57,0.80805,1.55,1.634814,2.937937
58,1.241878,1.324669,1.55,2.9470330000000002
59,1.391469,1.391469,1.5874190000000001,2.947118
60,1.391469,1.55,2.78,2.947118
61,0.38,0.706864,2.78,2.78
62,0.8051510000000001,1.4154229999999999,2.78,2.937937
63,1.128039,1.128039,1.241878,2.78
64,1.128039,1.241878,1.324669,1.324669
65,1.128039,1.241878,1.324669,1.324669
66,1.241878,1.241878,1.324669,1.324669
67,1.241878,1.241878,1.241878,1.328809
68,1.241878,1.241878,1.241878,1.328809
69,1.241878,1.241878,1.241878,1.328809
70,1.241878,1.328809,1.413485,2.947118
71,0.38,0.534874,0.9337629999999999,2.78
72,0.534874,0.534874,0.8431069999999999,2.78
73,0.534874,0.534874,0.8431069999999999,2.78
74,0.534874,1.241878,2.78,2.78
75,1.045247,1.128039,1.324669,2.78
76,1.045247,1.128039,1.241878,2.78
77,0.8051510000000001,1.241878,1.324669,2.78
78,0.767894,1.241878,1.241878,2.78
79,0.534874,1.241878,1.241878,2.78
80,0.534874,1.328809,1.328809,2.78
81,0.534874,0.8431069999999999,2.78,2.78
82,0.534874,0.8431069999999999,0.8431069999999999,0.9337629999999999
83,0.8431069999999999,0.8431069999999999,0.8431069999999999,2.78
84,0.7252529999999999,0.8431069999999999,0.8431069999999999,2.78
85,0.8431069999999999,0.8431069999999999,0.8431069999999999,2.78
86,0.8431069999999999,2.78,2.78,2.78
87,2.78,2.78,2.78,2.78
88,2.78,2.78,2.78,2.78
89,0.29391100000000003,0.767894,2.78,2.78
90,0.7,2.78,2.78,2.78
91,0.8431069999999999,0.8431069999999999,0.8431069999999999,1.0
92,0.44421700000000003,0.44421700000000003,0.8431069999999999,2.78
93,0.44421700000000003,1.4142430000000001,2.78,2.78
94,2.78,2.78,2.78,2.78
95,2.78,2.78,2.78,2.78
96,2.78,2.78,2.78,2.78
97,2.78,2.78,2.78,2.78
98,2.78,2.78,2.78,2.78
99,2.78,2.78,2.78,2.78
100,2.78,2.78,2.78,2.78
