climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,10.26,10.26,26.209999,26.209999
2,10.26,10.26,10.26,26.209999
3,10.26,10.26,13.3,26.209999
4,10.26,10.26,13.3,26.209999
5,10.26,10.26,13.3,26.209999
6,10.26,10.26,10.26,26.209999
7,10.26,10.26,10.26,26.209999
8,10.26,10.26,10.26,26.209999
9,10.26,10.26,10.26,33.09
10,6.35,6.35,16.690001000000002,38.810001
11,18.530001000000002,26.209999,26.209999,26.209999
12,10.26,13.3,18.530001000000002,26.209999
13,10.26,10.26,18.530001000000002,26.209999
14,10.26,10.26,13.3,26.209999
15,10.26,10.26,13.3,38.810001
16,10.26,10.26,26.209999,38.810001
17,6.35,10.26,26.209999,38.810001
18,6.47,25.700001,26.360001,38.810001
19,21.49,25.700001,38.810001,38.810001
20,16.02,25.700001,26.209999,38.810001
21,6.47,10.24,18.530001000000002,26.209999
22,6.47,6.47,9.49,25.700001
23,6.47,13.0,21.49,26.209999
24,6.47,21.49,21.49,25.700001
25,6.47,21.49,21.49,25.700001
26,10.53,25.700001,25.700001,26.209999
27,21.49,25.700001,26.209999,26.209999
28,26.209999,26.209999,26.209999,26.209999
29,26.209999,26.209999,26.209999,26.209999
30,26.209999,26.209999,26.209999,26.209999
31,6.47,13.0,13.0,18.530001000000002
32,6.47,9.49,13.0,25.700001
33,26.209999,26.209999,26.209999,26.209999
34,26.209999,26.209999,26.209999,26.209999
35,15.38,26.209999,26.209999,26.209999
36,15.38,15.38,15.38,26.209999
37,15.38,15.38,15.38,26.209999
38,15.38,15.38,15.38,15.38
39,15.38,15.38,15.38,15.38
40,15.38,15.38,26.209999,26.209999
41,10.53,15.38,15.38,26.209999
42,15.38,15.38,15.38,26.209999
43,15.38,15.38,15.38,26.209999
44,15.38,15.38,15.38,26.209999
45,15.38,15.38,15.38,26.209999
46,15.38,15.38,15.38,26.209999
47,15.38,15.38,15.38,26.209999
48,15.38,15.38,15.38,15.38
49,15.38,15.38,15.38,26.209999
50,15.38,15.38,17.120001000000002,26.209999
51,7.44,10.53,10.53,18.530001000000002
52,10.53,10.53,10.53,15.38
53,10.53,10.53,10.53,10.53
54,10.53,10.53,10.53,15.38
55,10.53,10.53,10.53,15.38
56,10.53,10.53,10.53,10.53
57,10.53,10.53,10.53,10.53
58,10.53,10.53,10.53,15.38
59,10.53,10.53,10.53,15.38
60,10.53,10.53,10.53,17.120001000000002
61,10.53,10.53,10.53,18.530001000000002
62,10.53,10.53,10.53,10.53
63,10.53,10.53,10.53,10.53
64,10.53,10.53,10.53,10.53
65,10.53,10.53,10.53,10.53
66,10.53,10.53,10.53,15.38
67,10.53,10.53,10.53,10.53
68,10.53,10.53,10.53,10.53
69,10.53,10.53,10.53,10.53
70,10.53,10.53,10.53,10.53
71,10.53,10.53,10.53,10.53
72,10.53,10.53,10.53,10.53
73,10.53,10.53,10.53,10.53
74,10.53,10.53,10.53,10.53
75,10.53,10.53,10.53,10.53
76,10.53,10.53,10.53,10.53
77,10.53,10.53,10.53,10.53
78,10.53,10.53,10.53,10.53
79,10.53,10.53,10.53,10.53
80,10.53,10.53,10.53,10.53
81,10.53,10.53,10.53,10.53
82,10.53,10.53,10.53,10.53
83,10.53,10.53,10.53,10.53
84,10.53,10.53,10.53,10.53
85,10.53,10.53,10.53,10.53
86,10.53,10.53,10.53,10.53
87,10.53,10.53,10.53,10.53
88,10.53,10.53,10.53,10.53
89,10.53,10.53,10.53,10.53
90,10.53,10.53,10.53,15.02
91,10.53,10.53,10.53,10.53
92,10.53,10.53,10.53,10.53
93,10.53,10.53,10.53,10.53
94,10.53,10.53,10.53,10.53
95,10.53,10.53,10.53,10.53
96,10.53,10.53,10.53,10.53
97,10.53,10.53,10.53,10.53
98,10.53,10.53,10.53,10.53
99,10.53,10.53,10.53,10.53
100,10.53,10.53,10.53,10.53
