climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.18,17.469998999999998,17.469998999999998,17.469998999999998
2,2.51,2.76,17.469998999999998,17.469998999999998
3,1.248678,2.51,3.28785,9.24
4,1.17,2.51,2.76,8.63
5,1.17,2.51,2.51,8.63
6,2.0,2.51,2.76,8.5
7,2.51,2.51,5.91,8.5
8,2.51,4.32,7.13,11.08
9,7.13,7.13,7.13,8.5
10,5.43,7.13,7.13,8.5
11,5.709558,6.32,17.469998999999998,17.469998999999998
12,2.51,5.709558,9.24,17.469998999999998
13,2.51,2.51,2.51,12.867911999999999
14,2.51,2.51,2.51,11.12
15,2.51,2.51,7.12093,12.923544999999999
16,2.51,2.51,3.426454,13.010083999999999
17,2.51,2.51,2.6200419999999998,11.12
18,2.51,2.51,2.51,8.5
19,2.51,2.51,2.51,6.37
20,2.51,2.51,5.43,11.27
21,5.01,8.81,17.469998999999998,17.469998999999998
22,4.996789,5.95,11.12,17.469998999999998
23,2.51,2.51,2.51,11.12
24,2.51,2.51,2.51,6.17
25,2.51,2.51,2.51,6.06
26,2.51,2.51,2.51,6.17
27,2.51,2.51,2.51,6.17
28,2.51,2.51,2.51,4.9
29,2.51,2.51,2.51,9.3
30,2.51,2.51,4.083476999999999,14.056462
31,9.52,11.74,11.74,17.469998999999998
32,6.06,6.37,7.4215800000000005,15.02
33,5.96,6.17,6.37,9.3
34,3.99,4.9,6.37,14.056462
35,3.99,3.99,6.426113,14.056462
36,2.51,3.99,6.06,11.41
37,2.51,3.99,6.06,11.41
38,2.51,5.91,11.41,11.41
39,2.51,6.05,11.41,12.9
40,5.556262,8.5,11.41,13.774621
41,7.4215800000000005,9.52,11.339132000000001,17.469998999999998
42,6.37,9.3,11.339132000000001,11.339132000000001
43,2.603801,5.599571,6.69,11.339132000000001
44,2.603801,4.24,6.82,15.804789999999999
45,2.603801,4.78,11.41,15.804789999999999
46,3.5730419999999996,5.556262,11.41,14.056462
47,4.083476999999999,11.41,11.41,11.41
48,3.5730419999999996,11.41,11.41,14.056462
49,4.234907,8.12,11.41,14.056462
50,6.145529,8.12,11.41,12.9
51,5.599571,6.32,11.339132000000001,17.469998999999998
52,5.599571,5.599571,9.3,10.74
53,2.603801,9.3,9.3,9.3
54,2.603801,3.99,9.3,15.804789999999999
55,2.603801,2.603801,6.82,15.804789999999999
56,2.603801,3.99,8.5,15.804789999999999
57,3.905701,6.426113,13.04,15.804789999999999
58,3.99,6.05,9.3,13.04
59,4.755617,8.17,11.41,12.9
60,4.226437000000001,8.12,11.41,12.9
61,5.599571,6.32,9.3,12.94
62,5.599571,9.3,9.3,9.3
63,2.603801,6.06,9.3,9.3
64,2.603801,2.603801,6.426113,9.3
65,2.603801,2.603801,6.426113,15.804789999999999
66,2.603801,5.81,13.04,15.804789999999999
67,4.24,6.426113,11.41,15.804789999999999
68,4.755617,6.426113,8.17,13.04
69,4.755617,6.9,11.41,12.9
70,4.234907,8.12,11.41,12.9
71,6.426113,9.3,9.3,12.94
72,3.99,9.3,9.3,9.3
73,3.99,4.24,9.3,15.804789999999999
74,3.99,6.426113,9.3,15.804789999999999
75,4.328572,6.426113,11.41,14.66
76,3.905701,8.12,12.221064,14.66
77,6.426113,8.12,9.3,12.9
78,6.426113,8.12,11.41,12.9
79,6.426113,8.12,12.9,12.9
80,6.426113,8.12,12.9,12.9
81,6.32,6.426113,9.3,12.94
82,5.81,9.3,9.3,10.74
83,3.99,3.99,9.3,9.3
84,4.318667,6.426113,9.3,9.3
85,3.905701,6.426113,7.12,14.66
86,3.905701,6.13,11.41,12.221064
87,6.426113,8.17,11.41,12.9
88,3.99,6.426113,11.41,12.9
89,3.99,3.99,9.3,12.9
90,3.99,4.234907,12.12,12.9
91,5.81,6.32,9.52,12.94
92,5.81,9.3,12.94,12.94
93,5.81,9.3,12.94,12.94
94,5.81,9.3,9.3,9.3
95,5.452251,6.426113,9.3,9.3
96,4.338476999999999,6.426113,9.3,9.3
97,3.905701,6.37,9.3,9.3
98,4.328572,6.426113,9.3,14.66
99,6.426113,11.41,11.41,12.9
100,6.13,6.426113,11.41,12.9
