climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,10.42,13.66,13.66,18.860001
2,10.42,13.66,13.66,13.66
3,9.1,13.66,13.66,13.66
4,5.236516,7.303033,13.66,13.66
5,5.236516,7.343160000000001,13.66,13.66
6,5.128189,8.667336,13.66,13.66
7,4.76,8.667336,13.66,13.743345000000001
8,4.138191,7.082337,13.66,13.66
9,4.227291,7.41,13.66,13.66
10,4.393858,10.35,13.66,13.66
11,6.741261,9.81,13.66,14.01
12,4.393858,6.108287000000001,7.63,13.66
13,4.316391,4.623275,7.63,13.66
14,4.432405,6.986438000000001,13.66,13.66
15,4.432405,5.16,13.66,13.66
16,4.01,5.16,13.66,13.66
17,3.55,7.66,13.66,13.66
18,3.55,7.66,13.66,13.66
19,3.64,10.35,11.07,13.66
20,10.35,11.07,11.07,13.66
21,7.63,9.13,13.66,14.01
22,7.63,13.66,13.66,13.66
23,13.66,13.66,13.66,13.66
24,13.66,13.66,13.66,13.66
25,13.66,13.66,13.66,13.66
26,13.66,13.66,13.66,13.66
27,8.56,13.66,13.66,13.66
28,11.07,11.07,11.07,13.66
29,11.07,11.07,11.07,11.07
30,11.07,11.07,11.07,13.66
31,7.63,9.13,13.66,14.01
32,13.66,13.66,13.66,13.66
33,13.66,13.66,13.66,13.66
34,13.66,13.66,13.66,13.66
35,13.66,13.66,13.66,13.66
36,13.66,13.66,13.66,13.66
37,13.66,13.66,13.66,13.66
38,13.66,13.66,13.66,13.66
39,13.66,13.66,13.66,13.66
40,11.07,11.07,13.66,13.66
41,7.63,9.13,13.66,14.01
42,13.66,13.66,13.66,13.66
43,13.66,13.66,13.66,13.66
44,13.66,13.66,13.66,13.66
45,13.66,13.66,13.66,13.66
46,13.66,13.66,13.66,13.66
47,13.66,13.66,13.66,13.66
48,13.66,13.66,13.66,13.66
49,13.66,13.66,13.66,13.66
50,13.66,13.66,13.66,13.66
51,9.81,18.860001,18.860001,18.860001
52,7.2,7.63,14.01,18.860001
53,13.66,13.66,13.66,13.66
54,13.66,13.66,13.66,13.66
55,13.66,13.66,13.66,13.66
56,13.66,13.66,13.66,13.66
57,13.66,13.66,13.66,13.66
58,13.66,13.66,13.66,13.66
59,13.66,13.66,13.66,13.66
60,13.66,13.66,13.66,13.66
61,9.11,9.81,18.860001,18.860001
62,3.78,7.41,7.63,13.66
63,13.66,13.66,13.66,13.66
64,13.66,13.66,13.66,13.66
65,13.66,13.66,13.66,13.66
66,13.66,13.66,13.66,13.66
67,13.66,13.66,13.66,13.66
68,13.66,13.66,13.66,13.66
69,13.66,13.66,13.66,13.66
70,13.66,13.66,13.66,13.66
71,7.2,11.53,13.66,13.66
72,8.373498,13.66,13.66,13.66
73,13.66,13.66,13.66,13.66
74,13.66,13.66,13.66,13.66
75,13.66,13.66,13.66,13.66
76,13.66,13.66,13.66,13.66
77,13.66,13.66,13.66,13.66
78,13.66,13.66,13.66,13.66
79,13.66,13.66,13.66,13.66
80,13.66,13.66,13.66,13.66
81,2.568458,4.514867,6.872632,14.339129000000002
82,4.163711,4.404504,5.65,11.53
83,4.404504,4.404504,4.504834,11.53
84,3.541663,4.404504,4.504834,13.66
85,3.541663,4.504834,6.4,13.66
86,3.541663,4.504834,10.54,13.66
87,3.7479410000000004,5.48,13.66,13.66
88,4.38,13.66,13.66,13.66
89,3.7479410000000004,13.66,13.66,13.66
90,2.1687119999999998,2.979812,5.45,13.66
91,1.785881,3.8627199999999995,5.006486,11.53
92,4.163711,4.163711,4.404504,7.474614
93,3.8627199999999995,4.38,4.404504,7.474614
94,4.163711,5.006486,5.53,7.474614
95,4.504834,5.167015,5.53,5.53
96,4.504834,5.167015,5.53,5.53
97,3.3008699999999997,5.167015,5.167015,5.53
98,3.3008699999999997,4.38,5.167015,5.53
99,3.7479410000000004,5.167015,5.53,5.53
100,3.7479410000000004,5.45,5.45,5.53
