climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,11.25,11.25,11.25,11.25
2,11.25,11.25,11.25,11.25
3,11.25,11.25,11.25,11.25
4,11.25,11.25,11.25,11.25
5,2.0,11.25,11.25,11.25
6,0.55,2.0,11.25,11.25
7,0.55,3.9308099999999997,11.25,19.057648
8,3.9308089999999996,11.25,11.25,19.057648
9,3.75,5.030573,8.67,28.18
10,5.030573,7.1289880000000005,7.1289880000000005,9.05878
11,0.44966000000000006,0.55,0.740066,1.227198
12,0.594863,0.740066,0.740066,0.740066
13,0.48713199999999995,0.6432640000000001,0.740066,2.46
14,0.55,0.55,1.84548,9.05878
15,0.55,3.9308089999999996,9.05878,19.057648
16,5.311611,7.1289880000000005,8.67,15.696129999999998
17,7.1289880000000005,7.1289880000000005,9.05878,9.05878
18,5.503133,7.1289880000000005,7.1289880000000005,9.05878
19,5.311611,7.1289880000000005,7.1289880000000005,8.67
20,5.311611,7.1289880000000005,7.1289880000000005,8.67
21,0.402821,0.55,0.571443,1.227198
22,0.55,0.571443,0.571443,0.598083
23,0.55,0.740066,0.740066,0.740066
24,0.6311640000000001,0.740066,0.740066,0.740066
25,0.55,0.550365,0.740066,1.227198
26,0.55,0.55,1.2084620000000001,6.585649
27,0.55,2.46,3.9308099999999997,19.057648
28,3.9308089999999996,5.311611,7.1289880000000005,19.057648
29,3.9308099999999997,5.311611,5.311611,8.67
30,5.030574,5.311611,5.311611,8.67
31,0.55,0.55,1.2084620000000001,2.707329
32,0.55,0.55,0.55,1.2084620000000001
33,0.55,0.55,0.55,1.2084620000000001
34,0.55,0.55,0.55,6.585649
35,0.55,0.55,0.55,2.46
36,0.55,0.55,0.55,1.901688
37,0.55,0.55,0.55,1.901688
38,0.55,0.55,1.901688,6.31
39,3.3724519999999996,8.292781,8.292781,8.67
40,5.199196,5.311611,8.292781,8.67
41,0.55,0.55,0.55,1.227198
42,0.55,0.55,0.55,1.2084620000000001
43,0.55,0.55,0.55,1.2084620000000001
44,0.55,0.55,0.55,6.585649
45,0.55,0.55,0.55,2.46
46,0.55,0.55,0.55,1.901688
47,0.55,0.55,0.55,2.96902
48,0.55,0.55,2.96902,2.96902
49,0.55,0.55,2.96902,8.67
50,2.96902,7.854009,8.67,8.67
51,0.55,0.55,0.55,0.8899520000000001
52,0.55,0.55,0.55,1.227198
53,0.55,0.55,0.55,1.227198
54,0.55,0.55,0.55,2.46
55,0.55,0.55,0.55,0.55
56,0.55,0.55,0.55,1.901688
57,0.55,0.55,1.901688,2.96902
58,0.55,0.55,2.46,8.67
59,0.55,0.55,2.96902,8.67
60,0.55,6.31,8.67,8.67
61,0.55,0.55,0.55,0.55
62,0.55,0.55,0.55,1.227198
63,0.55,0.55,0.55,2.46
64,0.55,0.55,0.55,2.46
65,0.55,0.55,1.901688,2.46
66,0.55,0.55,1.901688,2.46
67,0.55,0.55,1.84548,5.910074
68,0.55,0.55,6.31,8.67
69,0.55,0.55,8.67,8.67
70,0.55,2.54,8.67,8.67
71,0.55,0.55,0.55,0.55
72,0.55,0.55,0.55,1.227198
73,0.55,0.55,0.55,2.46
74,0.55,0.55,0.55,2.46
75,0.55,0.55,1.84548,2.46
76,0.55,0.55,1.901688,2.46
77,0.55,0.55,1.84548,2.46
78,0.55,0.55,2.46,8.67
79,0.55,2.54,8.67,8.67
80,2.54,8.67,8.67,8.67
81,0.55,0.55,0.55,0.55
82,0.55,0.55,0.55,1.227198
83,0.55,0.55,0.55,2.46
84,0.55,0.55,0.55,2.46
85,0.55,0.55,0.55,2.46
86,0.55,0.55,0.55,2.46
87,0.55,0.55,1.84548,2.46
88,0.55,0.55,0.55,6.31
89,0.55,0.55,2.46,8.67
90,3.3724519999999996,3.3724519999999996,8.67,8.67
91,0.55,0.55,0.55,0.55
92,0.55,0.55,0.55,1.227198
93,0.55,0.55,0.55,2.744801
94,0.55,0.55,0.55,2.744801
95,0.55,0.55,0.55,2.46
96,0.55,0.55,0.55,2.46
97,0.55,0.55,0.55,2.46
98,0.55,0.55,2.46,2.46
99,0.55,0.55,2.46,5.910074
100,0.55,3.3724519999999996,3.3724519999999996,6.31
