climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.727835,0.727835,1.999709,5.23
2,1.315985,2.286432,5.23,5.23
3,1.315985,1.999709,2.286432,5.23
4,0.7425390000000001,1.7985659999999999,2.212913,5.043383
5,0.843842,1.7985659999999999,2.212913,5.043383
6,1.2853379999999999,1.7985659999999999,2.4334689999999997,5.043383
7,1.1615950000000002,1.7985659999999999,2.4334689999999997,5.043383
8,1.2853379999999999,2.212913,2.4334689999999997,5.043383
9,1.4,2.212913,2.4334689999999997,5.23
10,2.4334689999999997,4.3,6.27,6.27
11,1.823264,1.852671,4.668437,5.23
12,1.823264,2.286432,3.5436019999999995,4.668437
13,0.843842,1.9335419999999999,3.5436019999999995,4.3
14,0.843842,2.124691,3.5436019999999995,5.043383
15,2.124691,2.587858,4.3,5.76
16,2.124691,2.587858,4.3,6.27
17,2.587858,4.3,6.25,6.27
18,4.3,5.76,6.27,6.27
19,4.3,6.27,6.27,6.27
20,5.76,6.27,6.27,6.27
21,2.801062,4.668437,4.668437,5.76
22,0.843842,3.5436019999999995,5.76,6.27
23,1.3748,5.76,6.27,6.27
24,2.124691,4.411122,6.27,6.27
25,1.3748,4.3,5.76,6.27
26,4.3,5.76,6.27,6.27
27,4.3,5.76,6.27,6.27
28,4.3,6.27,6.27,6.27
29,6.27,6.27,6.27,6.27
30,6.27,6.27,6.27,6.27
31,2.801062,4.668437,5.271291000000001,5.76
32,0.843842,5.76,5.76,6.27
33,1.3748,5.76,6.27,6.27
34,4.3,5.76,6.27,6.27
35,5.76,6.27,6.27,6.27
36,5.76,6.25,6.27,6.27
37,5.76,6.25,6.27,6.27
38,6.27,6.27,6.27,6.27
39,6.27,6.27,6.27,6.27
40,6.27,6.27,6.27,6.27
41,4.411122,4.411122,5.76,6.27
42,4.411122,5.76,5.76,6.27
43,4.411122,5.76,5.76,6.27
44,5.76,5.76,6.27,6.27
45,5.76,6.25,6.27,6.27
46,5.76,6.25,6.27,6.27
47,5.76,6.27,6.27,6.27
48,5.76,6.27,6.27,6.27
49,6.27,6.27,6.27,6.27
50,6.27,6.27,6.27,6.27
51,4.411122,5.271291000000001,6.27,7.712111
52,1.3748,5.76,5.76,6.27
53,5.76,5.76,6.27,6.27
54,5.76,6.27,6.27,6.27
55,5.76,5.76,6.27,6.27
56,5.76,6.27,6.27,6.27
57,5.76,6.27,6.27,6.27
58,6.27,6.27,6.27,6.27
59,6.27,6.27,6.27,6.27
60,6.27,6.27,6.27,6.27
61,5.5293660000000004,6.27,7.712111,8.476706
62,5.76,5.76,6.27,6.27
63,5.76,5.76,6.27,6.27
64,5.76,6.27,6.27,6.27
65,5.76,6.27,6.27,6.27
66,5.76,6.27,6.27,6.27
67,5.76,6.27,6.27,6.27
68,6.27,6.27,6.27,6.27
69,6.27,6.27,6.27,6.27
70,6.27,6.27,6.27,6.27
71,6.25,7.712111,8.476706,8.476706
72,4.1685099999999995,6.27,8.476706,10.625599000000001
73,4.3,6.27,6.27,10.625599000000001
74,5.76,6.27,6.27,6.27
75,5.76,6.27,6.27,6.27
76,3.220119,5.58,6.27,6.68
77,4.3,5.76,6.27,6.68
78,5.76,6.27,6.27,6.68
79,6.27,6.27,6.27,6.27
80,6.27,6.27,6.27,6.27
81,6.25,7.712111,8.476706,8.476706
82,3.220119,3.220119,6.25,8.476706
83,3.220119,3.220119,6.25,8.476706
84,1.89,1.89,5.23,8.476706
85,1.89,1.89,3.220119,8.476706
86,1.89,1.89,1.89,8.476706
87,1.89,1.89,3.220119,6.27
88,1.89,1.89,3.220119,6.27
89,1.89,5.23,6.27,6.27
90,5.23,6.27,6.27,6.27
91,1.580652,4.1685099999999995,4.1685099999999995,6.25
92,1.580652,1.89,5.23,8.476706
93,1.89,1.89,1.89,5.23
94,1.89,1.89,1.89,5.23
95,1.89,1.89,5.23,5.23
96,1.89,5.23,5.23,8.476706
97,5.23,5.23,5.23,5.23
98,5.23,5.23,5.23,5.23
99,5.23,5.23,5.23,5.23
100,1.89,5.23,5.23,5.23
