climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,6.58,9.21,13.403454,17.080763
2,4.821182,6.58,6.58,10.47
3,3.84,6.58,6.58,13.26
4,2.7456,5.42475,7.82,13.26
5,3.6124730000000005,6.58,8.32,13.26
6,4.89,8.32,13.26,13.26
7,6.719467,8.113603999999999,10.47,13.26
8,7.08358,8.32,10.47,14.672437
9,7.182353,8.45619,9.164287,13.739619
10,6.764735000000001,9.288503,11.66,14.386447
11,6.58,6.58,9.21,14.899170999999999
12,2.394118,4.821182,6.58,6.945044
13,3.133679,3.84,5.686388,7.85205
14,3.762236,3.917099,4.532735,8.289021
15,3.762236,3.917099,6.58,9.986972999999999
16,5.42475,8.32,8.32,13.26
17,8.294919,8.32,8.32,13.26
18,8.113603999999999,8.32,8.32,9.164287
19,6.58,8.144888,9.164287,14.672437
20,6.710119000000001,9.85,12.958861,15.726973999999998
21,6.58,6.58,9.21,14.899170999999999
22,3.2068,4.821182,6.58,6.793335000000001
23,3.2794309999999998,3.84,4.821182,7.556245
24,3.1336779999999997,3.951685,6.58,11.362933
25,3.133679,4.224583999999999,6.402617,9.843547000000001
26,3.917099,4.821182,7.08358,9.843547000000001
27,3.14082,4.593756,7.171371000000001,9.363057000000001
28,6.259353,8.113603999999999,9.164287,9.164287
29,6.5959520000000005,8.32,9.164287,14.672437
30,5.301054,7.627724000000001,11.66,16.115637
31,6.58,6.58,9.21,14.899170999999999
32,3.84,4.821182,5.470775,6.793335000000001
33,3.951685,4.821182,7.85205,7.85205
34,4.547004,6.58,7.1034559999999995,10.824013
35,3.202404,4.509723999999999,7.1034559999999995,7.673017999999999
36,4.249339,6.197369,7.627724000000001,9.164287
37,6.696111,8.113603999999999,8.113603999999999,8.32
38,4.471274,6.5959520000000005,8.113603999999999,9.164287
39,6.5959520000000005,7.627724000000001,8.32,12.427845
40,6.5959520000000005,7.115456,9.328172,17.131033
41,4.821182,6.793335000000001,9.21,17.080763
42,4.821182,4.821182,4.821182,9.21
43,4.821182,4.821182,4.821182,8.289021
44,3.67761,5.083754,6.58,15.726973999999998
45,3.4179510000000004,3.7239660000000003,4.509723999999999,13.030289999999999
46,4.509723999999999,6.58,8.634347,15.726973999999998
47,7.627724000000001,8.113603999999999,8.113603999999999,9.164287
48,7.627724000000001,8.113603999999999,8.113603999999999,11.905646
49,7.355652,7.627724000000001,9.85,14.672437
50,6.5959520000000005,7.618007,11.66,17.131033
51,4.821182,9.21,11.65,17.131033
52,4.821182,4.821182,4.821182,9.21
53,4.821182,4.821182,4.821182,9.21
54,4.821182,6.402617,7.673017999999999,17.131033
55,6.58,7.141881,8.113603999999999,13.403454
56,7.673017999999999,8.113603999999999,8.113603999999999,11.838436999999999
57,7.627724000000001,8.113603999999999,8.113603999999999,14.672437
58,7.792911,9.85,12.427845,14.672437
59,7.355652,7.792911,13.739619,13.739619
60,5.301054,7.618007,13.739619,14.97
61,4.89,9.21,13.25576,17.131033
62,4.821182,4.821182,4.821182,9.21
63,4.821182,4.821182,4.821182,6.402617
64,4.821182,4.821182,4.821182,9.21
65,5.334548000000001,7.216944,9.21,17.131033
66,6.58,8.113603999999999,8.113603999999999,13.403454
67,8.113603999999999,8.113603999999999,12.427845,12.427845
68,8.113603999999999,12.427845,13.739619,17.131033
69,7.141881,12.427845,13.739619,17.131033
70,5.334548000000001,9.328172,13.739619,17.131033
71,6.06,11.65,17.080763,17.080763
72,4.821182,7.319533,11.65,17.131033
73,4.821182,4.821182,6.402617,18.095512
74,4.821182,5.321345,9.21,17.131033
75,4.821182,6.402617,11.66,17.131033
76,6.023963,13.030289999999999,13.030289999999999,13.403454
77,4.821182,8.113603999999999,13.030289999999999,13.518669000000001
78,4.821182,7.632623,9.328172,13.030289999999999
79,4.676258,7.783906,9.85,14.672437
80,3.8087760000000004,7.355652,9.85,14.97
81,6.06,11.65,11.65,17.131033
82,11.65,11.65,17.131033,17.131033
83,9.21,16.914343,17.131033,17.131033
84,4.89,13.25576,17.131033,18.095512
85,4.89,7.874231,16.05209,18.095512
86,4.821182,6.377162,11.66,17.131033
87,4.821182,4.821182,7.632623,16.73
88,4.344762,6.58,9.85,13.030289999999999
89,3.8087760000000004,4.022774,7.673017999999999,11.905646
90,4.821182,9.85,11.905646,20.441226999999998
91,11.65,11.65,11.65,18.142563
92,11.65,17.131033,17.131033,17.131033
93,9.21,13.25576,17.131033,17.131033
94,6.53,13.25576,17.131033,17.131033
95,3.953589,6.402617,11.65,17.131033
96,4.56,6.58,9.85,15.130778
97,4.795547,6.58,9.21,13.25576
98,6.402617,6.58,7.874231,10.47
99,5.654736,6.58,9.85,11.65
100,6.58,10.152493,11.65,20.441226999999998
