climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.64,10.39,11.45,17.474361
2,1.34,4.72,11.45,20.51
3,1.34,11.45,20.51,20.690001000000002
4,1.34,11.45,20.690001000000002,34.970001
5,1.34,11.45,34.970001,34.970001
6,11.45,20.51,34.970001,34.970001
7,11.45,20.51,34.970001,34.970001
8,20.139999,20.690001000000002,34.970001,34.970001
9,20.51,20.51,34.970001,34.970001
10,17.690001000000002,42.560001,42.560001,42.560001
11,1.34,10.39,11.45,11.45
12,1.34,1.34,1.34,4.72
13,1.34,1.34,1.34,11.45
14,1.34,1.34,1.34,11.45
15,1.34,1.34,1.34,11.45
16,1.34,4.72,11.45,11.45
17,1.34,11.45,11.45,34.970001
18,1.34,34.970001,34.970001,34.970001
19,1.34,34.970001,34.970001,34.970001
20,17.690001000000002,34.970001,34.970001,42.560001
21,10.39,10.39,11.45,11.45
22,10.39,10.39,11.45,16.870001000000002
23,1.34,4.72,11.45,17.474361
24,4.72,11.45,11.45,16.870001000000002
25,4.72,15.463423,34.970001,34.970001
26,21.709999,34.970001,34.970001,34.970001
27,34.970001,34.970001,34.970001,34.970001
28,21.709999,21.709999,34.970001,34.970001
29,17.474361,21.709999,34.970001,34.970001
30,17.474361,21.709999,42.560001,42.560001
31,10.39,10.39,15.463423,20.139999
32,15.463423,15.463423,15.463423,21.709999
33,20.139999,20.139999,21.709999,34.970001
34,20.139999,20.139999,20.139999,21.709999
35,20.139999,20.139999,20.139999,21.709999
36,20.139999,20.139999,20.139999,21.709999
37,20.139999,20.139999,20.139999,21.709999
38,20.139999,20.139999,20.139999,21.709999
39,20.139999,20.139999,20.139999,21.709999
40,17.690001000000002,21.709999,21.709999,42.560001
41,10.39,15.463423,20.139999,20.139999
42,15.463423,15.463423,20.139999,20.139999
43,15.463423,15.463423,20.139999,20.139999
44,15.463423,15.463423,20.139999,20.139999
45,16.870001000000002,20.139999,20.139999,21.709999
46,20.139999,20.139999,20.139999,21.709999
47,20.139999,20.139999,20.139999,21.709999
48,20.139999,20.139999,20.139999,21.709999
49,20.139999,20.139999,20.139999,21.709999
50,20.139999,20.139999,42.560001,42.560001
51,15.463423,15.463423,15.463423,20.139999
52,15.463423,15.463423,15.463423,20.139999
53,15.463423,16.870001000000002,20.139999,20.139999
54,16.870001000000002,20.139999,20.139999,20.139999
55,16.870001000000002,20.139999,20.139999,20.139999
56,17.690001000000002,20.139999,20.139999,20.139999
57,20.139999,20.139999,20.139999,21.709999
58,20.139999,20.139999,20.139999,21.709999
59,20.139999,20.139999,20.139999,20.139999
60,20.139999,20.139999,20.139999,42.560001
61,12.897743,15.463423,15.463423,15.463423
62,15.463423,15.463423,15.463423,15.463423
63,12.897743,17.690001000000002,20.139999,21.709999
64,20.139999,20.139999,20.139999,20.139999
65,20.139999,20.139999,20.139999,20.139999
66,20.139999,20.139999,20.139999,20.139999
67,20.139999,20.139999,20.139999,20.139999
68,20.139999,20.139999,20.139999,20.139999
69,20.139999,20.139999,20.139999,20.139999
70,20.139999,20.139999,20.139999,20.139999
71,12.897743,15.463423,15.463423,15.463423
72,12.897743,12.897743,15.463423,15.463423
73,12.689715,12.897743,12.897743,15.463423
74,10.39,12.689715,20.139999,20.139999
75,12.689715,20.139999,20.139999,20.139999
76,12.689715,20.139999,20.139999,20.139999
77,20.139999,20.139999,20.139999,20.139999
78,20.139999,20.139999,20.139999,20.139999
79,20.139999,20.139999,20.139999,21.709999
80,20.139999,20.139999,20.139999,20.139999
81,10.4,12.897743,12.897743,20.139999
82,12.689715,12.897743,20.139999,20.139999
83,12.897743,20.139999,20.139999,20.139999
84,10.39,12.689715,20.139999,20.139999
85,10.748118,12.689715,20.139999,20.139999
86,20.139999,20.139999,20.139999,20.139999
87,20.139999,20.139999,20.139999,20.139999
88,20.139999,20.139999,20.139999,20.139999
89,20.139999,20.139999,20.139999,20.139999
90,13.79,20.139999,20.139999,20.139999
91,8.322371,20.139999,20.139999,20.139999
92,10.748118,20.139999,20.139999,20.139999
93,13.79,20.139999,20.139999,20.139999
94,10.748118,13.79,20.139999,20.139999
95,8.987441,13.79,20.139999,20.139999
96,7.93,8.987441,20.139999,20.139999
97,7.93,8.987441,20.139999,20.139999
98,7.93,13.79,20.139999,20.139999
99,7.93,11.11,13.79,20.139999
100,7.93,13.79,13.79,13.79
