climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,8.3,8.3,11.26,11.26
2,8.3,8.3,11.26,11.26
3,6.407035,8.3,11.26,13.76
4,6.407035,8.3,10.89,11.26
5,6.407035,10.31,11.26,12.38
6,8.3,10.47,11.76,12.4
7,5.95,11.26,12.4,12.4
8,5.65,7.28,10.47,11.76
9,5.65,5.65,5.65,11.26
10,5.65,5.65,8.47289,11.26
11,5.95,8.3,8.3,13.76
12,8.3,8.3,8.3,13.76
13,6.679675,8.3,11.26,13.76
14,0.91,4.543101999999999,8.3,13.76
15,4.275271,8.3,8.3,11.26
16,3.86,8.3,9.73,11.26
17,3.86,8.3,11.26,11.76
18,5.95,8.71,11.76,11.76
19,5.95,8.57,11.76,11.76
20,5.9,7.28,8.71,11.76
21,5.95,11.26,13.76,13.76
22,0.91,11.26,13.76,13.76
23,8.3,11.26,11.26,13.76
24,8.3,11.26,11.26,13.29
25,8.3,8.57,11.26,11.26
26,8.3,8.57,11.26,11.76
27,8.57,8.57,11.26,11.26
28,8.3,8.57,8.57,11.26
29,5.95,5.95,8.57,11.26
30,5.95,7.28,10.28,11.26
31,5.95,5.95,10.0,13.76
32,5.95,8.71,11.26,13.76
33,8.3,11.26,11.26,13.76
34,8.3,11.26,11.26,13.76
35,8.71,11.26,11.26,11.26
36,11.26,11.26,11.26,11.26
37,11.26,11.26,11.26,11.26
38,11.26,11.26,11.26,11.26
39,11.26,11.26,11.26,11.26
40,11.26,11.26,11.26,11.26
41,9.01,10.44,10.44,13.29
42,6.2372190000000005,8.3,13.0,13.76
43,6.55,8.3,13.29,13.76
44,4.241388,8.3,8.3,13.29
45,8.3,9.01,11.26,12.72
46,11.26,11.26,11.26,11.26
47,11.26,11.26,11.26,11.26
48,11.26,11.26,11.26,11.26
49,11.26,11.26,11.26,11.26
50,11.26,11.26,11.26,11.26
51,10.44,10.44,10.44,10.44
52,3.216022,4.62,10.44,10.44
53,2.6174560000000002,3.216022,11.26,11.26
54,2.6174560000000002,11.26,11.26,11.26
55,11.26,11.26,11.26,11.26
56,6.75,11.26,11.26,11.26
57,2.997233,3.9,9.349658,11.26
58,1.9884549999999999,3.17,6.5661320000000005,9.349658
59,1.9884549999999999,3.246457,6.5661320000000005,9.349658
60,2.89038,3.246457,6.5661320000000005,9.349658
61,2.29281,2.8609400000000003,3.216022,8.36
62,2.424698,2.8609400000000003,3.205877,4.62
63,2.6174560000000002,2.749343,2.972538,6.55
64,2.6174560000000002,2.6174560000000002,2.972538,6.55
65,2.1406330000000002,2.6174560000000002,3.246457,4.0
66,1.9884549999999999,2.997233,5.7734309999999995,8.574972
67,1.9884549999999999,2.997233,3.8948,8.574972
68,2.20112,3.2475549999999997,3.8948,6.5661320000000005
69,1.9884549999999999,3.2475549999999997,6.5661320000000005,9.349658
70,3.007919,3.8948,6.5661320000000005,9.349658
71,2.29281,2.942102,3.205877,5.67
72,2.6174560000000002,2.749343,2.749343,3.205877
73,2.6174560000000002,2.749343,3.246457,6.55
74,2.6174560000000002,3.246457,3.246457,5.7734309999999995
75,3.246457,3.246457,5.7734309999999995,8.574972
76,2.997233,3.246457,5.7734309999999995,6.55
77,2.997233,3.8948,4.0,8.574972
78,2.997233,3.8948,6.5661320000000005,9.349658
79,3.0506599999999997,3.8948,6.5661320000000005,9.349658
80,1.8859599999999999,3.8948,6.5661320000000005,9.349658
81,2.424698,2.6174560000000002,3.205877,5.062444
82,2.972538,3.246457,3.246457,4.0
83,3.246457,3.246457,3.246457,4.0
84,2.1406330000000002,3.246457,3.246457,4.0
85,2.836953,3.246457,3.8948,8.574972
86,2.997233,3.8948,4.0,9.349658
87,3.8948,3.8948,6.5661320000000005,9.349658
88,2.89038,3.8948,9.349658,9.349658
89,3.0506599999999997,3.8948,6.5661320000000005,9.349658
90,1.8859599999999999,1.8859599999999999,4.103164,9.349658
91,3.54,3.54,3.54,8.36
92,2.424698,3.205877,5.062444,8.58
93,2.424698,3.205877,5.062444,8.72
94,4.0,4.0,4.0,8.72
95,2.1406330000000002,2.1406330000000002,4.0,4.852042
96,2.1406330000000002,3.8948,4.852042,6.5661320000000005
97,3.8948,4.59,6.5661320000000005,6.5661320000000005
98,3.8948,3.8948,6.5661320000000005,6.5661320000000005
99,2.89038,3.8948,6.5661320000000005,6.5661320000000005
100,2.836953,3.3681989999999997,6.5661320000000005,6.5661320000000005
