climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.715211,1.715211,1.715211,1.715211
2,1.691389,1.715211,1.715211,8.09
3,1.691389,1.691389,1.691389,12.37
4,1.691389,1.691389,1.715211,12.37
5,1.50081,1.691389,4.74,9.07
6,1.50081,1.50081,4.74,9.07
7,1.50081,1.50081,4.74,9.07
8,1.385593,1.50081,4.74,5.23
9,1.66,4.74,4.74,6.0
10,2.0963689999999997,4.74,5.23,8.09
11,1.715211,1.715211,1.715211,1.715211
12,1.715211,1.715211,1.715211,9.07
13,1.691389,1.691389,1.691389,12.37
14,1.715211,1.715211,7.62,9.07
15,1.691389,1.715211,7.62,9.07
16,4.74,5.23,8.75,11.95
17,4.74,5.23,7.5,9.07
18,5.23,5.75,5.75,9.07
19,4.74,5.75,5.75,9.07
20,2.0963689999999997,4.74,5.23,8.75
21,1.715211,4.74,8.75,12.5
22,5.64,7.62,8.75,8.75
23,5.64,8.75,8.75,9.07
24,1.715211,7.62,8.75,9.07
25,5.54,6.0,8.75,9.07
26,4.74,7.5,9.07,10.0
27,4.74,6.0,7.75,10.0
28,4.74,6.0,6.0,9.07
29,4.74,5.775205000000001,6.0,9.07
30,4.74,6.0,8.09,10.0
31,4.74,5.64,8.75,12.37
32,5.64,8.75,8.75,10.53
33,5.64,5.64,9.07,9.995759
34,5.64,5.64,7.62,9.07
35,5.64,6.0,7.62,9.07
36,6.0,6.0,6.0,9.07
37,5.725059,6.0,6.0,9.07
38,5.8128150000000005,6.0,6.0,9.07
39,5.64,6.0,6.0,10.0
40,5.006292,6.0,8.09,9.995759
41,5.64,5.64,8.09,10.53
42,5.64,8.75,8.75,8.75
43,5.64,5.64,8.75,10.53
44,5.64,5.64,8.09,9.07
45,5.64,5.64,9.07,9.995759
46,5.64,5.64,8.09,9.07
47,5.64,6.0,9.07,10.53
48,5.64,6.0,8.09,10.53
49,4.74,6.0,8.09,9.995759
50,5.01465,6.0,9.07,10.0
51,4.64,5.64,8.75,12.37
52,5.64,5.64,6.0,10.53
53,2.78,5.64,5.64,9.995759
54,5.64,5.64,8.09,10.53
55,5.64,5.64,8.75,10.0
56,2.78,6.0,8.75,10.53
57,1.715211,5.64,7.75,10.53
58,5.64,6.0,9.07,10.0
59,4.74,6.0,9.07,10.0
60,3.8696379999999997,9.07,9.07,9.07
61,6.0,6.492808999999999,8.75,10.53
62,5.64,5.64,8.75,10.53
63,2.78,5.64,7.62,14.21
64,2.78,5.64,8.75,10.53
65,5.64,8.75,10.0,10.53
66,2.78,5.64,8.75,10.53
67,2.78,6.0,10.0,10.0
68,2.78,5.64,5.64,10.0
69,2.78,5.64,9.07,9.07
70,6.1,9.07,9.07,9.07
71,5.64,8.14,10.53,10.53
72,5.64,10.53,10.53,10.53
73,5.64,5.64,10.53,10.53
74,2.78,2.78,5.64,10.53
75,2.78,2.78,8.14,10.53
76,2.78,2.78,8.75,10.53
77,2.0963689999999997,3.192661,8.75,10.53
78,2.78,5.64,5.64,8.75
79,4.74,5.64,7.75,10.53
80,4.763917,9.07,9.07,9.07
81,4.74,8.14,8.393704,14.21
82,8.14,10.53,10.53,14.21
83,5.64,10.53,10.53,12.99
84,5.64,8.14,10.53,14.21
85,2.0963689999999997,8.75,10.53,10.53
86,2.0963689999999997,5.64,8.75,10.53
87,1.560365,5.64,7.62,10.53
88,4.496469,5.006292,8.14,9.995759
89,1.50081,4.547312000000001,8.14,9.07
90,3.3431,9.07,9.07,9.07
91,1.66,4.74,4.74,12.5
92,4.51,4.96376,5.010471,5.01465
93,4.857943,4.9810099999999995,4.988803,5.01465
94,4.496469,4.911881,5.011516,5.23
95,4.076599,4.74,5.090105,6.1
96,1.66,4.74,5.23,9.07
97,1.66,4.74,9.07,9.07
98,1.50081,1.66,6.1,9.07
99,1.50081,1.66,4.74,9.07
100,1.66,1.66,2.0963689999999997,4.74
