climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,9.74,14.68,14.68,14.68
2,7.94,9.74,14.68,14.68
3,14.68,14.68,14.68,14.68
4,14.68,14.68,14.68,14.68
5,14.68,14.68,14.68,14.68
6,14.68,14.68,14.68,14.68
7,9.74,9.74,14.68,14.68
8,9.74,9.74,9.74,14.68
9,9.74,9.74,9.74,14.68
10,9.63,9.74,14.68,14.68
11,14.68,14.68,14.68,14.68
12,14.68,14.68,14.68,14.68
13,14.68,14.68,14.68,14.68
14,14.68,14.68,14.68,14.68
15,14.68,14.68,14.68,14.68
16,14.68,14.68,14.68,14.68
17,14.68,14.68,14.68,14.68
18,14.68,14.68,14.68,14.68
19,9.74,14.68,14.68,14.68
20,13.43,14.68,14.68,14.68
21,14.68,14.68,14.68,14.68
22,14.68,14.68,14.68,14.68
23,14.0,14.68,14.68,14.68
24,14.0,14.0,14.0,14.0
25,14.0,14.0,17.469998999999998,17.469998999999998
26,14.23,17.469998999999998,17.469998999999998,17.469998999999998
27,9.74,14.68,14.68,17.469998999999998
28,14.68,14.68,14.68,14.68
29,14.68,14.68,14.68,14.68
30,14.68,14.68,14.68,14.9
31,14.68,14.68,14.68,14.9
32,9.68,14.68,14.68,14.9
33,9.68,14.0,14.9,17.469998999999998
34,14.0,17.469998999999998,17.469998999999998,17.469998999999998
35,14.23,14.9,17.469998999999998,17.469998999999998
36,14.68,14.68,14.68,14.9
37,14.68,14.68,14.68,14.9
38,14.68,14.68,14.68,14.9
39,14.68,14.68,14.68,14.9
40,9.63,9.63,14.68,14.9
41,9.611502,11.652588,14.68,14.9
42,9.608918,9.68,11.218196,14.68
43,9.535466,9.68,11.652588,14.9
44,9.495402,9.68,9.68,14.9
45,9.68,9.68,9.68,14.68
46,7.94,9.68,9.68,14.583654999999998
47,4.06,9.50662,9.68,14.68
48,14.68,14.68,14.68,14.68
49,14.68,14.68,14.68,14.68
50,7.94,14.68,14.68,14.68
51,2.91,3.58,6.410398000000001,11.222202000000001
52,2.91,3.58,7.44,14.68
53,3.58,14.68,14.68,14.68
54,3.52,8.621985,14.68,14.68
55,2.47,3.52,14.68,14.68
56,2.47,2.47,2.84,7.44
57,2.47,2.47,2.47,7.44
58,2.47,2.47,2.47,7.94
59,2.47,2.47,2.84,8.012998
60,2.84,2.84,3.0,10.0
61,3.58,3.58,3.58,3.58
62,3.58,3.58,3.58,7.44
63,3.52,3.58,3.58,7.44
64,3.52,3.52,3.58,3.58
65,2.47,3.52,3.52,3.58
66,2.47,2.47,3.52,3.58
67,2.47,2.47,2.47,3.58
68,2.47,2.47,2.84,3.58
69,2.47,2.47,3.0,10.0
70,2.84,2.84,3.0,10.0
71,3.58,3.58,3.58,3.58
72,3.52,3.58,3.58,7.44
73,3.52,3.58,3.58,3.58
74,3.52,3.52,3.58,3.58
75,3.52,3.52,3.52,3.58
76,2.47,3.52,3.52,7.44
77,2.47,3.52,3.58,10.0
78,2.84,3.52,7.44,10.0
79,2.84,2.84,3.58,10.0
80,2.84,2.84,3.0,10.0
81,3.58,3.58,3.58,3.58
82,3.52,3.52,3.52,7.44
83,3.52,3.58,3.58,7.44
84,3.52,3.58,3.58,7.44
85,3.58,3.58,7.44,10.0
86,2.84,3.52,3.58,10.0
87,2.47,2.84,3.58,10.0
88,2.84,2.84,2.84,10.0
89,2.84,2.84,2.84,7.94
90,2.84,2.84,3.58,10.0
91,3.58,3.58,3.58,3.58
92,3.58,3.58,3.58,3.58
93,3.52,3.52,3.52,3.58
94,3.52,3.58,3.58,7.44
95,3.58,3.58,7.44,7.44
96,3.58,3.58,7.44,7.44
97,2.84,3.58,3.58,7.44
98,2.84,3.58,3.58,7.44
99,2.47,2.84,2.84,7.94
100,2.47,2.84,2.84,7.44
