climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.53,1.53,1.53,1.53
2,1.53,1.53,1.53,1.53
3,1.53,1.53,1.53,1.53
4,1.53,1.53,1.53,1.53
5,1.53,1.53,1.53,1.53
6,1.53,1.53,1.53,1.53
7,1.53,1.53,1.53,1.53
8,1.53,1.53,1.53,1.76
9,1.53,1.53,1.53,1.8
10,1.53,1.53,1.53,1.8
11,1.53,1.53,1.53,1.53
12,1.53,1.53,1.53,1.53
13,1.53,1.53,1.53,1.53
14,1.53,1.53,1.53,1.53
15,1.53,1.53,1.53,1.53
16,1.53,1.53,1.53,1.53
17,1.53,1.53,1.53,1.53
18,1.53,1.53,1.53,1.53
19,1.53,1.53,1.53,1.53
20,1.53,1.53,1.58,1.8
21,1.53,1.53,1.53,1.53
22,1.53,1.53,1.53,1.53
23,1.53,1.53,1.53,1.53
24,1.53,1.53,1.53,1.53
25,1.53,1.53,1.53,1.53
26,1.53,1.53,1.53,1.53
27,1.53,1.53,1.53,1.53
28,1.53,1.53,1.53,1.53
29,1.53,1.53,1.53,1.93
30,1.53,1.53,1.58,1.93
31,1.53,1.53,1.53,1.53
32,1.53,1.53,1.53,1.53
33,1.53,1.53,1.53,1.53
34,1.53,1.53,1.53,1.53
35,1.53,1.53,1.53,1.53
36,1.53,1.53,1.53,1.53
37,1.53,1.53,1.53,1.53
38,1.53,1.53,1.53,1.58
39,1.53,1.53,1.58,2.55
40,2.56,2.56,2.56,2.56
41,1.53,1.53,1.53,1.53
42,1.53,1.53,1.53,1.53
43,1.53,1.53,1.53,1.53
44,1.53,1.53,1.53,1.53
45,0.91,1.53,1.53,1.53
46,1.16,1.53,1.53,1.53
47,1.53,1.53,1.53,1.58
48,1.53,1.53,1.53,1.8
49,1.53,1.58,1.58,1.93
50,2.56,2.56,2.56,2.56
51,0.91,1.53,1.53,1.53
52,1.16,1.53,1.53,1.53
53,0.91,1.53,1.53,1.53
54,1.53,1.53,1.53,1.53
55,1.53,1.53,1.53,1.58
56,1.53,1.53,1.53,1.8
57,1.53,1.53,1.58,1.58
58,1.53,1.58,1.58,1.58
59,1.58,1.58,1.58,1.58
60,1.58,1.58,1.58,1.58
61,0.78,0.78,1.16,1.53
62,0.91,1.53,1.53,1.53
63,1.53,1.53,1.53,1.58
64,1.53,1.53,1.53,1.58
65,1.53,1.53,1.53,1.58
66,1.53,1.53,1.53,1.58
67,1.53,1.58,1.58,1.58
68,1.58,1.58,1.58,1.58
69,1.53,1.58,1.58,1.58
70,1.58,1.58,1.58,1.58
71,0.78,0.78,0.78,1.16
72,0.78,0.91,0.91,1.53
73,0.91,1.52,1.53,1.58
74,1.53,1.53,1.53,1.58
75,1.53,1.53,1.53,1.58
76,1.53,1.53,1.53,1.58
77,1.53,1.53,1.58,1.58
78,1.53,1.58,1.58,1.58
79,1.53,1.58,1.58,1.58
80,1.53,1.53,1.58,1.58
81,0.78,0.91,0.91,1.22
82,0.91,1.53,1.58,1.58
83,1.53,1.53,1.53,1.58
84,1.53,1.53,1.53,1.58
85,1.53,1.53,1.53,1.58
86,1.53,1.53,1.53,1.58
87,1.53,1.53,1.53,1.58
88,1.53,1.53,1.53,1.58
89,1.53,1.53,1.58,1.58
90,1.53,1.58,1.58,1.58
91,1.53,1.53,1.53,1.53
92,1.53,1.53,1.53,1.53
93,1.53,1.53,1.53,1.53
94,1.53,1.53,1.53,1.53
95,1.53,1.53,1.53,1.53
96,1.53,1.53,1.53,1.58
97,1.53,1.53,1.53,1.58
98,1.53,1.53,1.53,1.58
99,1.53,1.53,1.53,1.53
100,1.53,1.53,1.53,1.58
