climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.39,0.39,0.39,0.39
2,0.39,0.39,0.39,0.39
3,0.39,0.39,0.39,0.39
4,0.39,0.39,0.39,1.26112
5,0.39,0.39,0.39,1.26112
6,0.39,0.39,0.39,1.26112
7,0.39,0.39,0.39,1.26112
8,0.9158639999999999,0.9158639999999999,1.26112,1.8648470000000001
9,0.9158639999999999,0.9158639999999999,0.9158639999999999,1.8648470000000001
10,0.9158639999999999,0.9158639999999999,0.9158639999999999,1.7
11,0.39,0.39,0.39,1.26112
12,0.39,1.1940389999999999,1.26112,1.583108
13,0.39,0.39,1.26112,1.583108
14,0.39,0.39,0.39,1.26112
15,0.39,0.39,0.39,1.583108
16,0.39,0.39,0.39,1.583108
17,0.39,0.39,0.52,1.8648470000000001
18,0.39,0.9158639999999999,1.26112,1.8648470000000001
19,0.9158639999999999,1.8648470000000001,1.8648470000000001,1.8648470000000001
20,0.9158639999999999,0.9158639999999999,1.8648470000000001,1.8648470000000001
21,0.39,0.39,0.764722,1.583108
22,0.39,0.39,0.831802,1.583108
23,0.39,0.39,1.26112,1.583108
24,0.39,0.52,1.583108,4.11
25,0.52,0.52,1.26112,1.8648470000000001
26,0.52,0.52,1.26112,4.11
27,0.52,0.9158639999999999,0.9158639999999999,1.8648470000000001
28,0.9158639999999999,0.9158639999999999,0.9158639999999999,1.8648470000000001
29,0.9158639999999999,0.9158639999999999,1.8648470000000001,1.8648470000000001
30,0.606183,0.68,0.9158639999999999,0.9158639999999999
31,0.39,0.39,0.52,1.1940389999999999
32,0.39,0.52,0.831802,1.5
33,0.52,0.52,1.5,4.11
34,1.26112,1.5,4.11,4.11
35,0.9158639999999999,1.26112,2.04,4.11
36,0.9158639999999999,0.9158639999999999,0.9158639999999999,1.7
37,0.606183,0.606183,0.606183,0.9158639999999999
38,0.606183,0.606183,0.606183,0.606183
39,0.606183,0.606183,0.606183,0.9158639999999999
40,0.606183,0.68,0.68,0.8126369999999999
41,0.39,0.39,0.52,1.5
42,0.831802,1.5,2.04,4.11
43,0.606183,1.5,2.830811,4.11
44,0.606183,0.606183,0.606183,0.9158639999999999
45,0.606183,0.606183,0.606183,0.9158639999999999
46,0.606183,0.606183,0.606183,0.9158639999999999
47,0.606183,0.606183,0.606183,0.606183
48,0.606183,0.606183,0.606183,0.606183
49,0.606183,0.606183,0.606183,0.9158639999999999
50,0.606183,0.606183,0.9158639999999999,0.95
51,0.52,1.5,2.04,4.11
52,1.1940389999999999,1.7,4.11,4.11
53,0.606183,0.606183,0.606183,0.831802
54,0.606183,0.606183,0.606183,0.606183
55,0.606183,0.606183,0.606183,0.606183
56,0.606183,0.606183,0.606183,0.606183
57,0.606183,0.606183,0.606183,0.606183
58,0.606183,0.606183,0.606183,0.606183
59,0.606183,0.606183,0.606183,0.606183
60,0.606183,0.68,0.9158639999999999,0.95
61,1.5,1.5,1.5,4.11
62,1.5,1.5,1.5,4.11
63,1.5,1.5,4.11,4.11
64,0.39,0.831802,1.5,4.11
65,0.606183,0.606183,0.606183,1.5
66,0.606183,0.606183,0.606183,0.606183
67,0.606183,0.606183,0.606183,0.872051
68,0.606183,0.606183,0.606183,0.606183
69,0.606183,0.68,0.68,0.95
70,0.68,0.95,0.95,0.95
71,1.5,1.5,1.5,1.5
72,0.764722,1.5,1.5,1.5
73,1.5,1.5,1.5,1.5
74,1.5,1.5,1.5,1.5
75,1.1940389999999999,1.5,1.5,2.5356549999999998
76,0.95,1.5,1.5,2.5356549999999998
77,0.95,1.5,2.5356549999999998,3.36
78,0.872051,0.95,0.95,3.36
79,0.95,0.95,0.95,1.88
80,0.68,0.95,0.95,1.88
81,0.95,1.5,1.5,1.5
82,1.5,1.5,1.5,1.5
83,1.5,1.5,1.5,1.5
84,1.5,1.5,1.5,1.5
85,0.95,1.5,1.5,1.5
86,1.5,1.5,2.5356549999999998,2.830811
87,0.95,2.830811,3.112551,3.112551
88,0.95,3.112551,3.112551,3.112551
89,0.95,0.95,3.112551,3.112551
90,0.872051,0.872051,0.95,3.112551
91,0.95,1.5,1.5,1.5
92,1.5,1.5,1.5,1.5
93,1.5,1.5,1.5,1.5
94,1.5,1.5,1.5,1.5
95,1.5,1.5,1.5,1.5
96,3.112551,3.112551,3.112551,3.112551
97,2.830811,3.112551,3.112551,3.112551
98,0.912299,2.830811,3.112551,3.112551
99,0.872051,2.830811,3.112551,3.112551
100,0.872051,0.912299,3.112551,3.112551
