climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.09,2.29,2.29,2.29
2,0.09,0.09,2.29,2.29
3,0.09,0.09,2.29,2.29
4,0.09,0.09,2.29,2.29
5,0.09,2.29,2.29,2.29
6,0.09,2.29,2.29,2.29
7,0.09,0.09,0.13,2.29
8,0.09,0.09,0.13,2.29
9,0.09,0.09,0.09,2.29
10,0.09,0.11,2.29,2.29
11,2.29,2.29,2.29,2.29
12,2.29,2.29,2.29,2.29
13,0.09,2.29,2.29,2.29
14,0.09,2.29,2.29,2.29
15,0.48,2.29,2.29,2.29
16,0.32,2.29,2.29,2.29
17,0.32,0.32,2.29,2.29
18,0.32,0.32,2.29,2.29
19,0.32,0.32,2.29,2.29
20,0.32,0.32,2.29,2.29
21,2.29,2.29,2.29,2.29
22,2.29,2.29,2.29,2.29
23,2.29,2.29,2.29,2.29
24,0.32,0.32,2.29,2.29
25,0.32,0.32,0.48,2.29
26,0.32,0.32,0.32,2.29
27,0.32,0.32,0.32,2.29
28,0.11,0.32,0.32,2.29
29,0.32,0.66,2.29,2.29
30,0.66,0.66,0.66,2.29
31,0.32,2.29,2.29,2.29
32,0.32,0.32,2.29,2.29
33,0.32,0.32,2.29,2.29
34,0.11,0.32,2.29,2.29
35,0.66,0.66,0.77,2.29
36,0.66,0.66,0.66,2.29
37,0.66,0.66,0.66,0.66
38,0.66,0.66,0.66,0.66
39,0.66,0.66,0.66,0.77
40,0.66,0.66,0.66,2.29
41,0.13,0.32,0.32,2.29
42,0.11,0.32,0.77,2.29
43,0.77,0.77,2.29,2.29
44,0.11,0.11,2.29,2.29
45,0.66,0.66,0.66,2.29
46,0.66,0.66,0.66,2.29
47,0.66,0.66,0.66,2.29
48,0.66,0.66,0.66,2.29
49,0.66,0.66,0.66,2.29
50,0.66,0.66,0.66,2.29
51,0.11,0.13,0.32,2.29
52,0.11,0.77,0.77,2.29
53,0.11,0.11,0.77,2.29
54,0.11,0.11,0.11,2.29
55,0.66,0.66,0.66,2.29
56,0.66,0.66,0.66,2.29
57,0.66,0.66,0.66,0.66
58,0.66,0.66,0.66,0.66
59,0.66,0.66,0.66,0.66
60,0.66,0.66,0.66,2.29
61,0.11,0.13,2.29,2.29
62,0.11,0.11,2.29,2.29
63,0.13,2.29,2.29,2.29
64,0.66,0.66,1.0,2.29
65,0.66,0.66,0.66,2.29
66,0.66,0.66,0.66,2.29
67,0.66,0.66,0.66,0.66
68,0.66,0.66,0.66,0.66
69,0.66,0.66,0.66,2.29
70,0.66,1.0,2.29,2.29
71,2.29,2.29,2.29,2.29
72,2.29,2.29,2.29,2.29
73,2.29,2.29,2.29,2.29
74,1.0,2.29,2.29,2.29
75,0.66,0.66,2.29,2.29
76,0.66,0.66,0.66,2.29
77,0.66,0.66,2.29,2.29
78,0.66,1.0,2.29,2.29
79,0.66,1.0,2.29,2.29
80,1.0,1.0,2.29,2.29
81,1.0,2.29,2.29,2.29
82,1.0,2.29,2.29,2.29
83,2.29,2.29,2.29,2.29
84,2.29,2.29,2.29,2.29
85,2.29,2.29,2.29,2.29
86,2.29,2.29,2.29,2.29
87,2.29,2.29,2.29,2.29
88,2.29,2.29,2.29,2.29
89,2.29,2.29,2.29,2.29
90,2.29,2.29,2.29,2.29
91,0.13,2.29,2.29,2.29
92,2.29,2.29,2.29,2.29
93,2.29,2.29,2.29,2.29
94,2.29,2.29,2.29,2.29
95,2.29,2.29,2.29,2.29
96,2.29,2.29,2.29,2.29
97,2.29,2.29,2.29,2.29
98,2.29,2.29,2.29,2.29
99,2.29,2.29,2.29,2.29
100,2.29,2.29,2.29,2.29
