climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.35,1.6990619999999999,1.96,1.96
2,0.35,1.6990619999999999,1.96,1.96
3,0.35,1.96,1.96,2.141422
4,0.35,0.35,1.3,1.96
5,0.35,0.97,0.97,1.96
6,0.97,0.97,1.3,1.96
7,0.97,0.97,1.6,1.6
8,0.97,0.97,1.6,1.6
9,0.95,1.27,1.6,1.6990619999999999
10,0.97,1.37,1.6,1.77
11,1.6990619999999999,1.96,2.141422,2.141422
12,0.97,1.3,1.6,1.96
13,0.97,1.6,1.6,1.96
14,0.97,0.97,1.6,1.96
15,0.97,1.3,1.6,1.96
16,0.97,1.3,1.6,1.6990619999999999
17,0.97,1.3,1.6,1.6
18,1.27,1.6,1.6,1.6
19,1.6,1.6,1.6,1.6
20,1.6,1.6,1.6,1.6
21,0.97,1.6990619999999999,1.96,2.141422
22,1.3,1.6,1.6,1.96
23,1.3,1.6,1.6,1.6
24,0.97,1.6,1.6,1.6
25,0.97,1.6,1.6,1.6
26,0.97,1.6,1.6,1.6
27,1.27,1.6,1.6,1.6
28,1.6,1.6,1.6,1.6
29,1.6,1.6,1.6,1.6
30,1.6,1.6,1.6,2.14
31,1.96,2.141422,2.141422,2.141422
32,0.97,1.3,1.6,1.96
33,1.3,1.6,1.6,1.6
34,0.97,1.6,1.6,1.6
35,0.97,1.3,1.6,1.6
36,0.97,1.6,1.6,1.6
37,1.27,1.6,1.6,1.6
38,1.6,1.6,1.6,1.6
39,1.6,1.6,1.6,1.6
40,1.37,1.6,1.6,1.6
41,1.96,2.141422,2.141422,2.141422
42,0.97,1.6,1.6,1.96
43,0.97,1.6,1.6,1.6
44,1.3,1.6,1.6,1.6
45,1.3,1.6,1.6,1.6
46,0.97,0.97,1.6,1.6
47,1.27,1.6,1.6,1.6
48,1.6,1.6,1.6,1.6
49,1.6,1.6,1.6,1.6
50,1.27,1.6,1.6,1.77
51,1.96,2.141422,2.141422,2.141422
52,1.96,1.96,2.141422,2.141422
53,0.28,0.97,1.6,1.96
54,1.27,1.6,1.6,1.6
55,0.97,1.27,1.6,1.6
56,0.97,1.27,1.27,1.6
57,1.27,1.6,1.6,1.6
58,1.27,1.6,1.6,1.6
59,1.27,1.37,1.6,1.6
60,0.37,1.37,1.37,1.37
61,2.141422,2.141422,2.141422,2.151475
62,2.141422,2.141422,2.141422,2.151475
63,1.6990619999999999,2.141422,2.141422,2.151475
64,0.28,0.28,1.6990619999999999,1.96
65,0.95,1.27,1.6,1.96
66,1.27,1.6,1.6,1.77
67,1.37,1.6,1.6,1.77
68,1.27,1.37,1.37,1.6
69,0.37,1.27,1.37,1.77
70,0.37,0.37,1.19,1.37
71,2.141422,2.141422,2.141422,2.141422
72,2.141422,2.141422,2.141422,2.141422
73,2.141422,2.141422,2.141422,2.151475
74,2.141422,2.141422,2.141422,2.151475
75,0.76,1.96,2.141422,2.151475
76,0.92,1.75,1.96,2.16
77,0.37,0.37,0.37,1.77
78,0.37,0.37,0.37,1.27
79,0.37,0.37,1.8800270000000001,1.8800270000000001
80,1.8800270000000001,1.8800270000000001,1.8800270000000001,1.8800270000000001
81,2.141422,2.141422,2.141422,2.141422
82,2.141422,2.141422,2.141422,2.141422
83,2.141422,2.141422,2.141422,2.141422
84,2.141422,2.141422,2.141422,2.141422
85,1.75,2.141422,2.151475,2.151475
86,0.92,1.19,1.77,2.16
87,1.8800270000000001,1.8800270000000001,1.8800270000000001,1.8800270000000001
88,1.8800270000000001,1.8800270000000001,1.8800270000000001,1.8800270000000001
89,1.77,1.8800270000000001,1.8800270000000001,1.8800270000000001
90,1.37,1.8800270000000001,1.8800270000000001,1.8800270000000001
91,2.151475,2.151475,2.151475,2.151475
92,1.75,1.75,2.43,2.43
93,1.75,1.96,1.96,2.43
94,1.19,1.96,1.96,2.16
95,1.68,1.96,1.96,2.43
96,1.77,1.96,1.96,2.16
97,1.96,1.96,1.96,2.16
98,1.96,1.96,1.96,1.96
99,1.96,1.96,1.96,1.96
100,1.96,1.96,1.96,1.96
