climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.92,2.1,2.312512,2.312512
2,1.778016,1.778016,2.14,2.312512
3,1.178072,1.54197,1.8652810000000002,2.2470630000000003
4,1.439866,1.439866,1.594063,1.7425650000000001
5,1.598231,1.6689349999999998,1.690752,1.690752
6,1.6689349999999998,1.6689349999999998,1.690752,1.963453
7,1.6689349999999998,1.690752,1.690752,1.9961779999999998
8,1.6689349999999998,1.6689349999999998,1.690752,1.963453
9,1.6689349999999998,1.6689349999999998,1.690752,1.963453
10,1.6689349999999998,1.6689349999999998,1.6689349999999998,1.963453
11,1.363509,1.7562,1.7562,2.07
12,1.7562,1.778016,2.203431,2.312512
13,1.7562,1.7562,1.9416369999999998,2.312512
14,1.417055,1.614395,1.7562,2.09435
15,0.9380940000000001,1.319877,1.594063,1.8251669999999998
16,1.439866,1.541756,1.6149,1.679844
17,1.614395,1.679844,1.690752,1.9961779999999998
18,1.679844,1.690752,1.690752,1.9961779999999998
19,1.690752,1.690752,1.690752,1.690752
20,1.690752,1.690752,1.690752,1.690752
21,1.363509,1.363509,1.385326,2.07
22,1.156256,1.385326,1.54,1.7562
23,1.385326,1.385326,1.385326,1.7562
24,1.385326,1.614395,1.74,1.7562
25,1.54197,1.54197,1.74,1.7562
26,0.9380940000000001,1.558152,1.614395,1.7562
27,0.9380940000000001,0.9380940000000001,1.614395,1.6149
28,0.9380940000000001,1.1252209999999998,1.6149,1.6149
29,1.1252209999999998,1.195235,1.271083,1.6149
30,1.1252209999999998,1.1252209999999998,1.1252209999999998,1.271083
31,1.2435200000000002,1.363509,2.07,2.07
32,1.156256,1.178527,1.385326,1.385326
33,1.156256,1.156256,1.156256,1.385326
34,1.156256,1.156256,1.385326,1.712568
35,1.54,1.614395,1.614395,1.712568
36,1.614395,1.614395,1.614395,1.614395
37,1.54197,1.54197,1.614395,1.614395
38,1.271083,1.54197,1.54197,1.6149
39,1.271083,1.271083,1.271083,1.330785
40,1.271083,1.271083,1.271083,1.271083
41,1.283517,1.363509,2.07,2.07
42,1.2435200000000002,1.3562370000000001,1.712568,1.712568
43,1.614395,1.712568,1.712568,1.712568
44,1.54197,1.614395,1.614395,1.614395
45,1.54197,1.54197,1.614395,2.604678
46,1.271083,1.271083,1.54197,2.604678
47,1.271083,1.271083,1.271083,1.271083
48,1.271083,1.271083,1.271083,1.271083
49,1.271083,1.271083,1.271083,1.271083
50,1.271083,1.271083,1.271083,1.271083
51,1.20249,2.07,2.07,2.07
52,1.363509,1.635738,1.712568,2.1202080000000003
53,1.635738,1.958718,2.604678,2.604678
54,1.74,2.604678,2.604678,2.604678
55,1.54197,2.6046270000000002,2.604678,2.604678
56,1.272198,2.604678,2.604678,2.604678
57,1.271083,1.9115950000000002,2.604678,2.604678
58,1.271083,1.271083,1.271083,1.271083
59,1.1252209999999998,1.1252209999999998,1.1252209999999998,1.82
60,1.1252209999999998,1.1252209999999998,1.178072,1.82
61,1.288516,1.385326,2.07,2.727019
62,2.727019,2.727019,2.727019,2.727019
63,2.727019,2.727019,2.727019,2.727019
64,2.604678,2.604678,2.604678,2.727019
65,2.604678,2.604678,2.604678,2.604678
66,2.604678,2.604678,2.604678,2.604678
67,2.604678,2.604678,2.604678,2.604678
68,1.1252209999999998,1.271083,2.604678,2.604678
69,2.604678,2.604678,2.604678,2.604678
70,2.012895,2.604678,2.604678,2.604678
71,1.2435200000000002,2.6215740000000003,2.727019,2.727019
72,2.727019,2.727019,2.727019,2.727019
73,2.6833869999999997,2.727019,2.727019,2.727019
74,2.6833869999999997,2.727019,2.727019,2.727019
75,2.576895,2.6833869999999997,2.712475,2.727019
76,2.5861560000000003,2.6942939999999997,2.727019,2.727019
77,2.604678,2.727019,2.727019,2.727019
78,2.604678,2.727019,2.727019,2.727019
79,2.604678,2.604678,2.727019,2.727019
80,2.604678,2.604678,2.604678,2.604678
81,2.6833869999999997,2.6833869999999997,2.6833869999999997,3.032445
82,2.6833869999999997,2.6833869999999997,2.727019,3.032445
83,2.6833869999999997,2.6833869999999997,2.6833869999999997,2.727019
84,2.727019,2.727019,2.727019,2.727019
85,2.6833869999999997,2.6833869999999997,2.727019,2.727019
86,2.6833869999999997,2.6833869999999997,2.727019,2.727019
87,2.6833869999999997,2.727019,2.727019,2.727019
88,2.6833869999999997,2.6833869999999997,2.727019,3.425136
89,2.727019,2.727019,2.727019,2.727019
90,2.727019,2.727019,2.727019,2.727019
91,0.92,0.92,3.032445,3.425136
92,2.6833869999999997,2.6833869999999997,3.425136,3.425136
93,2.6833869999999997,2.6833869999999997,3.032445,3.523308
94,2.6833869999999997,2.6833869999999997,3.032445,3.523308
95,2.6833869999999997,2.6833869999999997,2.727019,3.425136
96,2.6833869999999997,2.6833869999999997,2.6833869999999997,3.032445
97,2.6833869999999997,2.727019,3.425136,3.523308
98,1.439866,3.414227,3.425136,3.523308
99,1.362894,1.439866,3.414227,3.523308
100,0.92,0.92,1.362894,3.425136
