climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.14,2.14,2.14,2.14
2,2.14,2.14,2.14,3.41
3,2.14,2.14,2.14,3.41
4,2.14,2.14,2.14,2.14
5,2.14,2.14,2.14,3.41
6,2.14,2.14,2.14,3.41
7,2.14,2.14,3.41,3.41
8,3.41,3.41,3.41,3.41
9,1.0,3.41,3.41,3.41
10,1.0,1.0,3.41,3.41
11,0.6,1.0,1.01,3.41
12,3.41,3.41,3.41,3.41
13,1.69,3.41,3.41,3.41
14,0.96,3.41,3.41,3.41
15,0.73,3.41,3.41,3.41
16,0.73,3.41,3.41,3.41
17,0.73,0.96,3.41,3.41
18,0.73,0.96724,3.41,3.41
19,0.73,0.96724,3.41,3.41
20,0.73,0.86,1.17,3.41
21,0.6,0.6,0.68,1.07
22,0.329499,0.73,0.9566110000000001,1.69
23,0.73,1.201078,1.445546,1.7006419999999998
24,0.96724,1.201078,1.445546,1.732529
25,0.96724,1.0,1.328626,1.445546
26,0.79,1.0,1.2329649999999999,1.69
27,0.86,0.8715790000000001,1.2329649999999999,1.69
28,0.86,0.9778690000000001,1.2329649999999999,1.573094
29,0.86095,0.882208,1.0310139999999999,1.562465
30,0.882208,1.0310139999999999,1.562465,1.594352
31,0.329499,0.51,0.73,1.445546
32,0.6,1.40303,1.445546,1.69
33,1.0522719999999999,1.445546,1.445546,1.445546
34,0.733402,1.0522719999999999,1.7006419999999998,1.732529
35,1.0,1.201078,1.445546,1.732529
36,0.775918,1.0,1.201078,1.573094
37,0.96724,1.0,1.328626,1.573094
38,0.96724,1.445546,1.573094,1.573094
39,0.9778690000000001,1.445546,1.573094,1.573094
40,0.86095,0.86095,0.86095,1.244338
41,0.138177,0.329499,0.6,0.9
42,0.138177,0.329499,0.35075700000000004,1.2117069999999999
43,0.329499,0.9991270000000001,1.2117069999999999,1.573094
44,1.0,1.434916,1.69,1.732529
45,1.0,1.434916,1.69,1.732529
46,1.0,1.69,1.732529,1.732529
47,1.0,1.7006419999999998,1.732529,1.732529
48,1.0,1.147933,1.328626,1.69
49,0.79,1.0,1.69,1.69
50,0.86,1.17,1.69,1.69
51,0.138177,0.329499,0.96,1.2117069999999999
52,1.328626,1.69,1.732529,1.987625
53,0.361386,0.361386,0.775918,1.69
54,0.361386,0.361386,0.361386,1.17
55,0.361386,0.361386,0.361386,0.361386
56,0.361386,0.361386,0.361386,0.573967
57,0.361386,0.361386,0.361386,0.361386
58,0.361386,0.361386,0.361386,0.361386
59,0.361386,0.361386,0.361386,1.69
60,0.361386,0.767151,1.17,1.987625
61,0.138177,0.138177,0.68,1.2117069999999999
62,1.0522719999999999,1.0522719999999999,1.69,1.732529
63,0.775918,1.0522719999999999,1.7006419999999998,1.732529
64,0.96724,1.69,1.7006419999999998,1.732529
65,1.69,1.7006419999999998,1.732529,1.8388189999999998
66,0.573967,1.0735299999999999,1.69,1.7006419999999998
67,0.361386,0.96724,1.328626,1.69
68,0.361386,0.573967,0.775918,1.569551
69,0.775918,0.86,1.69,1.69
70,0.9112459999999999,1.17,1.315116,1.7534889999999999
71,0.138177,0.65,1.0522719999999999,1.69
72,1.0522719999999999,1.69,1.732529,1.732529
73,1.69,1.732529,1.732529,1.732529
74,1.69,1.732529,1.732529,1.732529
75,1.0522719999999999,1.7006419999999998,1.732529,1.732529
76,1.7006419999999998,1.732529,1.732529,1.732529
77,1.69,1.7006419999999998,1.732529,1.732529
78,0.573967,1.69,1.7006419999999998,1.732529
79,0.775918,1.0735299999999999,1.328626,1.69
80,1.17,1.69,1.69,1.961715
81,0.35075700000000004,1.021714,1.0522719999999999,1.0522719999999999
82,1.0522719999999999,1.732529,1.732529,1.732529
83,1.0522719999999999,1.732529,1.732529,1.732529
84,1.0522719999999999,1.0522719999999999,1.0522719999999999,1.69
85,1.0522719999999999,1.69,1.732529,1.732529
86,1.69,1.732529,1.732529,1.732529
87,1.69,1.732529,1.732529,1.732529
88,1.69,1.732529,1.732529,1.732529
89,0.44641800000000004,0.573967,0.573967,1.69
90,1.17,1.69,1.961715,1.9726740000000003
91,0.35075700000000004,0.65,0.669628,0.9566110000000001
92,1.0522719999999999,1.0522719999999999,1.0522719999999999,1.732529
93,1.732529,1.732529,1.732529,1.732529
94,1.69,1.732529,1.732529,1.732529
95,1.732529,1.732529,1.732529,1.732529
96,1.69,1.732529,1.732529,1.732529
97,1.69,1.69,1.69,1.732529
98,1.69,1.69,1.69,1.69
99,0.573967,0.8503209999999999,1.69,1.69
100,1.69,1.69,1.9726740000000003,2.191861
