climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.31,0.33,0.33,0.33
2,0.31,0.31,0.31,0.33
3,0.31,0.31,0.31,0.31
4,0.31,0.31,0.31,0.31
5,0.31,0.31,0.31,0.31
6,0.31,0.31,0.31,0.31
7,0.31,0.31,0.31,0.31
8,0.31,0.31,0.31,0.31
9,0.31,0.31,0.31,0.31
10,0.31,0.31,0.31,0.31
11,0.33,0.33,0.33,0.33
12,0.31,0.33,0.33,0.33
13,0.31,0.33,0.33,0.33
14,0.31,0.31,0.31,0.33
15,0.31,0.31,0.31,0.33
16,0.31,0.31,0.31,0.33
17,0.31,0.31,0.31,0.33
18,0.31,0.31,0.31,0.33
19,0.31,0.31,0.31,0.33
20,0.31,0.31,0.31,0.31
21,0.33,0.33,0.33,0.33
22,0.33,0.33,0.33,0.33
23,0.31,0.31,0.33,0.33
24,0.31,0.31,0.33,0.33
25,0.31,0.31,0.33,0.33
26,0.31,0.31,0.33,0.33
27,0.31,0.31,0.31,0.33
28,0.31,0.31,0.31,0.31
29,0.31,0.31,0.31,0.31
30,0.31,0.31,0.31,0.31
31,0.33,0.33,0.33,0.33
32,0.33,0.33,0.33,0.33
33,0.31,0.31,0.33,0.33
34,0.31,0.31,0.31,0.33
35,0.31,0.31,0.31,0.33
36,0.31,0.31,0.31,0.31
37,0.31,0.31,0.31,0.31
38,0.31,0.31,0.31,0.31
39,0.31,0.31,0.31,0.31
40,0.31,0.31,0.31,0.31
41,0.33,0.33,0.33,0.33
42,0.33,0.33,0.33,0.33
43,0.31,0.31,0.31,0.33
44,0.31,0.31,0.31,0.33
45,0.31,0.31,0.31,0.33
46,0.31,0.31,0.31,0.31
47,0.31,0.31,0.31,0.31
48,0.31,0.31,0.31,0.31
49,0.31,0.31,0.31,0.31
50,0.31,0.31,0.31,0.31
51,0.33,0.33,0.33,0.33
52,0.33,0.33,0.33,0.33
53,0.31,0.31,0.33,0.33
54,0.31,0.31,0.31,0.33
55,0.31,0.31,0.31,0.33
56,0.31,0.31,0.31,0.31
57,0.31,0.31,0.31,0.31
58,0.31,0.31,0.31,0.31
59,0.31,0.31,0.31,0.31
60,0.31,0.31,0.31,0.31
61,0.33,0.33,0.33,0.33
62,0.33,0.33,0.33,0.33
63,0.31,0.33,0.33,0.33
64,0.31,0.31,0.33,0.33
65,0.31,0.31,0.31,0.31
66,0.31,0.31,0.31,0.31
67,0.31,0.31,0.31,0.31
68,0.31,0.31,0.31,0.31
69,0.31,0.31,0.31,0.31
70,0.31,0.31,0.31,0.31
71,0.33,0.33,0.33,0.33
72,0.33,0.33,0.33,0.33
73,0.33,0.33,0.33,0.33
74,0.31,0.33,0.33,0.33
75,0.31,0.31,0.33,0.33
76,0.31,0.31,0.31,0.33
77,0.31,0.31,0.31,0.31
78,0.31,0.31,0.31,0.33
79,0.31,0.31,0.31,0.31
80,0.31,0.31,0.31,0.33
81,0.33,0.33,0.33,0.33
82,0.33,0.33,0.33,0.33
83,0.33,0.33,0.33,0.33
84,0.31,0.31,0.33,0.33
85,0.31,0.33,0.33,0.33
86,0.31,0.33,0.33,0.33
87,0.31,0.31,0.31,0.33
88,0.31,0.31,0.31,0.33
89,0.31,0.31,0.31,0.31
90,0.31,0.31,0.31,0.33
91,0.33,0.33,0.33,0.33
92,0.33,0.33,0.33,0.33
93,0.33,0.33,0.33,0.33
94,0.33,0.33,0.33,0.33
95,0.33,0.33,0.33,0.33
96,0.33,0.33,0.33,0.33
97,0.33,0.33,0.33,0.33
98,0.33,0.33,0.33,0.33
99,0.33,0.33,0.33,0.33
100,0.31,0.31,0.33,0.33
