climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.83,0.83,0.85,0.85
2,0.85,0.85,0.85,0.85
3,0.85,0.85,0.85,0.85
4,0.85,0.85,0.85,0.85
5,0.85,0.85,0.85,0.85
6,0.85,0.85,0.85,0.85
7,0.85,0.85,0.85,0.85
8,0.85,0.85,0.85,0.85
9,0.85,0.85,0.85,0.85
10,0.85,0.85,0.85,0.85
11,0.83,0.83,0.83,0.85
12,0.83,0.83,0.85,0.85
13,0.83,0.83,0.85,0.85
14,0.85,0.85,0.85,0.85
15,0.85,0.85,0.85,0.85
16,0.85,0.85,0.85,0.85
17,0.85,0.85,0.85,0.85
18,0.85,0.85,0.85,0.85
19,0.85,0.85,0.85,0.85
20,0.85,0.85,0.85,0.85
21,0.83,0.83,0.83,0.85
22,0.83,0.83,0.83,0.85
23,0.83,0.85,0.85,0.85
24,0.83,0.85,0.85,0.85
25,0.83,0.85,0.85,0.85
26,0.83,0.85,0.85,0.85
27,0.85,0.85,0.85,0.85
28,0.85,0.85,0.85,0.85
29,0.85,0.85,0.85,0.85
30,0.85,0.85,0.85,0.85
31,0.83,0.83,0.83,0.85
32,0.83,0.83,0.83,0.85
33,0.83,0.85,0.85,0.85
34,0.85,0.85,0.85,0.85
35,0.85,0.85,0.85,0.85
36,0.85,0.85,0.85,0.85
37,0.85,0.85,0.85,0.85
38,0.85,0.85,0.85,0.85
39,0.85,0.85,0.85,0.85
40,0.85,0.85,0.85,0.85
41,0.83,0.83,0.83,0.85
42,0.83,0.83,0.83,0.85
43,0.83,0.85,0.85,0.85
44,0.85,0.85,0.85,0.85
45,0.85,0.85,0.85,0.85
46,0.85,0.85,0.85,0.85
47,0.85,0.85,0.85,0.85
48,0.85,0.85,0.85,0.85
49,0.85,0.85,0.85,0.85
50,0.85,0.85,0.85,0.85
51,0.83,0.83,0.83,0.83
52,0.83,0.83,0.83,0.85
53,0.83,0.85,0.85,0.85
54,0.85,0.85,0.85,0.85
55,0.85,0.85,0.85,0.85
56,0.85,0.85,0.85,0.85
57,0.85,0.85,0.85,0.85
58,0.85,0.85,0.85,0.85
59,0.85,0.85,0.85,0.85
60,0.85,0.85,0.85,0.85
61,0.83,0.83,0.83,0.83
62,0.83,0.83,0.83,0.83
63,0.83,0.83,0.85,0.85
64,0.83,0.85,0.85,0.85
65,0.85,0.85,0.85,0.85
66,0.85,0.85,0.85,0.85
67,0.85,0.85,0.85,0.85
68,0.85,0.85,0.85,0.85
69,0.85,0.85,0.85,0.85
70,0.85,0.85,0.85,0.85
71,0.83,0.83,0.83,0.83
72,0.83,0.83,0.83,0.83
73,0.83,0.83,0.83,0.83
74,0.83,0.83,0.85,0.85
75,0.83,0.85,0.85,0.85
76,0.85,0.85,0.85,0.85
77,0.85,0.85,0.85,0.85
78,0.85,0.85,0.85,0.85
79,0.85,0.85,0.85,0.85
80,0.85,0.85,0.85,0.85
81,0.83,0.83,0.83,0.83
82,0.83,0.83,0.83,0.83
83,0.83,0.83,0.83,0.85
84,0.83,0.85,0.85,0.85
85,0.83,0.83,0.85,0.85
86,0.83,0.83,0.85,0.85
87,0.85,0.85,0.85,0.85
88,0.85,0.85,0.85,0.85
89,0.85,0.85,0.85,0.85
90,0.85,0.85,0.85,0.85
91,0.83,0.83,0.83,0.83
92,0.83,0.83,0.83,0.83
93,0.83,0.83,0.83,0.83
94,0.83,0.83,0.83,0.83
95,0.83,0.83,0.83,0.83
96,0.83,0.83,0.83,0.83
97,0.83,0.83,0.83,0.83
98,0.83,0.83,0.83,0.83
99,0.83,0.83,0.83,0.85
100,0.83,0.85,0.85,0.85
