climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.61,1.61,1.61,1.61
2,1.61,1.61,1.61,1.61
3,1.61,1.61,1.61,1.61
4,1.61,1.61,1.61,1.61
5,1.61,1.61,1.61,1.61
6,1.61,1.61,1.61,2.71
7,1.61,1.61,1.61,2.71
8,1.61,1.61,1.61,2.7
9,1.61,1.61,1.61,2.71
10,1.61,1.61,2.18,2.71
11,1.61,1.61,1.61,1.61
12,1.61,1.61,1.61,1.61
13,1.61,1.61,1.61,1.61
14,1.61,1.61,1.61,1.61
15,1.61,1.61,1.61,2.18
16,1.61,1.61,1.61,2.71
17,1.61,1.61,2.18,2.71
18,1.61,1.61,2.18,2.7
19,1.61,2.18,2.18,2.71
20,1.61,1.61,2.18,2.71
21,1.61,1.61,1.61,2.57
22,1.61,1.61,1.61,1.61
23,1.61,1.61,1.61,1.61
24,1.61,1.61,1.61,2.5
25,1.61,1.61,1.61,2.71
26,1.61,1.61,1.61,2.71
27,1.61,1.61,2.18,2.71
28,1.61,2.18,2.18,2.71
29,1.61,1.61,2.18,2.71
30,1.61,1.61,1.61,2.71
31,1.61,1.61,1.61,2.57
32,1.61,1.61,1.61,1.61
33,1.61,1.61,1.61,1.61
34,1.61,1.61,2.18,2.71
35,1.61,1.61,1.61,2.71
36,1.61,1.61,2.18,2.71
37,1.61,1.61,2.18,2.71
38,1.61,1.61,2.18,2.71
39,1.61,1.61,1.61,2.71
40,1.61,1.61,1.61,1.61
41,1.61,1.61,1.61,2.57
42,1.61,1.61,1.61,2.57
43,1.61,1.61,1.61,2.7
44,1.61,2.18,2.5,2.71
45,1.61,1.61,2.5,2.71
46,1.61,1.61,2.18,2.71
47,1.61,1.61,2.18,2.71
48,1.61,1.61,1.61,2.71
49,1.61,1.61,1.61,2.71
50,1.61,1.61,1.61,1.61
51,1.61,1.61,1.61,1.61
52,1.61,1.61,2.57,2.57
53,1.61,1.61,2.57,2.71
54,1.61,2.18,2.57,2.71
55,1.61,2.18,2.5,2.7
56,1.61,1.61,1.61,2.7
57,1.61,1.61,2.18,2.71
58,1.61,1.61,2.18,2.71
59,1.61,1.61,1.61,2.71
60,1.61,1.61,1.61,1.61
61,1.61,1.61,2.57,2.57
62,1.61,1.61,2.57,2.57
63,1.61,1.61,2.57,2.57
64,1.61,2.5,2.57,2.71
65,1.61,2.18,2.5,2.71
66,1.61,1.61,2.18,2.71
67,1.61,1.61,1.61,2.71
68,1.61,1.61,1.61,2.71
69,1.61,1.61,1.61,2.71
70,1.61,1.61,1.61,1.61
71,2.57,2.57,2.57,2.57
72,1.61,2.57,2.57,2.57
73,2.57,2.57,2.57,2.57
74,1.61,1.61,2.5,2.57
75,1.61,1.61,2.5,2.71
76,1.61,1.61,2.18,2.71
77,1.61,1.61,1.61,2.71
78,1.61,1.61,2.71,2.71
79,1.61,1.61,1.61,2.71
80,1.61,1.61,1.61,1.61
81,2.57,2.57,2.57,2.57
82,1.61,2.57,2.57,2.57
83,2.5,2.5,2.57,2.57
84,2.5,2.5,2.57,2.57
85,2.5,2.5,2.5,2.57
86,1.61,2.5,2.5,2.57
87,1.61,2.5,2.71,2.71
88,1.61,2.5,2.71,2.71
89,1.61,1.61,1.61,2.71
90,1.61,1.61,2.71,2.71
91,2.57,2.57,2.57,2.57
92,2.5,2.57,2.57,2.57
93,2.5,2.5,2.57,2.57
94,2.5,2.5,2.5,2.57
95,2.5,2.5,2.5,2.57
96,1.61,2.5,2.5,2.57
97,1.61,2.5,2.5,2.57
98,1.61,2.5,2.5,2.57
99,1.61,2.5,2.5,2.57
100,2.5,2.5,2.57,2.71
