climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.0,13.03,22.6,22.6
2,1.0,22.6,22.6,22.6
3,12.11,18.57,22.6,22.6
4,18.09,18.57,22.6,22.6
5,18.09,18.09,18.57,22.6
6,18.09,18.57,22.6,22.6
7,22.6,22.6,22.6,22.6
8,18.09,22.6,22.6,22.6
9,18.09,22.6,22.6,22.6
10,13.4,13.4,22.6,22.6
11,1.0,1.0,13.03,18.09
12,18.57,22.6,22.6,22.6
13,18.57,18.57,18.57,18.57
14,18.57,22.6,22.6,22.6
15,18.57,18.57,22.6,22.6
16,18.57,22.6,22.6,22.6
17,18.57,22.6,22.6,22.6
18,18.09,18.57,22.6,22.6
19,18.09,18.57,22.6,22.6
20,13.4,13.4,22.6,22.6
21,1.0,13.03,13.49,22.6
22,22.6,22.6,22.6,22.6
23,22.6,22.6,22.6,22.6
24,18.57,22.6,22.6,22.6
25,18.57,22.6,22.6,22.6
26,18.57,18.57,22.6,22.6
27,18.57,22.6,22.6,22.6
28,18.09,18.57,22.6,22.6
29,13.4,18.09,22.6,22.6
30,13.4,22.6,22.6,22.6
31,12.11,13.03,16.5,18.09
32,18.09,18.09,18.57,22.6
33,18.09,18.09,18.57,18.57
34,18.09,18.09,18.57,18.57
35,18.09,18.09,18.57,22.6
36,18.09,18.57,22.6,22.6
37,18.09,18.09,18.09,22.6
38,12.31,13.4,22.6,22.6
39,12.31,18.09,22.6,22.6
40,22.6,22.6,22.6,22.6
41,13.03,16.5,16.5,18.09
42,18.09,18.09,18.09,18.57
43,18.09,18.09,18.09,18.57
44,18.09,18.09,18.09,22.6
45,18.09,18.09,18.09,18.09
46,18.09,18.09,18.09,18.57
47,18.09,18.09,18.09,22.6
48,18.09,18.09,18.09,22.6
49,18.09,18.09,22.6,22.6
50,13.4,18.09,22.6,22.6
51,12.11,13.49,16.5,18.09
52,16.5,18.09,18.09,18.09
53,18.09,18.09,18.09,18.57
54,18.09,18.09,18.09,18.09
55,18.09,18.09,18.09,18.09
56,16.5,18.09,18.09,18.09
57,16.5,18.09,18.09,22.6
58,18.09,18.09,18.09,22.6
59,18.09,18.09,18.09,22.6
60,13.4,18.09,22.6,22.6
61,13.49,16.5,16.5,16.5
62,12.11,16.5,18.09,18.09
63,18.09,18.09,18.09,18.09
64,18.09,18.09,18.09,18.09
65,18.09,18.09,18.09,18.09
66,16.5,18.09,18.09,18.09
67,16.5,16.5,18.09,18.09
68,16.5,18.09,18.09,18.09
69,12.31,18.09,18.09,22.6
70,13.4,22.6,22.6,22.6
71,16.5,16.5,16.5,16.5
72,13.49,16.5,16.5,16.5
73,13.36,16.5,16.5,18.09
74,16.5,16.5,16.5,18.09
75,16.5,16.5,18.09,18.09
76,16.5,16.5,18.09,18.09
77,16.5,16.5,18.09,18.09
78,18.09,18.09,18.09,18.09
79,13.4,18.09,22.6,22.6
80,13.4,22.6,22.6,22.6
81,16.5,16.5,16.5,16.5
82,13.36,16.5,16.5,18.09
83,13.36,16.5,16.5,18.09
84,13.36,16.5,18.09,18.09
85,13.36,16.5,18.09,18.09
86,13.36,16.5,18.09,18.09
87,12.11,16.5,16.5,18.09
88,12.11,13.36,18.09,18.09
89,18.09,18.09,18.09,18.09
90,13.03,18.09,18.09,22.6
91,13.36,13.36,13.36,13.36
92,13.36,13.36,13.36,13.36
93,9.73,13.36,16.5,16.5
94,12.11,16.5,16.5,18.09
95,12.11,13.36,16.5,18.09
96,8.83,12.11,13.49,18.09
97,12.11,12.11,13.49,18.09
98,8.83,12.11,18.09,18.09
99,12.11,12.11,18.09,18.09
100,12.11,12.11,18.09,18.09
