climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.37,0.37,0.9,0.9
2,0.37,0.37,0.37,0.37
3,0.37,0.37,0.37,0.37
4,0.37,0.37,0.37,0.37
5,0.37,0.37,0.37,0.37
6,0.37,0.37,0.37,0.37
7,0.37,0.37,0.37,0.37
8,0.37,0.37,0.37,0.9
9,0.37,0.37,0.37,0.37
10,0.37,0.37,0.37,0.37
11,0.9,0.9,0.9,0.9
12,0.37,0.37,0.9,0.9
13,0.37,0.37,0.37,0.9
14,0.37,0.37,0.37,0.9
15,0.37,0.37,0.37,0.9
16,0.37,0.37,0.37,0.68
17,0.37,0.37,0.37,0.68
18,0.37,0.37,0.37,0.68
19,0.37,0.37,0.37,0.37
20,0.37,0.37,0.37,0.37
21,0.9,0.9,0.9,0.9
22,0.9,0.9,0.9,0.9
23,0.28,0.68,0.68,0.9
24,0.37,0.68,0.68,0.9
25,0.37,0.68,0.68,0.9
26,0.68,0.68,0.68,0.9
27,0.37,0.68,0.68,0.9
28,0.37,0.37,0.68,0.9
29,0.37,0.68,0.68,0.9
30,0.37,0.68,0.68,0.9
31,0.9,0.9,0.9,0.9
32,0.68,0.68,0.9,0.9
33,0.37,0.68,0.68,0.9
34,0.68,0.68,0.68,0.68
35,0.68,0.68,0.68,0.9
36,0.37,0.68,0.68,0.9
37,0.37,0.68,0.68,0.68
38,0.68,0.68,0.68,0.68
39,0.68,0.68,0.68,0.9
40,0.68,0.68,0.68,0.9
41,0.9,0.9,0.9,0.9
42,0.68,0.68,0.68,0.9
43,0.28,0.68,0.9,0.9
44,0.37,0.68,0.68,0.9
45,0.37,0.68,0.68,0.9
46,0.37,0.68,0.68,0.9
47,0.68,0.68,0.68,0.68
48,0.68,0.68,0.68,0.68
49,0.68,0.68,0.68,0.9
50,0.28,0.68,0.9,0.9
51,0.9,0.9,0.9,0.9
52,0.68,0.68,0.68,0.9
53,0.68,0.68,0.68,0.9
54,0.28,0.68,0.9,0.9
55,0.37,0.68,0.68,0.9
56,0.68,0.68,0.68,0.9
57,0.28,0.68,0.68,0.9
58,0.68,0.68,0.68,0.9
59,0.28,0.68,0.9,0.9
60,0.68,0.68,0.9,0.9
61,0.9,0.9,0.9,0.9
62,0.28,0.68,0.68,0.9
63,0.68,0.68,0.68,0.68
64,0.68,0.68,0.68,0.9
65,0.37,0.68,0.68,0.9
66,0.37,0.68,0.68,0.9
67,0.28,0.68,0.68,0.9
68,0.28,0.37,0.9,0.9
69,0.28,0.68,0.9,0.9
70,0.28,0.9,0.9,0.9
71,0.9,0.9,0.9,0.9
72,0.28,0.28,0.37,0.9
73,0.68,0.68,0.68,0.68
74,0.68,0.68,0.68,0.68
75,0.68,0.68,0.68,0.68
76,0.68,0.68,0.68,0.9
77,0.37,0.68,0.9,0.9
78,0.28,0.28,0.9,0.9
79,0.28,0.28,0.9,0.9
80,0.28,0.9,0.9,0.9
81,0.9,0.9,0.9,0.9
82,0.28,0.37,0.37,0.9
83,0.28,0.68,0.68,0.9
84,0.68,0.68,0.68,0.68
85,0.68,0.68,0.68,0.9
86,0.28,0.68,0.9,0.9
87,0.28,0.28,0.9,0.9
88,0.28,0.28,0.28,0.9
89,0.28,0.28,0.9,0.9
90,0.9,0.9,0.9,0.9
91,0.37,0.9,0.9,0.9
92,0.37,0.37,0.37,0.9
93,0.37,0.37,0.37,0.9
94,0.28,0.28,0.37,0.9
95,0.28,0.28,0.28,0.37
96,0.28,0.28,0.28,0.9
97,0.28,0.28,0.28,0.9
98,0.28,0.28,0.9,0.9
99,0.28,0.28,0.28,0.9
100,0.28,0.28,0.9,0.9
