climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,16.65,16.65,23.690001000000002,23.690001000000002
2,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
3,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
4,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
5,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
6,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
7,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
8,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
9,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
10,8.67,18.809998999999998,23.690001000000002,50.0
11,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
12,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
13,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
14,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
15,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
16,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
17,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
18,8.67,23.690001000000002,23.690001000000002,23.690001000000002
19,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
20,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
21,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
22,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
23,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
24,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
25,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
26,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
27,23.690001000000002,23.690001000000002,23.690001000000002,23.690001000000002
28,8.67,23.690001000000002,23.690001000000002,23.690001000000002
29,8.67,23.690001000000002,23.690001000000002,23.690001000000002
30,16.65,23.690001000000002,23.690001000000002,23.690001000000002
31,16.65,16.65,23.690001000000002,23.690001000000002
32,8.67,23.690001000000002,23.690001000000002,23.690001000000002
33,8.67,23.690001000000002,23.690001000000002,23.690001000000002
34,8.67,12.46,23.690001000000002,23.690001000000002
35,8.67,8.67,16.65,23.690001000000002
36,8.67,8.67,8.67,23.690001000000002
37,8.67,8.67,8.67,23.690001000000002
38,8.67,8.67,8.67,23.690001000000002
39,8.67,8.67,23.690001000000002,23.690001000000002
40,8.67,18.809998999999998,23.690001000000002,50.0
41,8.67,16.65,16.65,16.65
42,8.67,8.67,8.67,16.65
43,4.91,8.67,8.67,16.65
44,4.91,4.91,8.67,16.65
45,4.91,4.91,8.67,16.65
46,8.67,8.67,8.67,8.67
47,8.67,8.67,8.67,8.67
48,8.67,8.67,8.67,34.919998
49,4.91,8.67,8.67,34.919998
50,8.67,16.65,34.919998,50.0
51,8.67,16.65,16.65,16.65
52,8.67,8.67,8.67,12.46
53,4.91,4.91,4.91,8.67
54,4.91,4.91,4.91,8.67
55,4.91,4.91,4.91,12.46
56,4.91,8.67,8.67,8.67
57,8.67,8.67,8.67,8.67
58,8.67,8.67,8.67,8.67
59,8.67,8.67,8.67,16.65
60,4.91,16.65,34.919998,50.0
61,8.67,8.67,16.65,16.65
62,8.67,8.67,8.67,12.46
63,8.67,8.67,8.67,12.6
64,4.91,8.67,8.67,8.67
65,4.91,8.67,8.67,8.67
66,8.67,8.67,8.67,8.67
67,8.67,8.67,8.67,8.67
68,8.67,8.67,8.67,8.67
69,8.67,8.67,8.67,8.67
70,4.91,12.46,34.919998,50.0
71,12.46,16.65,16.65,16.65
72,8.67,8.67,12.46,16.65
73,8.67,8.67,8.67,12.46
74,8.67,8.67,12.46,16.65
75,8.67,8.67,16.65,50.0
76,8.67,8.67,8.67,8.67
77,8.67,8.67,8.67,18.809998999999998
78,16.65,18.809998999999998,34.919998,50.0
79,18.809998999999998,18.809998999999998,18.809998999999998,34.919998
80,18.809998999999998,18.809998999999998,34.919998,50.0
81,12.46,12.46,12.46,50.0
82,16.65,16.65,50.0,50.0
83,16.65,18.809998999999998,18.809998999999998,50.0
84,16.65,18.809998999999998,18.809998999999998,50.0
85,18.809998999999998,18.809998999999998,18.809998999999998,34.919998
86,18.809998999999998,18.809998999999998,18.809998999999998,18.809998999999998
87,18.809998999999998,18.809998999999998,18.809998999999998,18.809998999999998
88,18.809998999999998,18.809998999999998,18.809998999999998,18.809998999999998
89,18.809998999999998,18.809998999999998,18.809998999999998,50.0
90,18.809998999999998,18.809998999999998,18.809998999999998,50.0
91,12.46,13.36,18.809998999999998,50.0
92,16.65,50.0,50.0,50.0
93,12.46,18.809998999999998,50.0,50.0
94,16.65,16.65,50.0,50.0
95,12.46,16.65,50.0,50.0
96,16.65,18.809998999999998,50.0,50.0
97,16.65,18.809998999999998,50.0,50.0
98,18.809998999999998,18.809998999999998,50.0,50.0
99,18.809998999999998,18.809998999999998,50.0,50.0
100,18.809998999999998,18.809998999999998,50.0,50.0
