climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,19.02,19.02,19.02,19.02
2,19.02,19.02,19.02,25.799999
3,19.02,19.02,20.700001,25.799999
4,19.02,19.02,25.799999,25.799999
5,19.02,20.700001,20.700001,25.799999
6,10.0,20.700001,20.700001,25.799999
7,10.0,20.700001,20.700001,25.799999
8,10.0,15.78,20.700001,31.27
9,11.19,15.78,20.700001,25.799999
10,13.35,15.78,15.78,20.700001
11,19.02,19.02,19.02,30.68
12,19.02,20.700001,20.700001,31.27
13,19.02,20.700001,20.700001,20.700001
14,19.02,20.700001,20.700001,31.27
15,10.0,19.02,20.700001,31.27
16,13.35,15.78,21.116301999999997,31.27
17,15.78,15.78,15.78,25.799999
18,15.78,15.78,15.78,20.700001
19,15.78,15.78,15.78,19.02
20,10.764000999999999,15.78,15.78,24.799999
21,19.02,19.02,19.02,22.254316
22,19.02,20.700001,31.27,31.27
23,19.02,20.700001,31.27,31.27
24,18.110001,20.700001,31.27,31.27
25,15.78,20.700001,20.700001,31.27
26,15.78,20.700001,20.700001,30.68
27,12.789837,15.78,20.700001,30.68
28,10.0,15.657848999999999,15.78,25.799999
29,10.0,10.0,13.35,30.68
30,10.0,10.0,12.83,19.02
31,19.02,19.02,31.27,31.27
32,19.02,20.700001,31.27,31.27
33,13.35,19.02,20.700001,31.27
34,13.35,20.700001,20.700001,30.68
35,12.789837,20.700001,29.860840000000003,30.68
36,13.35,25.799999,30.68,30.68
37,13.35,30.68,30.68,30.68
38,8.92,9.22307,11.136857000000001,30.68
39,9.22307,11.343012,16.346731,30.68
40,10.0,10.031713,12.981575,26.610001
41,19.42,19.42,19.42,19.42
42,19.02,19.42,19.42,31.27
43,9.57,19.02,30.68,31.704582000000002
44,30.68,30.68,30.68,30.68
45,17.870281,30.68,30.68,30.68
46,30.68,30.68,30.68,30.68
47,13.277179,17.936602,21.623093,30.68
48,16.346731,21.795643,21.795643,31.331235999999997
49,7.733756,10.271197,13.622276000000001,26.610001
50,5.86,10.0,12.83,16.346731
51,4.22326,7.607852,7.607852,11.19
52,7.607852,7.607852,7.78,19.02
53,6.684007000000001,7.78,10.50893,19.02
54,6.6842179999999995,11.998546000000001,12.83,26.610001
55,9.42,11.760567,12.83,26.610001
56,12.83,20.297194,20.887491,30.377678000000003
57,12.83,18.43548,21.623093,37.052593
58,6.983687,11.428532,14.426823,22.376082999999998
59,8.162275,11.141506,11.386374,14.283982
60,7.346048,11.274705,12.83,14.95
61,7.607852,7.607852,7.607852,19.02
62,7.607852,9.44898,12.83,19.02
63,12.83,12.83,12.83,13.277672
64,12.83,12.83,12.83,13.263698000000002
65,12.83,12.83,12.83,13.263698000000002
66,12.263819999999999,12.83,12.83,12.83
67,7.437874000000001,12.83,12.83,18.163035999999998
68,7.770066,12.83,13.622276000000001,15.665825
69,6.15,10.897821,13.622276000000001,15.273659
70,5.0,6.49029,10.14,15.273659
71,9.44898,19.02,19.02,19.02
72,9.975392999999999,12.83,16.454258,16.454258
73,9.855947,11.76388,18.344667,21.150497
74,6.15,9.118402,10.121222,22.619707000000002
75,4.876639,9.118402,10.0,15.304267000000001
76,6.15,9.118402,13.622276000000001,15.15
77,5.99908,9.118402,13.67181,13.743232
78,3.7355519999999998,7.301407000000001,11.141506,15.033892999999999
79,3.15,7.301407000000001,11.416983,14.283982
80,4.28,11.416983,11.416983,13.671810999999998
81,9.44898,9.975392999999999,15.665825,19.02
82,15.665825,21.150497,21.150497,21.150497
83,16.454258,18.416134,21.150497,21.150497
84,15.665825,20.672060000000002,21.150497,21.150497
85,5.99908,9.118402,15.665825,22.376082999999998
86,3.15,5.99908,9.118402,15.665825
87,3.15,5.99908,9.118402,13.671810999999998
88,3.15,7.770066,9.100938000000001,14.95
89,3.15,5.752823,10.590553,19.97934
90,3.178531,4.28,11.416983,13.44
91,9.44898,11.95,15.665825,21.299999
92,11.202722999999999,11.712864999999999,15.665825,15.665825
93,11.202722999999999,11.202722999999999,11.76388,15.665825
94,10.443746,11.712864999999999,15.665825,15.665825
95,9.18256,15.665825,15.665825,15.665825
96,3.15,8.825460000000001,15.665825,15.665825
97,3.15,3.15,9.019314999999999,15.665825
98,3.15,7.770066,11.141506,17.350071
99,3.15,10.315076,11.986695,20.672060000000002
100,3.15,3.15,4.28,26.610001
