climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.017179,1.017179,1.092526,1.318566
2,0.979506,1.017179,1.205546,1.205546
3,0.979506,1.017179,1.205546,1.205546
4,0.979506,1.0077610000000001,1.073689,1.205546
5,0.979506,1.0077610000000001,1.073689,1.205546
6,1.0077610000000001,1.01,1.1490360000000002,1.327984
7,1.0077610000000001,1.073689,1.233801,1.327984
8,1.0077610000000001,1.177291,1.327984,1.327984
9,1.177291,1.205546,1.327984,1.327984
10,0.970088,1.205546,1.327984,1.55603
11,0.9606690000000001,1.092526,1.205546,1.318566
12,1.092526,1.205546,1.233801,1.318566
13,1.1490360000000002,1.205546,1.318566,1.318566
14,1.082008,1.233801,1.318566,1.327984
15,1.073689,1.233801,1.327984,1.327984
16,1.0077610000000001,1.18,1.327984,1.432372
17,1.0077610000000001,1.073689,1.190985,1.59725
18,1.18,1.190985,1.271474,1.59725
19,1.18,1.368365,1.59725,1.59725
20,1.18,1.55603,1.55603,1.59725
21,0.28885700000000003,0.373815,0.594705,1.589038
22,0.254874,0.501251,0.501251,0.899573
23,0.373815,0.501251,0.899573,1.241665
24,0.399302,0.65,1.0136040000000002,1.279675
25,0.373815,0.501251,1.18,1.267005
26,0.501251,0.65,1.18,1.279675
27,0.501251,0.899573,1.18,1.267005
28,0.95,1.102294,1.18,1.381035
29,0.95,1.051614,1.18,1.36
30,0.6287229999999999,1.01,1.18,1.6471060000000002
31,0.28885700000000003,0.594705,1.01,1.589038
32,1.01,1.01,1.01,1.589038
33,0.65,1.01,1.0136040000000002,1.287121
34,0.734863,1.051614,1.051614,1.102294
35,0.734863,0.848893,1.051614,1.102294
36,0.848893,1.051614,1.051614,1.228995
37,0.848893,1.051614,1.051614,1.228995
38,0.848893,1.051614,1.051614,1.228995
39,0.848893,1.051614,1.051614,1.589038
40,0.693697,1.18,1.18,1.589038
41,0.460821,0.460821,0.594705,1.18
42,0.59,0.734863,1.01,1.080546
43,0.460821,0.734863,1.01,1.080546
44,0.460821,0.734863,0.848893,1.080546
45,0.734863,0.734863,0.848893,1.080546
46,0.734863,0.734863,0.848893,1.080546
47,0.734863,0.734863,0.734863,1.080546
48,0.734863,0.848893,1.080546,1.6471060000000002
49,0.848893,1.01,1.228995,1.6471060000000002
50,0.5528430000000001,0.88,1.18,1.62
51,0.59,0.6672640000000001,0.775695,1.01
52,0.561373,0.6672640000000001,1.01,1.4702629999999999
53,0.5528430000000001,0.6287229999999999,0.939471,1.4702629999999999
54,0.548007,0.747892,0.989086,1.62
55,0.548007,0.801962,0.989086,1.4076899999999999
56,0.548007,0.801962,0.989086,1.30987
57,0.576649,0.747892,0.855426,1.202942
58,0.668301,0.7885949999999999,1.056402,1.122746
59,0.6720189999999999,0.747892,0.888799,1.376555
60,0.596146,0.6720189999999999,0.715375,0.882158
61,0.33415100000000003,0.427713,0.775695,0.989086
62,0.494543,0.7351310000000001,0.9489879999999999,1.269772
63,0.7484970000000001,0.922256,1.082648,1.323236
64,0.574739,0.882158,1.055916,1.323236
65,0.574739,0.84206,1.029184,1.508491
66,0.574739,0.9489879999999999,0.989086,1.096014
67,0.481177,0.7484970000000001,0.962354,1.096014
68,0.481177,0.7484970000000001,0.895524,1.029184
69,0.565195,0.565195,0.7885949999999999,0.989086
70,0.5962810000000001,0.7206239999999999,0.7206239999999999,0.7206239999999999
71,0.33415100000000003,0.454445,0.775695,1.4568969999999999
72,0.494543,0.521275,0.8153279999999999,1.443531
73,0.507909,0.614837,1.029184,1.443531
74,0.507909,0.614837,1.029184,1.443531
75,0.507909,0.761863,1.096014,1.443531
76,0.507909,0.962354,1.283138,1.590557
77,0.7484970000000001,0.962354,1.17621,1.510361
78,0.7479640000000001,0.895524,0.895524,0.962354
79,0.805403,0.895524,0.946702,0.946702
80,0.77,0.805403,0.805403,0.805403
81,0.33415100000000003,0.494543,0.59,0.7885949999999999
82,0.33415100000000003,0.507909,0.507909,0.7885949999999999
83,0.33415100000000003,0.507909,0.507909,0.989086
84,0.33415100000000003,0.33415100000000003,0.507909,0.989086
85,0.33415100000000003,0.507909,0.989086,1.844511
86,0.507909,0.507909,0.7885949999999999,1.590557
87,0.507909,0.507909,1.283138,1.7242169999999999
88,0.507909,1.10938,1.4568969999999999,1.7242169999999999
89,0.347517,0.481177,0.9489879999999999,1.510361
90,0.761863,0.882158,0.895524,0.989086
91,0.26732,0.33415100000000003,0.59,0.7
92,0.320785,0.33415100000000003,0.454445,0.521275
93,0.33415100000000003,0.33415100000000003,0.427713,0.521275
94,0.33415100000000003,0.33415100000000003,0.454445,0.721765
95,0.33415100000000003,0.33415100000000003,0.33415100000000003,0.721765
96,0.33415100000000003,0.33415100000000003,0.33415100000000003,0.721765
97,0.33415100000000003,0.33415100000000003,0.507909,0.7479640000000001
98,0.347517,0.427713,0.721765,0.8153279999999999
99,0.347517,0.427713,0.654935,0.868792
100,0.347517,0.347517,0.534641,0.775229
